English	Polish
Pneumonia	Zapalenie płuc
Po River	Pad (rzeka)
Poaceae	Wiechlinowate
Podcast	Podcasting
Poetry	Poezja
Poetry	Kategoria:Poezja
Pogrom	Pogrom
Point (geometry)	Punkt (geometria)
Poison	Trucizna
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Poland	Polska
Poland	Kategoria:Polska
Polar bear	Niedźwiedź polarny
Polaris	Alfa Ursae Minoris
Police	Policja
Poliomyelitis	Choroba Heinego-Medina
Political party	Partia polityczna
Political science	Politologia
Political science	Kategoria:Politologia
Politician	Polityk
Politics	Polityka
Politics	Kategoria:Polityka
Pollen	Pyłek
Pollination	Zapylanie
Pollution	Zanieczyszczenie środowiska
Polo	Polo (sport)
Polonium	Polon
Polyethylene	Polietylen
Polygamy	Poligamia
Polygon	Wielokąt
Polyhedron	Wielościan
Polyhymnia	Polihymnia
Polymer	Polimery
Polynesia	Polinezja
Polynomial	Wielomian
Polytheism	Politeizm
Polyvinyl chloride	Poli(chlorek winylu)
Pomegranate	Granatowiec właściwy
Pomelo	Pomarańcza olbrzymia
Pompeii	Pompeje
Pompey	Pompejusz
Pontius Pilate	Poncjusz Piłat
Pop art	Pop-art
Pop music	Muzyka pop
Pope	Papież
Pope Alexander VI	Papież Aleksander VI
Poplar	Topola
Populism	Populizm
Porcelain	Porcelana
Pornography	Pornografia
Port	Port morski
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland (Oregon)
Portland	Portland
Porto	Porto (miasto)
Portrait	Portret
Portsmouth	Portsmouth
Portugal	Portugalia
Portugal	Kategoria:Portugalia
Poseidon	Posejdon
Positron	Pozyton
Postage stamp	Znaczek pocztowy
Postal code	Kod pocztowy
Postmodernism	Postmodernizm (filozofia)
Potassium	Potas
Potassium nitrate	Azotan potasu
Potato	Ziemniak
Potential energy	Energia potencjalna
Potsdam	Poczdam
Pound (mass)	Funt
Pound sterling	Funt szterling
Poverty	Bieda
Power (physics)	Moc
Power station	Elektrownia
Praetor	Pretor
Prague	Praga
Prague	Kategoria:Praga
Praia	Praia
Praseodymium	Prazeodym
Prayer	Modlitwa
Precambrian	Prekambr
Precession	Precesja
Precipitation (meteorology)	Opad atmosferyczny
Pregnancy	Ciąża
Prehistory	Prehistoria
Prehistory	Kategoria:Prehistoria
President	Prezydent
President of the United States	Prezydenci USA
Pressure	Ciśnienie
Pretoria	Pretoria
Priam	Priam
Price	Cena (ekonomia)
Priest	Kapłan
Primate	Naczelne
Primates	Kategoria:Naczelne
Prime Meridian	Południk zerowy
Prime minister	Premier
Prime number	Liczby pierwsze
Prince Edward Island	Wyspa Księcia Edwarda
Prince Philip	Filip Mountbatten, książę Edynburga
Prince of Wales	Książę Walii
Princeton University	Uniwersytet Princeton
Principle of relativity	Teoria względności
Printing	Druk
Prion	Priony
Prism (geometry)	Graniastosłup
Prism (optics)	Pryzmat
Prison	Zakład karny
Prisoner of war	Jeniec wojenny
Prix Goncourt	Nagroda Goncourtów
Probability	Prawdopodobieństwo
Probability theory	Teoria prawdopodobieństwa
Probability theory	Kategoria:Rachunek prawdopodobieństwa
Procyonidae	Szopowate
Professor	Profesor
Profit	Zysk (ekonomia)
Programmer	Programista
Programming language	Język programowania
Progressive rock	Rock progresywny
Project	Projekt (zarządzanie)
Prokaryote	Prokarioty
Prolog	Prolog (język programowania)
Prometheus	Prometeusz (mitologia)
Promethium	Promet
Pronoun	Zaimek
Propaganda	Propaganda
Propane	Propan
Prophet	Prorok
Prose	Proza
Prostate	Prostata
Protactinium	Protaktyn
Protectorate	Protektorat
Protein	Białka
Proterozoic	Proterozoik
Protestant Reformation	Reformacja
Protestantism	Protestantyzm
Protist	Protisty
Protista	Kategoria:Protisty
Protocol	Protokół
Proton	Proton
Protozoa	Protisty zwierzęce
Providence	Providence (Rhode Island)
Proxima Centauri	Proxima Centauri
Prunus	Śliwa
Prussia	Prusy (państwo)
Psalms	Księga Psalmów
Pseudonym	Pseudonim
Pseudoscience	Kategoria:Pseudonauka
Pseudoscience	Pseudonauka
Psi (letter)	Psi (litera)
Psoriasis	Łuszczyca
Psychiatry	Psychiatria
Psychiatry	Kategoria:Psychiatria
Psychoanalysis	Psychoanaliza
Psychology	Psychologia
Psychology	Kategoria:Psychologia
Psychosis	Psychoza
Psychotherapy	Psychoterapia
Ptah	Ptah
Pterosaur	Pterozaury
Ptolemaic dynasty	Ptolemeusze
Ptolemy	Klaudiusz Ptolemeusz
Puberty	Pokwitanie
Public domain	Domena publiczna
Public relations	Public relations
Puerto Rico	Portoryko
Puerto Rico	Kategoria:Portoryko
Pula	Pula
Pulley	Krążek linowy
Pulsar	Pulsar
Pump	Pompa
Punctuation	Interpunkcja
Punjab (India)	Pendżab (stan w Indiach)
Punk	Kategoria:Punk
Pupil	Źrenica
Puppis	Rufa (gwiazdozbiór)
Pyongyang	Pjongjang
Pyramid	Piramida
Pyramid (geometry)	Ostrosłup
Pyrenees	Pireneje
Pyrite	Piryt
Pyrrhic victory	Pyrrusowe zwycięstwo
Pythagoras	Pitagoras
Python (programming language)	Python
Pyxis	Kompas (gwiazdozbiór)
Q	Q
Qatar	Katar
Qatar	Kategoria:Katar
Qin Dynasty	Dynastia Qin
Qing Dynasty	Mandżurska dynastia Qing
Quadratic equation	Równanie kwadratowe
Quadrilateral	Czworokąt
Quaestor	Kwestor
Quantum field theory	Kwantowa teoria pola
Quantum mechanics	Mechanika kwantowa
Quantum mechanics	Kategoria:Mechanika kwantowa
Quarantine	Kwarantanna (medycyna)
Quark	Kwark
Quartz	Kwarc
Quasar	Kwazar
Quaternary	Czwartorzęd
Quaternion	Kwaterniony
Quebec	Quebec
Quebec	Kategoria:Quebec
Quebec City	Québec (miasto)
Quechua	Język keczua
Queen (chess)	Hetman (szachy)
Queens	Queens (dzielnica)
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Question mark	Pytajnik
Quetzalcoatl	Quetzalcoatl
Quince	Pigwa pospolita
Quito	Quito
R	R
RAF (disambiguation)	RAF
RAID	RAID
RNA	Kwasy rybonukleinowe
Ra	Re (bóg)
Rabat	Rabat (Maroko)
Rabbi	Rabin
Rabindranath Tagore	Rabindranath Tagore
Raccoon Dog	Jenot
Race	Rasa
Rachel Carson	Rachel Carson
Racism	Rasizm
Radar	Radar
Radian	Radian
Radio	Kategoria:Radio
Radio telescope	Radioteleskop
Radioactive decay	Radioaktywność
Radiocarbon dating	Datowanie radiowęglowe
Radiology	Radiologia
Radium	Rad (pierwiastek)
Radius	Promień
Radon	Radon
Rain	Deszcz
Rainbow	Tęcza
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Raleigh (Karolina Północna)
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama	Rama (Bóg)
Ramadan	Ramadan
Ramayana	Ramajana
Ramesses II	Ramzes II
Random access memory	Pamięć o dostępie swobodnym
Ranunculaceae	Jaskrowate
Rape	Zgwałcenie
Rapeseed	Kapusta rzepak
Raphael	Rafael Santi
Raphael (archangel)	Archanioł Rafael
Rapid transit	Kategoria:Metro
Raspberry	Malina (roślina)
Rat	Szczur
Rational number	Liczby wymierne
Ratite	Bezgrzebieniowce
Ravenna	Rawenna
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Read-only memory	Pamięć tylko do odczytu
Real number	Liczby rzeczywiste
Recession	Recesja (ekonomia)
Recife	Recife
Rectangle	Prostokąt
Rectifier	Prostownik
Recursion	Rekurencja
Recycling	Recykling
Red	Barwa czerwona
Red Army Faction	Frakcja Czerwonej Armii
Red Deer	Jeleń szlachetny
Red Fox	Lis rudy
Red Panda	Panda mała
Red Sea	Morze Czerwone
Red algae	Krasnorosty
Red blood cell	Erytrocyt
Red dwarf	Czerwony karzeł
Red giant	Czerwony olbrzym
Redshift	Przesunięcie ku czerwieni
Redshift (disambiguation)	Przesunięcie ku czerwieni
Reduced instruction set computer	RISC
Referendum	Referendum
Refraction	Refrakcja
Refractive index	Współczynnik załamania
Refugee	Uchodźca
Regent	Regent
Reggae	Reggae
Regiment	Pułk
Regina	Regina (Saskatchewan)
Region	Region (geografia)
Reims	Reims
Reincarnation	Reinkarnacja
Reindeer	Renifer
Relation (mathematics)	Relacja (matematyka)
Relativism	Relatywizm
Relativity	Kategoria:Teoria względności
Relay	Przekaźnik
Religion	Religia
Religion	Kategoria:Religie
Religious Society of Friends	Kwakrzy
Rembrandt	Rembrandt
Renaissance	Renesans
Renaissance	Kategoria:Renesans
Reproduction	Rozmnażanie
Reptile	Gady
Republic	Republika
Republic of China	Republika Chińska
Republic of Ireland	Irlandia
Republic of Ireland	Kategoria:Irlandia
Republic of the Congo	Kongo
Republic of the Congo	Kategoria:Kongo
Republican Party (United States)	Partia Republikańska (USA)
Requiem	Requiem (muzyka)
Resistor	Opornik
Respiratory system	Układ oddechowy
Restaurant	Restauracja (lokal gastronomiczny)
Reticulum	Sieć (gwiazdozbiór)
Retina	Siatkówka (anatomia)
Retinol	Witamina A
Revolution	Rewolucja
Revolver	Rewolwer
Rhea (moon)	Rea (księżyc)
Rhea (mythology)	Rea (mitologia)
Rhenium	Ren (pierwiastek)
Rhetoric	Retoryka
Rhetoric	Kategoria:Retoryka
Rhine	Ren
Rhinoceros	Nosorożce
Rho (letter)	Rho (litera)
Rhode Island	Rhode Island
Rhode Island	Kategoria:Rhode Island
Rhodes	Rodos (wyspa)
Rhodium	Rod (pierwiastek)
Rhombus	Romb
Rhyme	Rym
Rhythm	Rytm
Rhythm and blues	Rhythm and blues
Rib	Żebra (anatomia)
Riboflavin	Witamina B2
Ribosome	Rybosom
Rice	Ryż siewny
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright (muzyk)
Richmond	Richmond (Wirginia)
Riga	Ryga
Rigel	Rigel
Right ascension	Rektascensja
Ring (mathematics)	Pierścień (matematyka)
Ringo Starr	Ringo Starr
Rio Grande	Rio Grande (rzeka w Ameryce Północnej)
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (stan)
River	Rzeka
River Thames	Tamiza
Riyadh	Rijad
Road	Droga (komunikacja)
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Andrews Millikan	Robert Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Julius Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Rock	Papier, kamień, nożyce
Rock (geology)	Skała
Rock and roll	Rock and roll
Rock music	Rock
Rock music	Kategoria:Rock
Rocket	Rakieta (lotnictwo)
Rocky Mountains	Góry Skaliste
Rococo	Rokoko
Rodent	Gryzonie
Roe Deer	Sarna
Roentgenium	Roentgen (pierwiastek)
Roger Bacon	Roger Bacon
Roman Catholic Church	Łaciński Kościół katolicki
Roman Empire	Cesarstwo rzymskie
Roman Republic	Republika rzymska
Roman calendar	Kalendarz rzymski
Roman law	Prawo rzymskie
Roman legion	Legion
Roman mythology	Mitologia rzymska
Roman mythology	Kategoria:Mitologia rzymska
Romania	Rumunia
Romania	Kategoria:Rumunia
Romansh	Język romansz
Romanticism	Romantyzm
Rome	Rzym
Rome	Kategoria:Rzym
Ronald Reagan	Ronald Reagan
Roof	Dach
Rook (bird)	Gawron
Rook (chess)	Wieża (szachy)
Roosevelt	Roosevelt
Root	Korzeń
Rosa Parks	Rosa Parks
Rosaceae	Różowate
Rosales	Różowce
Rosario	Rosario
Rosary	Różaniec
Rose	Róża
Roseau	Roseau
Rosemary	Rozmaryn lekarski
Rosetta Stone	Kamień z Rosetty
Rosh Hashanah	Rosz ha-Szana
Ross Sea	Morze Rossa
Rostock	Rostock
Rotifer	Wrotki (biologia)
Rotterdam	Rotterdam
Router	Router
Rowing (sport)	Wioślarstwo
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Rubber	Guma
Rubicon	Rubikon
Rubidium	Rubid
Ruble	Rubel
Rubus idaeus	Malina właściwa
Ruby	Rubin
Ruby (programming language)	Ruby (język programowania)
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby (sport)
Rupert Murdoch	Rupert Murdoch
Russia	Rosja
Russia	Kategoria:Rosja
Russian Orthodox Church	Rosyjski Kościół Prawosławny
Russian Revolution (1917)	Rewolucje w Rosji 1917 roku
Russo-Japanese War	Wojna rosyjsko-japońska
Ruthenium	Ruten
Rutherford B. Hayes	Rutherford Hayes
Rutherfordium	Rutherford (pierwiastek)
Rwanda	Rwanda
Rwanda	Kategoria:Rwanda
Rye	Żyto
S	S
SOAP	SOAP
SOS	SOS
Sacrament	Sakrament
Sacramento	Sacramento (Kalifornia)
Saddam Hussein	Saddam Husajn
Safari (web browser)	Safari (program)
Saffron	Szafran
Sagitta	Strzała (gwiazdozbiór)
Sagittarius (constellation)	Strzelec (gwiazdozbiór)
Sahara	Sahara
Sail	Żagiel
Saint	Święty
Saint Andrew	Andrzej Apostoł
Saint George	Święty Jerzy
Saint Kitts and Nevis	Saint Kitts i Nevis
Saint Kitts and Nevis	Kategoria:Saint Kitts i Nevis
Saint Lawrence River	Rzeka Świętego Wawrzyńca
Saint Lucia	Saint Lucia
Saint Lucia	Kategoria:Saint Lucia
Saint Martin	Sint Maarten (wyspa)
Saint Nicholas	Mikołaj z Miry
Saint Patrick	Święty Patryk
Saint Paul	Saint Paul
Saint Peter	Piotr Apostoł
Saint Petersburg	Sankt Petersburg
Saint Petersburg	Kategoria:Sankt Petersburg
Saint Vincent and the Grenadines	Saint Vincent i Grenadyny
Saint Vincent and the Grenadines	Kategoria:Saint Vincent i Grenadyny
Sake	Sake
Saladin	Saladyn
Salah	Salat
Salamander	Płazy ogoniaste
Salem	Salem (Oregon)
Salerno	Salerno
Saliva	Ślina
Salman Rushdie	Salman Rushdie
Salmonidae	Łososiowate
Salt	Sól kuchenna
Salt (chemistry)	Sole
Salt Lake City	Salt Lake City
Salvador	Salvador
Salzburg	Salzburg
Salzburg (state)	Salzburg (kraj związkowy)
Samara	Samara (miasto)
Samarium	Samar
Samarkand	Samarkanda
Samoa	Samoa
Samoa	Kategoria:Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Finley Breese Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samurai	Samuraj
San Antonio	San Antonio (Teksas)
San Diego	San Diego
San Francisco	San Francisco
San Jose	San José (Kalifornia)
San Juan	San Juan
San Marino	San Marino
San Marino	Kategoria:San Marino
San Marino	San Marino (miasto)
San Salvador	San Salvador (miasto w Salwadorze)
Sand	Piasek
Sandro Botticelli	Sandro Botticelli
Sandstone	Piaskowiec
Sandwich	Kanapka
Sanskrit	Sanskryt
Santa Claus	Święty Mikołaj (postać baśniowa)
Santa Fe	Santa Fe (Nowy Meksyk)
Santiago	Santiago de Chile
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Santos (Săo Paulo)	Santos
Sapphire	Szafir
Sappho	Safona
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajewo
Saratov	Saratów
Sarcophagus	Sarkofag
Sardine	Sardynka
Sardinia	Sardynia
Sari	Sari (miasto w Iranie)
Sarin	Sarin
Saskatchewan	Saskatchewan
Satellite	Sztuczny satelita
Satire	Satyra
Saturday	Sobota
Saturn	Saturn
Saturn	Kategoria:Saturn
Saturn (disambiguation)	Saturn (ujednoznacznienie)
Saturn (mythology)	Saturn (mitologia)
Satyr	Satyr
Sauce	Sos
Saudi Arabia	Arabia Saudyjska
Saudi Arabia	Kategoria:Arabia Saudyjska
Saul Bellow	Saul Bellow
Sausage	Wędliny
Savanna	Sawanna
Saxony	Saksonia
Saxony	Kategoria:Saksonia
Saxophone	Saksofon
Scandinavia	Skandynawia
Scandinavia	Kategoria:Skandynawia
Scandinavian Peninsula	Półwysep Skandynawski
Scandium	Skand
Scapula	Łopatka
Scheldt	Skalda
Scheme (programming language)	Scheme
Schizophrenia	Schizofrenia
Scholasticism	Scholastyka (filozofia)
School	Szkoła (oświata)
Schutzstaffel	Schutzstaffel
Science	Nauka
Science	Kategoria:Nauka
Science fiction	Fantastyka naukowa
Scientific method	Metoda naukowa
Scientist	Naukowiec
Scientology	Scjentologia
Scipio Africanus	Scypion Afrykański Starszy
Scissors	Nożyczki
Sciuridae	Wiewiórkowate
Scorpion	Skorpiony
Scorpius	Skorpion (gwiazdozbiór)
Scotland	Szkocja
Scotland	Kategoria:Szkocja
Scots Pine	Sosna zwyczajna
Scottish Gaelic	Język szkocki gaelicki
Scouting	Skauting
Scrabble	Scrabble
Screw	Śruba (złącze)
Screwdriver	Wkrętak
Scrotum	Moszna (anatomia)
Sculptor (constellation)	Rzeźbiarz (gwiazdozbiór)
Sculpture	Rzeźba
Sculpture	Kategoria:Rzeźba
Sea	Morze
Sea Otter	Wydra morska
Sea anemone	Ukwiał
Sea cucumber	Strzykwy
Sea level	Poziom morza
Sea of Azov	Morze Azowskie
Sea of Japan	Morze Japońskie
Sea of Marmara	Morze Marmara
Sea of Okhotsk	Morze Ochockie
Sea urchin	Jeżowce
Seaborgium	Seaborg
Seahorse	Konik morski
Search engine	Wyszukiwarka internetowa
Sears Tower	Sears Tower
Season	Pora roku
Seattle	Seattle
Second	Sekunda
Second Crusade	II wyprawa krzyżowa
Second Vatican Council	Sobór Watykański II
Second law of thermodynamics	Druga zasada termodynamiki
Sect	Sekta
Security	Kategoria:Ochrona
Sedimentary rock	Skały osadowe
Seed	Nasienie (botanika)
Segovia	Segowia
Seine	Sekwana
Seismology	Sejsmologia
Seismology	Kategoria:Sejsmologia
Selene	Selene
Selenium	Selen
Seleucus I Nicator	Seleukos I Nikator
Semantics	Semantyka
Semen	Sperma
Semicolon	Średnik
Semiconductor	Półprzewodniki
Semiotics	Semiotyka (językoznawstwo)
Semitic	Ludy semickie
Senegal	Senegal
Senegal	Kategoria:Senegal
Seoul	Seul
Seppuku	Seppuku
September	Wrzesień
September 11	11 września
September 11	Zamach na World Trade Center i Pentagon
September 17	17 września
September 29	29 września
Septuagint	Septuaginta
Sequence	Ciąg (matematyka)
Serbia	Serbia
Serbia	Kategoria:Serbia
Serbia and Montenegro	Serbia i Czarnogóra
Serbia and Montenegro	Kategoria:Serbia i Czarnogóra
Serfdom	Pańszczyzna
Sergei Eisenstein	Siergiej Eisenstein
Sergei Rachmaninoff	Siergiej Rachmaninow
Series (mathematics)	Szereg (matematyka)
Serine	Seryna
Serotonin	Serotonina
Serpens	Wąż (gwiazdozbiór)
Server (computing)	Serwer
Set	Zbiór
Set (mythology)	Set (bóg)
Set theory	Teoria mnogości
Set theory	Kategoria:Teoria mnogości
Sevastopol	Sewastopol
Seven Years' War	Wojna siedmioletnia
Severe acute respiratory syndrome	SARS (choroba)
Seville	Sewilla
Sex	Płeć
Sexism	Seksizm
Sextant	Sekstant
Sexual intercourse	Stosunek płciowy
Sexuality	Kategoria:Seksualność
Sexually transmitted disease	Choroby przenoszone drogą płciową
Seychelles	Seszele
Seychelles	Kategoria:Seszele
Shah	Szach (władca)
Shahadah	Szahada
Shamanism	Szamanizm
Shanghai	Szanghaj
Share (finance)	Akcja (prawo)
Shareware	Shareware
Sharia	Szariat
Shark	Rekiny
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Szetlandy
Shield	Tarcza (uzbrojenie)
Shikoku	Sikoku
Shinto	Shintō
Ship	Statek wodny
Shiva	Śiwa
Shogi	Shōgi
Shogun	Shōgun
Shorthand	Stenografia
Shrimp	Krewetki
Shrub	Krzew
Siberia	Syberia
Siberian Husky	Siberian Husky
Sichuan	Syczuan
Sicily	Sycylia
Sicily	Kategoria:Sycylia
Siemens (unit)	Simens
Sierra Leone	Sierra Leone
Sierra Leone	Kategoria:Sierra Leone
Sigma	Sigma
Sigmund Freud	Zygmunt Freud
Sign language	Język migowy
Sigrid Undset	Sigrid Undset
Sikhism	Sikhizm
Sikkim	Sikkim
Silesia	Śląsk
Silicon	Krzem
Silicon Valley	Dolina Krzemowa
Silicon dioxide	Ditlenek krzemu
Silk	Jedwab
Silk Road	Jedwabny szlak
Silurian	Sylur
Silver	Srebro
Simone de Beauvoir	Simone de Beauvoir
Sin	Grzech
Sinai Peninsula	Synaj (półwysep)
Sinclair Lewis	Sinclair Lewis
Singapore	Singapur
Singapore	Kategoria:Singapur
Single (music)	Singel (muzyka)
Siren	Syrena (mitologia)
Sirenia	Syreny
Sirius	Syriusz
Sistine Chapel	Kaplica Sykstyńska
Sisyphus	Syzyf
Sitting Bull	Siedzący Byk
Situation comedy	Sitcom
Six-Day War	Wojna sześciodniowa
Skagerrak	Skagerrak
Skateboard	Deskorolka
Skeletal system	Kategoria:Układ kostny człowieka
Skepticism	Sceptycyzm
Skin	Skóra
Skinhead	Skinhead
Skopje	Skopje
Skull	Czaszka
Skylab	Skylab
Skyscraper	Wieżowiec
Slash (musician)	Slash
Slavery	Niewolnictwo
Slayer	Slayer
Sleep	Sen
Slovakia	Słowacja
Slovakia	Kategoria:Słowacja
Slovenia	Słowenia
Slovenia	Kategoria:Słowenia
Small intestine	Jelito cienkie
Smog	Smog
Smolensk	Smoleńsk
Snake	Węże
Snooker	Snooker
Snow	Śnieg
Soap	Mydła
Social psychology	Psychologia społeczna
Socialism	Socjalizm
Socialism	Kategoria:Socjalizm
Socialist Party (France)	Partia Socjalistyczna (Francja)
Society	Kategoria:Społeczeństwo
Society	Społeczeństwo
Society of Jesus	Jezuici
Sociolinguistics	Socjolingwistyka
Sociology	Socjologia
Sociology	Kategoria:Socjologia
Socrates	Sokrates
Sodium	Sód
Sodium bicarbonate	Wodorowęglan sodu
Sodium chloride	Chlorek sodu
Sodium hydroxide	Wodorotlenek sodu
Sofia	Sofia
Softball	Softball
Software	Kategoria:Oprogramowanie
Soil	Gleba
Solanaceae	Psiankowate
Solanaceae	Kategoria:Psiankowate
Solar System	Układ Słoneczny
Solar System	Kategoria:Układ Słoneczny
Solar cell	Ogniwo słoneczne
Solar eclipse	Zaćmienie Słońca
Solar energy	Energetyka słoneczna
Solar wind	Wiatr słoneczny
Solid	Ciało stałe
Solidarity	Niezależny Samorządny Związek Zawodowy "Solidarność"
Solomon	Salomon (król Izraela)
Solomon Islands	Wyspy Salomona
Solomon Islands	Kategoria:Wyspy Salomona
Solon	Solon
Solstice	Przesilenie
Solution	Roztwór
Solvent	Rozpuszczalnik
Somalia	Somalia
Somalia	Kategoria:Somalia
Somerset	Hrabstwo Somerset (Anglia)
Somme	Somme
Sonata	Sonata
Song	Piosenka
Song of Solomon	Pieśń nad pieśniami
Sonnet	Sonet
Sophia Loren	Sophia Loren
Sophism	Sofiści
Sophocles	Sofokles
Soprano	Sopran
Sorbonne	Sorbona
Sorghum	Sorgo
Sorting algorithm	Sortowanie
Soul	Dusza
Sound	Dźwięk
Soup	Zupa
Source code	Kod źródłowy
South	Południe
South Africa	Kategoria:Republika Południowej Afryki
South America	Ameryka Południowa
South America	Kategoria:Ameryka Południowa
South Australia	Australia Południowa
South Carolina	Karolina Południowa
South Carolina	Kategoria:Karolina Południowa
South China Sea	Morze Południowochińskie
South Dakota	Dakota Południowa
South Dakota	Kategoria:Dakota Południowa
South Island	Wyspa Południowa (Nowa Zelandia)
South Korea	Korea Południowa
South Korea	Kategoria:Korea Południowa
South Pole	Biegun południowy
South Vietnam	Wietnam Południowy
Southeast Asia	Azja Południowo-Wschodnia
Southern Hemisphere	Półkula południowa
Sovereignty	Suwerenność
Soviet Union	Związek Socjalistycznych Republik Radzieckich
Soviet Union	Kategoria:ZSRR
Soybean	Soja
Space	Przestrzeń
Space Shuttle	Program lotów wahadłowców
Space station	Stacja orbitalna
Spacecraft	Statek kosmiczny
Spaghetti	Spaghetti
Spain	Hiszpania
Spain	Kategoria:Hiszpania
Spam (electronic)	Spam
Spanish Civil War	Hiszpańska wojna domowa
Spanish people	Kategoria:Hiszpanie
Spanish-American War	Wojna amerykańsko-hiszpańska
Sparta	Sparta
Spear	Włócznia
Special relativity	Szczególna teoria względności
Species	Gatunek (biologia)
Spectroscopy	Spektroskopia
Speed	Szybkość
Speed of light	Prędkość światła
Speleology	Speleologia
Spencer Tracy	Spencer Tracy
Sperm Whale	Kaszalot
Spermatophyte	Rośliny nasienne
Spermatozoon	Plemnik
Sphere	Sfera
Sphinx	Sfinks
Spice	Przyprawa
Spider	Pająki
Spin (physics)	Spin (fizyka)
Spinach	Szpinak
Spinal cord	Rdzeń kręgowy
Spiral galaxy	Galaktyka spiralna
Spleen	Śledziona
Split	Split (miasto)
Sponge	Gąbki
Sport	Sport
Spreadsheet	Arkusz kalkulacyjny
Spree	Sprewa
Spring (season)	Wiosna
Springfield	Springfield (Illinois)
Spyware	Spyware
Squamata	Łuskonośne
Square (geometry)	Kwadrat
Square metre	Metr kwadratowy
Squash (sport)	Squash
Squirrel	Wiewiórka
Sri Lanka	Sri Lanka
Sri Lanka	Kategoria:Sri Lanka
St. Louis	Saint Louis (Missouri)
Stadium	Stadion
Stained glass	Witraż
Stainless steel	Stal nierdzewna
Stalinism	Stalinizm
Standard Generalized Markup Language	Standard Generalized Markup Language
Standard deviation	Odchylenie standardowe
Stanford University	Uniwersytet Stanforda
Stanley Kubrick	Stanley Kubrick
Star	Gwiazda
Star of David	Gwiazda Dawida
Starch	Skrobia
Starfish	Rozgwiazdy
State	Państwo
Staten Island	Staten Island
Statistical mechanics	Mechanika statystyczna
Statistics	Statystyka
Statistics	Kategoria:Statystyka
Statue of Liberty	Statua Wolności
Stavanger	Stavanger
Steam engine	Silnik parowy
Steel	Stal
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegozaur
Stem cell	Komórki macierzyste
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Steppe	Step
Steradian	Steradian
Sternum	Mostek (anatomia człowieka)
Steroid	Steroidy
Steven Spielberg	Steven Spielberg
Sting	Sting
Stock exchange	Giełda
Stockholm	Sztokholm
Stoicism	Stoicyzm
Stomach	Żołądek
Stone Age	Epoka kamienia
Stonehenge	Stonehenge
Stork	Bocianowate
Storm	Sztorm (meteorologia)
Strait	Cieśnina
Strait of Gibraltar	Cieśnina Gibraltarska
Strait of Hormuz	Ormuz (cieśnina)
Strait of Magellan	Cieśnina Magellana
Strait of Messina	Cieśnina Mesyńska
Straits	Kategoria:Cieśniny
Strasbourg	Strasburg
Strategy	Strategia organizacji
Stratigraphy	Stratygrafia
Stratosphere	Stratosfera
Strawberry	Poziomka
Stress (medicine)	Stres
String theory	Teoria strun
Stroke	Udar mózgu
Strong interaction	Oddziaływanie silne
Strontium	Stront
Structuralism	Strukturalizm (językoznawstwo)
Stub	Szablon:Stub
Student	Student
Stupa	Stupa
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Styx	Styks
Sub-Saharan Africa	Czarna Afryka
Subculture	Subkultura
Sublimation (chemistry)	Sublimacja (fizyka)
Submarine	Okręt podwodny
Subset	Podzbiór
Subtraction	Odejmowanie
Subversion (software)	Subversion
Sucre	Sucre (miasto)
Sucrose	Sacharoza
Sudan	Sudan
Sudan	Kategoria:Sudan
Sudoku	Sudoku
