English	Vietnamese
Natural science	Khoa học tự nhiên
Nature	Tự nhiên
Nature	Thể loại:Tự nhiên
Nauru	Nauru
Nautical mile	Hải lý
Navigation	Thể loại:Định hướng
Nazi Germany	Đức Quốc xã
Nazi Germany	Thể loại:Đức Quốc Xã
Nazi Party	Đảng Công nhân Đức Quốc gia Xã hội chủ nghĩa
Nebraska	Nebraska
Nebuchadrezzar II	Nebuchadrezzar II
Necktie	Cà vạt
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Neon	Neon
Nepal	Nepal
Neptune	Sao Hải Vương
Neptunium	Neptuni
Nero	Nero
Nerva	Nerva
Nervous system	Thể loại:Hệ thần kinh
Netherlands	Hà Lan
Netherlands	Thể loại:Hà Lan
Netherlands Antilles	Antille thuộc Hà Lan
Network topology	Tô pô mạng
Neurology	Thể loại:Thần kinh học
Neutrino	Neutrino
Neutron	Neutron
Neutron star	Sao neutron
Neva River	Sông Neva
Nevada	Nevada
New Brunswick	New Brunswick
New Caledonia	Nouvelle-Calédonie
New Delhi	New Delhi
New England	New England
New Guinea	New Guinea
New Hampshire	New Hampshire
New Jersey	New Jersey
New Mexico	New Mexico
New Orleans	New Orleans, Louisiana
New South Wales	New South Wales
New Testament	Tân Ước
New World	Tân Thế giới
New York	Tiểu bang New York
New York (disambiguation)	New York (định hướng)
New York City	Thành phố New York
New York City	Thể loại:Thành phố New York
New York Stock Exchange	Sở giao dịch chứng khoán New York
New Zealand	New Zealand
New Zealand	Thể loại:New Zealand
Newfoundland (island)	Newfoundland (đảo)
Newfoundland and Labrador	Newfoundland và Labrador
Newport	Newport
Newton	Newton
Niagara Falls	Thác Niagara
Niamey	Niamey
Nicaragua	Nicaragua
Nice	Nice
Nicholas	Petrović Njegoš
Nickel	Niken
Nicolas Poussin	Nicolas Poussin
Nicolaus Copernicus	Nicolaus Copernicus
Nicotine	Nicotin
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Niger River	Sông Niger
Nigeria	Nigeria
Nikita Khrushchev	Nikita Sergeyevich Khrushchyov
Nikola Tesla	Nikola Tesla
Nile	Sông Nin
Nile crocodile	Cá sấu sông Nin
Ninja	Ninja
Niobium	Niobi
Nirvana	Niết-bàn
Nitric acid	Axit nitric
Nitrogen	Nitơ
Nitroglycerin	Nitroglycerin
Noam Chomsky	Noam Chomsky
Nobel Prize	Giải thưởng Nobel
Nobel Prize	Thể loại:Giải Nobel
Nobility	Phong tước
Nobility	Thể loại:Quý tộc
Noble gas	Khí hiếm
Nonmetal	Phi kim
Norfolk Island	Đảo Norfolk
Norma (constellation)	Củ Xích
Normal distribution	Phân bố chuẩn
Norn	Norn
Norse mythology	Thần thoại Bắc Âu
Norse mythology	Thể loại:Thần thoại Bắc Âu
North	Hướng Bắc
North Africa	Bắc Phi
North America	Bắc Mỹ
North America	Thể loại:Bắc Mỹ
North Carolina	Bắc Carolina
North Dakota	Bắc Dakota
North Korea	Cộng hòa Dân chủ Nhân dân Triều Tiên
North Korea	Thể loại:Bắc Triều Tiên
North Pole	Bắc Cực
North Sea	Bắc Hải (châu Âu)
North Star	Sao Bắc cực
Northern Europe	Bắc Âu
Northern Hemisphere	Bắc bán cầu
Northern Ireland	Bắc Ireland
Northern Mariana Islands	Quần đảo Bắc Mariana
Northern Territory	Lãnh thổ Bắc Úc
Northwest Territories	Northwest Territories
Norway	Na Uy
Norwegian Sea	Biển Na Uy
Nostradamus	Nostradamus
Nouakchott	Nouakchott
Noun	Danh từ
Nova Scotia	Nova Scotia
Novel	Tiểu thuyết
November	Tháng mười một
November 1	1 tháng 11
November 11	11 tháng 11
November 2	2 tháng 11
November 5	5 tháng 11
Nuclear fission	Phản ứng phân hạch hạt nhân
Nuclear fusion	Phản ứng tổng hợp hạt nhân
Nuclear physics	Vật lý hạt nhân
Nuclear weapon	Vũ khí hạt nhân
Nucleic acid	Axít nucleic
Nucleotide	Nucleotide
Number	Số (toán học)
Nunavut	Nunavut
Nuremberg	Nürnberg
Nutrition	Thể loại:Dinh dưỡng
Nymphaeaceae	Họ Súng
O	O
OPEC	Tổ chức các nước xuất khẩu dầu lửa
Oakland	Oakland, California
Oasis	Ốc đảo
Ob River	Sông Obi
Obesity	Béo phì
Object-oriented programming	Lập trình hướng đối tượng
Oboe	Ô-boa
Ocean	Đại dương
Ocean current	Hải lưu
Oceania	Châu Đại Dương
Oceania	Thể loại:Châu Đại Dương
Octal	Hệ bát phân
Octans	Nam Cực (chòm sao)
October	Tháng mười
October 12	12 tháng 10
October 24	24 tháng 10
Octopus	Bạch tuộc
Ode	Ode
Oder River	Oder
Odessa	Odessa
Odin	Odin
Odyssey	Odyssey
Oedipus	Oedipus (thần thoại)
Offside (football)	Việt vị
Ohio	Ohio
Ohio	Thể loại:Ohio
Ohm	Ohm
Ohm's law	Định luật Ohm
Oil painting	Sơn dầu
Oklahoma	Oklahoma
Oktoberfest	Lễ hội tháng Mười
Old Testament	Cựu Ước
Oligarchy	Oligarchy
Oligocene	Thế Oligocen
Oliver Stone	Oliver Stone
Olympia	Olympia, Hy Lạp
Olympic Games	Thế vận hội
Oman	Oman
Oncology	Thể loại:Ung thư học
Onion	Hành tây
Ontario	Ontario
Ontology	Bản thể luận
Oort cloud	Đám mây Oort
Opal	Đá opal
Opera	Opera
Opera (Internet suite)	Opera (trình duyệt)
Operating system	Hệ điều hành
Ophiuchus	Xà Phu
Optical illusion	Ảo ảnh (quang học)
Optics	Quang học
Optics	Thể loại:Quang học
Optimization (mathematics)	Tối ưu hóa (toán học)
Oral sex	Giao hợp bằng miệng
Orange (colour)	Da cam
Orange (fruit)	Cam
Orbit	Quỹ đạo
Orca	Cá hổ kình
Orchestra	Dàn nhạc giao hưởng
Orchidaceae	Họ Phong lan
Order (biology)	Bộ (sinh học)
Ordovician	Kỷ Ordovic
Oregon	Oregon
Oregon	Thể loại:Oregon
Organelle	Bào quan
Organic chemistry	Hóa hữu cơ
Organic chemistry	Thể loại:Hóa hữu cơ
Organic compound	Hợp chất hữu cơ
Organism	Sinh vật
Orgasm	Cực khoái
Origami	Origami
Orion (constellation)	Lạp Hộ
Orissa	Orissa
Orpheus	Orpheus
Orson Welles	Orson Welles
Osaka	Ōsaka
Osama bin Laden	Osama bin Laden
Oscar Wilde	Oscar Wilde
Oscillation	Dao động
Oslo	Oslo
Osteichthyes	Siêu lớp Cá xương
Ostrich	Đà điểu
Ottawa	Ottawa
Otto I	Otto I, Hoàng đế La Mã thần thánh
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Đế quốc Ottoman
Ottoman Empire	Thể loại:Đế quốc Ottoman
Ounce	Ounce
Oviedo	Oviedo
Oxford	Oxford
Oxide	Ôxít
Oxygen	Ôxy
Ozone	Ôzôn
Ozone layer	Lớp ôzôn
P	P
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Thái Bình Dương
Pacific Ocean	Thể loại:Thái Bình Dương
Padua	Padova
Painting	Thể loại:Hội họa
Pakistan	Pakistan
Pakistan	Thể loại:Pakistan
Palace of Versailles	Lâu đài Versailles
Palau	Palau
Paleocene	Thế Paleocen
Paleolithic	Thời đại đồ đá cũ
Paleontology	Cổ sinh vật học
Paleozoic	Đại Cổ sinh
Palestine	Palestine
Palestine	Thể loại:Palestine
Palestine Liberation Organization	Tổ chức Giải phóng Palestine
Pali	Tiếng Pali
Palladium	Paladi
Palm Sunday	Chúa nhật Lễ Lá
Panama	Panama
Panama	Thể loại:Panama
Panama Canal	Kênh đào Panama
Panama City	Thành phố Panama
Pancreas	Tụy
Pandemic	Đại dịch
Pangaea	Pangaea
Panthera	Chi Báo
Papua New Guinea	Papua New Guinea
Parabola	Parabol
Paradigm	Mẫu hình
Paragliding	Dù lượn
Paraguay	Paraguay
Parallax	Thị sai
Parallelogram	Hình bình hành
Paris	Paris
Paris	Thể loại:Paris
Paris (mythology)	Paris (thần thoại)
Parsec	Parsec
Parsley	Mùi tây
Parthenon	Đền Parthenon
Particle physics	Vật lý hạt
Particle physics	Thể loại:Vật lý hạt
Pascal	Pascal (định hướng)
Pascal (programming language)	Pascal (ngôn ngữ lập trình)
Pascal (unit)	Pascal
Passerine	Bộ Sẻ
Passover	Lễ Vượt Qua
Passport	Hộ chiếu
Password	Mật khẩu truy nhập
Pathology	Bệnh học thực vật
Patras	Patras
Patrick White	Patrick White
Patriotism	Chủ nghĩa yêu nước
Paul Johann Ludwig von Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Verlaine	Paul Verlaine
Paul the Apostle	Sứ đồ Phao-lô
Paul von Hindenburg	Paul von Hindenburg
Pauli exclusion principle	Nguyên lý loại trừ
Pavo (constellation)	Khổng Tước
Pays de la Loire	Pays de la Loire
Peace	Hòa bình
Peach	Đào (cây)
Peafowl	Công (chim)
Peanut	Lạc
Pearl	Ngọc trai
Pearl Harbor	Trân Châu Cảng
Pedagogy	Phương pháp giáo dục
Pedagogy	Thể loại:Phương pháp giáo dục
Pediatrics	Nhi khoa
Pedophilia	Ái nhi
Pegasus (constellation)	Phi Mã
Pencil	Bút chì
Penguin	Chim cánh cụt
Peninsula	Bán đảo
Pennsylvania	Pennsylvania
Pennsylvania	Thể loại:Pennsylvania
Pentecost	Lễ Thất Tuần
Pentecostalism	Phong trào Ngũ Tuần
People	Thể loại:Nhân vật
People's Republic of China	Cộng hòa Nhân dân Trung Hoa
Perception	Tri giác
Percy Bysshe Shelley	Percy Bysshe Shelley
Perestroika	Perestroika
Perfume	Nước hoa
Period (periodic table)	Chu kỳ tuần hoàn
Periodic table	Bảng tuần hoàn
Perm	Pecmi
Permian	Kỷ Permi
Permutation	Hoán vị
Perpetual motion	Động cơ vĩnh cửu
Perseus (constellation)	Anh Tiên
Persian Empire	Đế quốc Ba Tư
Persian Gulf	Vịnh Ba Tư
Personal digital assistant	Thiết bị kỹ thuật số hỗ trợ cá nhân
Perth	Perth, Tây Úc
Peru	Peru
Peru	Thể loại:Peru
Pesticide	Thuốc trừ dịch hại
Peter Paul Rubens	Peter Paul Rubens
Petrarch	Francesco Petrarca
Petroleum	Dầu mỏ
Phanerozoic	Liên đại Hiển sinh
Pharaoh	Pharaoh
Pharmacology	Dược lý học
Pharmacology	Thể loại:Dược lý học
Phenol	Phenol
Philadelphia	Philadelphia, Pennsylvania
Philately	Tem học
Philately	Thể loại:Tem học
Philip II of Macedon	Philip II của Macedonia
Philipp Lenard	Philipp Lenard
Philippines	Philippines
Philippines	Thể loại:Philippines
Philology	Văn hiến học
Philosopher's stone	Hòn đá triết lí
Philosophy	Triết học
Philosophy	Thể loại:Triết học
Philosophy	Chủ đề:Triết học
Phnom Penh	Phnôm Pênh
Phobos (moon)	Phobos (vệ tinh)
Phoenix	Phoenix, Arizona
Phoenix (constellation)	Phượng Hoàng (chòm sao)
Phoenix (spacecraft)	Phoenix (tàu vũ trụ)
Phosphoric acid	Axít phốtphoric
Phosphorus	Phốtpho
Photography	Nhiếp ảnh
Photography	Thể loại:Nhiếp ảnh
Photon	Photon
Photosynthesis	Quang hợp
Physical chemistry	Hóa lý
Physical chemistry	Thể loại:Hóa lý
Physician	Thầy thuốc
Physics	Vật lý học
Physics	Thể loại:Vật lý học
Physics	Chủ đề:Vật lý
Physiology	Sinh lý học
Physiology	Thể loại:Sinh lý học
Pi	Pi
Piano	Dương cầm
Picardie	Picardie
Pictor	Hội Giá
Pidgin (software)	Pidgin
Pierre Curie	Pierre Curie
Pierre de Fermat	Pierre de Fermat
Pieter Zeeman	Pieter Zeeman
Pinaceae	Họ Thông
Ping	Ping
Pink	Hồng (màu)
Piracy	Cướp biển
Pizza	Pizza
Plane (mathematics)	Mặt phẳng
Planet	Hành tinh
Plankton	Sinh vật phù du
Plant	Thực vật
Plasma (physics)	Plasma
Plasmid	Plasmid
Plastic	Chất dẻo
Plastid	Lạp thể
Plate tectonics	Mảng kiến tạo
Platinum	Bạch kim
Plato	Platon
Platypus	Thú mỏ vịt
Playboy	Playboy
Pleiades (star cluster)	Tua Rua
Pleistocene	Thế Pleistocen
Pliocene	Thế Pliocen
Plum	Mận
Pluto	Sao Diêm Vương
Pneumonia	Viêm phổi
Poaceae	Họ Hòa thảo
Poetry	Thơ
Poetry	Thể loại:Thơ
Point (geometry)	Điểm (hình học)
Poison	Chất độc
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Poland	Ba Lan
Poland	Thể loại:Ba Lan
Polar bear	Gấu trắng Bắc Cực
Polaris	Polaris
Police	Cảnh sát
Poliomyelitis	Bệnh viêm tủy xám
Political science	Chính trị học
Politics	Chính trị
Politics	Thể loại:Chính trị
Pollination	Thụ phấn
Pollution	Ô nhiễm môi trường
Polonium	Polonium
Polyethylene	Polyetylen
Polygon	Đa giác
Polymer	Polyme
Polynomial	Đa thức
Polyvinyl chloride	Polyvinyl clorua
Pomelo	Bưởi
Pompeii	Pompeii
Pompey	Pompey
Pop music	Nhạc Pop
Pope	Giáo hoàng
Poplar	Dương (thực vật)
Port	Cảng
Port Louis	Port Louis
Port Moresby	Port Moresby
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland, Oregon
Portland	Portland
Portsmouth	Portsmouth
Portugal	Bồ Đào Nha
Poseidon	Poseidon (thần thoại)
Positron	Positron
Postage stamp	Tem thư
Postal code	Mã bưu chính
Potassium	Kali
Potato	Khoai tây
Potential energy	Thế năng
Potsdam	Potsdam
Pound sterling	Bảng Anh
Poverty	Nghèo
Power (physics)	Công suất
Prague	Praha
Prague	Thể loại:Praha
Precession	Tiến động
Precipitation (meteorology)	Giáng thủy
Prehistory	Thời tiền sử
Prehistory	Thể loại:Tiền sử
President	Tổng thống
President of the United States	Tổng thống Hoa Kỳ
Pressure	Áp suất
Price	Giá cả
Primate	Linh trưởng
Primates	Thể loại:Bộ Linh trưởng
Prime Meridian	Kinh tuyến gốc
Prime minister	Thủ tướng
Prime number	Số nguyên tố
Prince Edward Island	Đảo Hoàng tử Edward
Princeton University	Đại học Princeton
Principle of relativity	Thuyết tương đối
Printing	In ấn
Prism (optics)	Lăng kính
Prison	Nhà tù
Prisoner of war	Tù binh
Prix Goncourt	Giải Goncourt
Probability theory	Lý thuyết xác suất
Probability theory	Thể loại:Lí thuyết xác suất
Professor	Giáo sư
Profit	Lợi nhuận
Programmer	Lập trình viên
Programming language	Ngôn ngữ lập trình
Project	Dự án
Prokaryote	Sinh vật nhân sơ
Propane	Prôpan
Protein	Protein
Proterozoic	Liên đại Nguyên Sinh
Protestant Reformation	Cải cách Kháng Cách
Protestantism	Tin Lành
Protocol	Giao thức
Proton	Proton
Protozoa	Động vật nguyên sinh
Prunus	Chi Mận mơ
Prussia	Vương quốc Phổ
Pseudoscience	Thể loại:Giả khoa học
Pseudoscience	Giả khoa học
Psoriasis	Bệnh vẩy nến
Psychiatry	Thể loại:Tâm thần học
Psychoanalysis	Phân tâm học
Psychology	Tâm lý học
Psychology	Thể loại:Tâm lý học
Psychotherapy	Tâm lý trị liệu
Ptolemaic dynasty	Nhà Ptolemy
Ptolemy	Claudius Ptolemaeus
Puberty	Tuổi dậy thì
Public domain	Phạm vi công cộng
Puerto Rico	Puerto Rico
Pulsar	Pulsar
Pump	Máy bơm
Puppis	Thuyền Vĩ
Pyongyang	Bình Nhưỡng
Pyrenees	Pyrénées
Pythagoras	Pythagoras
Python (programming language)	Python (ngôn ngữ lập trình)
Pyxis	La Bàn
Q	Q
Qatar	Qatar
Qin Dynasty	Nhà Tần
Qing Dynasty	Nhà Thanh
Quadratic equation	Phương trình bậc hai
Quadrilateral	Tứ giác
Quantum mechanics	Cơ học lượng tử
Quantum mechanics	Category:Cơ học lượng tử
Quark	Quark
Quartz	Thạch anh
Quasar	Quasar
Quaternary	Phân đại Đệ tứ
Quebec	Québec
Quebec City	Thành phố Québec
Queensland	Queensland
Question mark	Dấu chấm hỏi
Quito	Quito
R	R
RAF (disambiguation)	RAF
RAID	RAID
RNA	RNA
Ra	Thần Ra
Rabat	Rabat
Rabindranath Tagore	Rabindranath Tagore
Rachel Carson	Rachel Carson
Racism	Phân biệt chủng tộc
Radar	Radar
Radio	Thể loại:Truyền thanh
Radius	Bán kính
Radon	Radon
Rain	Mưa
Rainbow	Cầu vồng
Rainer Maria Rilke	Rainer Maria Rilke
Ralph Waldo Emerson	Ralph Waldo Emerson
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramesses II
Random access memory	RAM
Ranunculaceae	Họ Mao lương
Rape	Hiếp dâm
Raphael	Raffaello
Rapid transit	Thể loại:Tàu điện ngầm
Rational number	Số hữu tỉ
Ratite	Bộ Đà điểu
Read-only memory	Bộ nhớ chỉ đọc
Real number	Số thực
Recession	Suy thoái kinh tế
Recife	Recife
Rectangle	Hình chữ nhật
Rectifier	Mạch chỉnh lưu
Recursion	Đệ qui
Red	Đỏ
Red Army Faction	Phái Hồng quân
Red Sea	Biển Đỏ
Red algae	Tảo đỏ
Red blood cell	Hồng cầu
Red dwarf	Sao lùn đỏ
Red giant	Sao khổng lồ đỏ
Redshift	Dịch chuyển đỏ
Redshift (disambiguation)	Dịch chuyển đỏ
Reduced instruction set computer	RISC
Referendum	Trưng cầu dân ý
Refraction	Khúc xạ
Refractive index	Chiết suất
Regiment	Trung đoàn
Reims	Reims
Reincarnation	Đầu thai
Relation (mathematics)	Quan hệ (toán học)
Relativity	Thể loại:Thuyết tương đối
Religion	Tôn giáo
Religion	Thể loại:Tôn giáo
Rembrandt	Rembrandt
Renaissance	Phục Hưng
Renaissance	Thể loại:Phục Hưng
Reptile	Động vật bò sát
Republic	Cộng hòa
Republic of China	Trung Hoa Dân Quốc
Republic of Ireland	Cộng hòa Ireland
Republic of Ireland	Thể loại:Ireland
Republic of the Congo	Cộng hoà Congo
Republican Party (United States)	Đảng Cộng hòa Hoa Kỳ
Reticulum	Võng Cổ
Revolution	Cách mạng
Rhea (mythology)	Rhea (thần thoại)
Rhine	Rhine
Rhinoceros	Họ Tê giác
Rhode Island	Rhode Island
Rhodium	Rhodi
Rhombus	Hình thoi
Rhythm and blues	Rhythm and blues
Ribosome	Ribosome
Rice	Lúa
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Riga	Riga
Right ascension	Xích kinh
Ring (mathematics)	Vành
Ringo Starr	Ringo Starr
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (bang)
River	Sông
River Thames	Sông Thames
Riyadh	Riyadh
Road	Đường giao thông
Roald Amundsen	Roald Amundsen
Robert Andrews Millikan	Robert Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Koch	Robert Koch
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Robot	Người máy
Rock (geology)	Đá (địa chất)
Rock music	Thể loại:Nhạc rock
Rocket	Rốc két
Rocky Mountains	Dãy núi Rocky
Rococo	Kiến trúc Rococo
Rodent	Bộ Gặm nhấm
Roger Bacon	Roger Bacon
Roman Catholic Church	Giáo hội Công giáo Rôma
Roman Empire	Đế quốc La Mã
Roman Republic	Cộng hòa La Mã
Roman calendar	Lịch La Mã
Roman law	Luật La Mã
Roman legion	Lê dương La Mã
Roman mythology	Thần thoại La Mã
Roman mythology	Thể loại:Thần thoại La Mã
Romania	Romania
Romania	Thể loại:Romania
Romanticism	Chủ nghĩa lãng mạn
Rome	Roma
Ronald Reagan	Ronald Reagan
Root	Rễ
Rosales	Bộ Hoa hồng
Rosario	Rosario
Rostock	Rostock
Rotifer	Luân trùng
Rotterdam	Rotterdam
Router	Router
Royal Air Force	Không quân Hoàng gia Anh
Rubber	Cao su
Rubidium	Rubidi
Ruby	Hồng ngọc
Ruby (programming language)	Ruby (ngôn ngữ lập trình)
Rudolf Diesel	Rudolf Diesel
Rudyard Kipling	Rudyard Kipling
Rupert Murdoch	Rupert Murdoch
Russia	Nga
Russia	Thể loại:Nga
Russian Orthodox Church	Chính Thống giáo Nga
Russian Revolution (1917)	Cách mạng Tháng Mười
Russo-Japanese War	Chiến tranh Nga-Nhật
Ruthenium	Rutheni
Rutherford B. Hayes	Rutherford B. Hayes
Rwanda	Rwanda
S	S
SOS	SOS
Sacramento	Sacramento, California
Saddam Hussein	Saddam Hussein
Sagitta	Thiên Tiễn
Sahara	Sa mạc Sahara
Saint	Thánh (Kitô Giáo)
Saint Kitts and Nevis	Saint Kitts và Nevis
Saint Lucia	Saint Lucia
Saint Nicholas	Thánh Nicolas
Saint Petersburg	Sankt-Peterburg
Saint Petersburg	Thể loại:Sankt-Peterburg
Saint Vincent and the Grenadines	Saint Vincent và Grenadines
Sake	Sake
Saladin	Saladin
Salem	Salem, Oregon
Saliva	Nước miếng
Salman Rushdie	Salman Rushdie
Salmonidae	Họ Cá hồi
Salt	Muối ăn
Salt (chemistry)	Muối (hóa học)
Salt Lake City	Salt Lake City, Utah
Salvador	Salvador, Bahia
Salzburg	Salzburg
Samsara	Luân hồi
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Morse
Samurai	Samurai
San Antonio	San Antonio, Texas
San Diego	San Diego, California
San Francisco	San Francisco, California
San Jose	San Jose, California
San Marino	San Marino
San Marino	Thành phố San Marino
San Salvador	San Salvador
Sand	Cát
Sandstone	Đá cát
Sandwich	Bánh mì kẹp
Sanskrit	Tiếng Phạn
Santa Claus	Ông già Noel
Santiago	Santiago de Chile
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Sapphire	Xa-phia
Sappho	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarin	Sarin
Saskatchewan	Saskatchewan
Satellite	Vệ tinh
Saturday	Thứ Bảy
Saturn	Sao Thổ
Saudi Arabia	Ả Rập Saudi
Saul Bellow	Saul Bellow
Saxony	Sachsen
Scandinavia	Scandinavia
Scandium	Scandi
Scheme (programming language)	Scheme
Scholasticism	Triết học kinh viện
Schutzstaffel	Schutzstaffel
Science	Khoa học
Science	Thể loại:Khoa học
Sciuridae	Họ Sóc
Scorpion	Bọ cạp
Scorpius	Thiên Hạt (định hướng)
Scotland	Scotland
Scouting	Hướng đạo
Scrotum	Bìu dái
Sculptor (constellation)	Ngọc Phu
Sculpture	Thể loại:Điêu khắc
Sea	Biển
Sea cucumber	Hải sâm
Sea level	Mực nước biển
Sea of Azov	Biển Azov
Sea of Japan	Biển Nhật Bản
Sea of Marmara	Biển Marmara
Sea of Okhotsk	Biển Okhotsk
Seahorse	Cá ngựa
Search engine	Máy truy tìm dữ liệu
Sears Tower	Sears Tower
Season	Mùa
Seattle	Seattle, Washington
Second	Giây
Second Vatican Council	Công đồng Vatican II
Second law of thermodynamics	Định luật hai nhiệt động lực học
Security	Thể loại:An ninh
Sedimentary rock	Đá trầm tích
Seine	Sông Seine
Seismology	Địa chấn học
Seismology	Thể loại:Địa chấn học
Selenium	Selen
Seleucus I Nicator	Seleucus I Nicator
Semantics	Thể loại:Ngữ nghĩa học
Semen	Tinh dịch
Semiconductor	Chất bán dẫn
Senegal	Sénégal
Senegal	Thể loại:Sénégal
Seoul	Seoul
Seppuku	Seppuku
September	Tháng chín
September 11	11 tháng 9
September 11	Sự kiện 11 tháng 9
September 17	17 tháng 9
September 29	29 tháng 9
Sequence	Dãy (toán học)
Serbia	Serbia
Serbia and Montenegro	Serbia và Montenegro
Serbia and Montenegro	Thể loại:Serbia và Montenegro
Sergei Eisenstein	Sergei Mikhailovich Eisenstein
Sergei Rachmaninoff	Sergei Vasilievich Rachmaninoff
Series (mathematics)	Chuỗi (toán học)
Serpens	Cự Xà
Server (computing)	Máy chủ
Set	Tập hợp
Sevastopol	Sevastopol
Seven Years' War	Chiến tranh Bảy năm
Severe acute respiratory syndrome	SARS
Seville	Sevilla
Sexual intercourse	Quan hệ tình dục
Sexuality	Thể loại:Tính dục
Sexually transmitted disease	Bệnh lây truyền qua đường tình dục
Seychelles	Seychelles
Shanghai	Thượng Hải
Shareware	Shareware
Shark	Cá mập
Sherlock Holmes	Sherlock Holmes
Shinto	Shintō
Shogi	Shogi
Shogun	Shōgun
Shrimp	Tôm thực sự
Siberia	Siberi
Sichuan	Tứ Xuyên
Siemens (unit)	Siemens (đơn vị)
Sierra Leone	Sierra Leone
Sigmund Freud	Sigmund Freud
Sign language	Ngôn ngữ ký hiệu
Sigrid Undset	Sigrid Undset
Sikkim	Sikkim
Silesia	Silesia
Silicon	Silic
Silicon Valley	Silicon Valley
Silk	Lụa
Silk Road	Con đường tơ lụa
Silurian	Kỷ Silur
Silver	Bạc
Simone de Beauvoir	Simone de Beauvoir
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Singapore	Thể loại:Singapore
Sitting Bull	Sitting Bull
Situation comedy	Hài kịch tình huống
Six-Day War	Chiến tranh Sáu ngày
Skagerrak	Skagerrak
Skin	Da
Skopje	Skopje
Skyscraper	Nhà chọc trời
Slavery	Nô lệ
Slovakia	Slovakia
Slovakia	Thể loại:Slovakia
Slovenia	Slovenia
Snake	Rắn
Snow	Tuyết
Soap	Xà phòng
Socialism	Chủ nghĩa xã hội
Society	Xã hội
Society of Jesus	Dòng Tên
Sociology	Xã hội học
Sociology	Thể loại:Xã hội học
Socrates	Socrates
Sodium	Natri
Sodium chloride	Clorua natri
Sodium hydroxide	Natri hydroxit
Sofia	Sofia (tỉnh)
Software	Thể loại:Phần mềm
Soil	Đất
Solanaceae	Họ Cà
Solanaceae	Thể loại:Họ Cà
Solar System	Hệ Mặt Trời
Solar System	Thể loại:Hệ Mặt Trời
Solar cell	Pin mặt trời
Solar eclipse	Nhật thực
Solar energy	Năng lượng Mặt Trời
Solar wind	Gió Mặt Trời
Solid	Chất rắn
Solid state	Chất rắn
Solomon Islands	Quần đảo Solomon
Somalia	Somalia
Somme	Somme
Sonata	Sonata
Song	Bài hát
Sophia Loren	Sophia Loren
Sorbonne	Sorbonne
Sorghum	Chi Lúa miến
Sorting algorithm	Thuật toán sắp xếp
Soul	Linh hồn
Sound	Âm thanh
Source code	Mã nguồn
South	Hướng Nam
South Africa	Thể loại:Nam Phi
South America	Nam Mỹ
South America	Thể loại:Nam Mỹ
South Australia	Nam Úc (tiểu bang)
South Carolina	Nam Carolina
South China Sea	Biển Đông
South Dakota	Nam Dakota
South Korea	Hàn Quốc
South Korea	Thể loại:Hàn Quốc
South Pole	Nam Cực
South Vietnam	Việt Nam Cộng hòa
Southeast Asia	Đông Nam Á
Southern Hemisphere	Nam bán cầu
Soviet Union	Liên Xô
Soviet Union	Thể loại:Liên Xô
Soybean	Đậu tương
Spacecraft	Tàu vũ trụ
Spaghetti	Mỳ ống Italia
Spain	Tây Ban Nha
Spain	Thể loại:Tây Ban Nha
Spam (electronic)	Thư rác (điện tử)
Spanish Civil War	Nội chiến Tây Ban Nha
Spanish people	Thể loại:Người Tây Ban Nha
Special relativity	Lý thuyết tương đối hẹp
Species	Loài
Spectroscopy	Phổ học
Speed of light	Tốc độ ánh sáng
Spencer Tracy	Spencer Tracy
Spermatophyte	Thực vật có hạt
Spermatozoon	Tinh trùng
Sphinx	Nhân sư
Spice	Gia vị
Spider	Nhện
Spin (physics)	Spin
Spinal cord	Tủy sống
Spleen	Lách
Sport	Thể thao
Spring (season)	Mùa xuân
Springfield	Springfield, Illinois
Spyware	Phần mềm gián điệp
Square (geometry)	Hình vuông
Square metre	Mét vuông
Sri Lanka	Sri Lanka
Sri Lanka	Thể loại:Sri Lanka
Stadium	Sân vận động
Stainless steel	Thép không gỉ
Stanford University	Đại học Stanford
