Georgian	English
რიო-დე-ჟანეირო (ქალაქი)	Rio de Janeiro
რიო-დე-ჟანეირო (შტატი)	Rio de Janeiro (state)
ტემზა	River Thames
ერ-რიადი	Riyadh
რუალ ამუნდსენი	Roald Amundsen
რობერტ ბიოლი	Robert Boyle
რობერტ დე ნირო	Robert De Niro
რობერტ კოხი	Robert Koch
რობერტ რედფორდი	Robert Redford
კატეგორია:როკ-მუსიკა	Rock music
რაკეტა	Rocket
როკოკო	Rococo
მღრღნელები	Rodent
რომის კათოლიკური ეკლესია	Roman Catholic Church
რომის იმპერია	Roman Empire
რომის რესპუბლიკა	Roman Republic
რომაული კალენდარი	Roman calendar
რომაული რელიგია	Roman mythology
კატეგორია:რომაული მითოლოგია	Roman mythology
რუმინეთი	Romania
კატეგორია:რუმინეთი	Romania
რომანტიზმი	Romanticism
რომი	Rome
რონალდ რეიგანი	Ronald Reagan
ჭილყვავი	Rook (bird)
ვარდისებრნი	Rosaceae
როზეტის ქვა	Rosetta Stone
როსტოკი	Rostock
როტერდამი	Rotterdam
როიალ ეარ ფორსი	Royal Air Force
ლონდონის სამეფო საზოგადოება	Royal Society
რუბიკონი	Rubicon
რუბი (პროგრამირების ენა)	Ruby (programming language)
რუდოლფ ჰესი	Rudolf Hess
რადიარდ კიპლინგი	Rudyard Kipling
რაგბი	Rugby football
რუსეთი	Russia
კატეგორია:რუსეთი	Russia
რეზერფორდ ჰეისი	Rutherford B. Hayes
რუანდა	Rwanda
კატეგორია:რუანდა	Rwanda
შვრია	Rye
S	S
საიდუმლონი	Sacrament
საკრამენტო	Sacramento
სადამ ჰუსეინი	Saddam Hussein
საფარი (ბრაუზერი)	Safari (web browser)
მშვილდოსანი (თანავარსკვლავედი)	Sagittarius (constellation)
საჰარა	Sahara
ანდრია პირველწოდებული	Saint Andrew
წმინდა გიორგი	Saint George
წმინდა პეტრე	Saint Peter
სანქტ-პეტერბურგი	Saint Petersburg
კატეგორია:სანქტ-პეტერბურგი	Saint Petersburg
საკე	Sake
სალადინი	Saladin
სალმან რაშდი	Salman Rushdie
სუფრის მარილი	Salt
მარილები	Salt (chemistry)
ზალცბურგი	Salzburg
სამოა	Samoa
სამსარა	Samsara
სამუელ ბეკეტი	Samuel Beckett
სემიუელ მორზე	Samuel F. B. Morse
სამურაი	Samurai
სან-ანტონიო	San Antonio
სან-დიეგო	San Diego
სან-ფრანცისკო	San Francisco
სან-ხოსე (კალიფორნია)	San Jose
სან-მარინო	San Marino
სან-მარინო (ქალაქი)	San Marino
სენდვიჩი	Sandwich
სანსკრიტი	Sanskrit
სანტიაგო დე ჩილე	Santiago
სანტიაგო	Santiago
სანტო-დომინგო	Santo Domingo
საპორო	Sapporo
სარაევო	Sarajevo
სარდინია	Sardinia
სასკაჩევანი	Saskatchewan
ხელოვნური თანამგზავრი	Satellite
სატირა	Satire
შაბათი	Saturday
სატურნი (პლანეტა)	Saturn
სატურნი (ღვთაება)	Saturn (mythology)
საუდის არაბეთი	Saudi Arabia
საქსონია	Saxony
კატეგორია:საქსონია	Saxony
საქსოფონი	Saxophone
სკანდინავია	Scandinavia
კატეგორია:სკანდინავია	Scandinavia
სკოლა	School
სს	Schutzstaffel
მეცნიერება	Science
კატეგორია:მეცნიერება	Science
ფანტასტიკა	Science fiction
ციყვისებრნი	Sciuridae
მორიელები	Scorpion
ღრიანკალი (თანავარსკვლავედი)	Scorpius
შოტლანდია	Scotland
კატეგორია:შოტლანდია	Scotland
ქანდაკება	Sculpture
კატეგორია:სკულპტურა	Sculpture
ზღვა	Sea
ზღვის წავი	Sea Otter
აქტინიები	Sea anemone
ჰოლოთურიები	Sea cucumber
ზღვის დონე	Sea level
აზოვის ზღვა	Sea of Azov
მარმარილოს ზღვა	Sea of Marmara
ზღვის ზღარბები	Sea urchin
ზღვის ცხენთევზა	Seahorse
სირს ტაუერი	Sears Tower
სიეტლი	Seattle
წამი	Second
მეორე ჯვაროსნული ლაშქრობა	Second Crusade
სენა (მდინარე)	Seine
კატეგორია:სეისმოლოგია	Seismology
კატეგორია:სემანტიკა	Semantics
სენატი	Senate
სენეგალი	Senegal
კატეგორია:სენეგალი	Senegal
სეული	Seoul
სეპუკუ	Seppuku
სექტემბერი	September
11 სექტემბერი	September 11
17 სექტემბერი	September 17
29 სექტემბერი	September 29
სერბეთი	Serbia
კატეგორია:სერბეთი	Serbia
სერბია და მონტენეგრო	Serbia and Montenegro
სერგეი ეიზენშტეინი	Sergei Eisenstein
სერგეი რახმანინოვი	Sergei Rachmaninoff
გველი (თანავარსკვლავედი)	Serpens
სერვერი	Server (computing)
სიმრავლე	Set
სიმრავლეთა თეორია	Set theory
კატეგორია:სიმრავლეთა თეორია	Set theory
სევასტოპოლი	Sevastopol
სევილია	Seville
სქესობრივი გზით გადამდები ინფექციები	Sexually transmitted disease
სეიშელის კუნძულები	Seychelles
შაჰი	Shah
შამანიზმი	Shamanism
შანჰაი	Shanghai
ზვიგენები	Shark
შერლოკ ჰოლმსი	Sherlock Holmes
სიკოკუ	Shikoku
გემი	Ship
შივა	Shiva
სიოგუნი	Shogun
ბუჩქი	Shrub
სიჩუანი	Sichuan
სიცილია	Sicily
კატეგორია:სიცილია	Sicily
სიერა-ლეონე	Sierra Leone
სიგმა (ასო)	Sigma
ზიგმუნდ ფროიდი	Sigmund Freud
სიქიზმი	Sikhism
სიკიმი	Sikkim
აბრეშუმის დიდი გზა	Silk Road
ვერცხლი	Silver
სინაის ნახევარკუნძული	Sinai Peninsula
სინგაპური	Singapore
კატეგორია:სინგაპური	Singapore
სინგლი	Single (music)
სიქსტეს კაპელა	Sistine Chapel
მჯდომარე ხარი	Sitting Bull
სიტკომი	Situation comedy
კანი	Skin
სკოპიე	Skopje
ცათამბჯენი	Skyscraper
მონათმფლობელობა	Slavery
სლოვაკეთი	Slovakia
კატეგორია:სლოვაკეთი	Slovakia
სლოვენია	Slovenia
კატეგორია:სლოვენია	Slovenia
გველები	Snake
თოვლი	Snow
სოციალიზმი	Socialism
კატეგორია:სოციალიზმი	Socialism
სოციალისტური პარტია (საფრანგეთი)	Socialist Party (France)
კატეგორია:საზოგადოება	Society
იეზუიტთა ორდენი	Society of Jesus
სოციოლოგია	Sociology
კატეგორია:სოციოლოგია	Sociology
სოკრატე	Socrates
ნატრიუმი	Sodium
ნატრიუმქლორიდი	Sodium chloride
სოფია	Sofia
კატეგორია:ძაღლყურძენასებრნი	Solanaceae
მზის სისტემა	Solar System
კატეგორია:მზის სისტემა	Solar System
მყარი სხეული	Solid
სოლომონ მეფე	Solomon
კატეგორია:სოლომონის კუნძულები	Solomon Islands
სომალი	Somalia
კატეგორია:სომალი	Somalia
სიმღერა	Song
სონეტი	Sonnet
სოფი ლორენი	Sophia Loren
სოფოკლე	Sophocles
სორგო	Sorghum
სული	Soul
კატეგორია:სამხრეთ აფრიკის რესპუბლიკა	South Africa
სამხრეთი ამერიკა	South America
კატეგორია:სამხრეთი ამერიკა	South America
სამხრეთი ავსტრალია	South Australia
სამხრეთი კაროლინა	South Carolina
სამხრეთი დაკოტა	South Dakota
კატეგორია:სამხრეთი დაკოტა	South Dakota
სამხრეთი კორეა	South Korea
კატეგორია:სამხრეთი კორეა	South Korea
სამხრეთ-აღმოსავლეთი აზია	Southeast Asia
სუვერენიტეტი	Sovereignty
სსრკ	Soviet Union
კატეგორია:სსრკ	Soviet Union
ორბიტული სადგური	Space station
კოსმოსური ხომალდი	Spacecraft
ესპანეთი	Spain
კატეგორია:ესპანეთი	Spain
კატეგორია:ესპანელები	Spanish people
სიჩქარე	Speed
სპელეოლოგია	Speleology
კაშალოტი	Sperm Whale
თესლოვანი მცენარეები	Spermatophyte
სპინი	Spin (physics)
ელენთა	Spleen
სპორტი	Sport
გაზაფხული	Spring (season)
კვადრატი	Square (geometry)
კვადრატული მეტრი	Square metre
კვადრატული ფესვი	Square root
შრი-ლანკა	Sri Lanka
კატეგორია:შრი-ლანკა	Sri Lanka
სენტ-ლუისი	St. Louis
სტადიონი	Stadium
სტალინიზმი	Stalinism
სტენფორდის უნივერსიტეტი	Stanford University
ვარსკვლავი	Star
ზღვის ვარსკვლავები	Starfish
სახელმწიფო	State
სტეიტენ-აილენდი	Staten Island
სტატისტიკა	Statistics
კატეგორია:სტატისტიკა	Statistics
თავისუფლების ქანდაკება	Statue of Liberty
ფოლადი	Steel
ღეროვანი უჯრედი	Stem cell
სტენდალი	Stendhal
ველი	Steppe
სტივენ სპილბერგი	Steven Spielberg
სტინგი	Sting
საფონდო ბირჟა	Stock exchange
სტოკჰოლმი	Stockholm
კუჭი	Stomach
გიბრალტარის სრუტე	Strait of Gibraltar
კატეგორია:სრუტეები	Straits
სტრასბური	Strasbourg
მარწყვი	Strawberry
შტუტგარტი	Stuttgart
სუბკულტურა	Subculture
სუკრე	Sucre
სუდანი	Sudan
კატეგორია:სუდანი	Sudan
სუეცის არხი	Suez Canal
შაქარი	Sugar
შუმერი	Sumer
ზაფხული	Summer
მზე	Sun
კვირა	Sunday
სუპერკომპიუტერი	Supercomputer
ზეახალი ვარსკვლავი	Supernova
სიურრეალიზმი	Surrealism
სიუზან ზონტაგი	Susan Sontag
გედები	Swan
სვასტიკა	Swastika
სვაზილენდი	Swaziland
შვედეთი	Sweden
კატეგორია:შვედეთი	Sweden
ბატატი	Sweet potato
კატეგორია:ცურვა	Swimming
შვეიცარული ფრანკი	Swiss franc
კატეგორია:შვეიცარიელები	Swiss people
შვეიცარია	Switzerland
კატეგორია:შვეიცარია	Switzerland
სიდნეი	Sydney
სილვია პლათი	Sylvia Plath
სინაგოგა	Synagogue
სინესთეზია	Synesthesia
სინონიმი	Synonym
სირია	Syria
სისტემატიკა	Systematics
T	T
მაგიდის ჩოგბურთი	Table tennis
პუბლიუს კორნელიუს ტაციტუსი	Tacitus
ტაიბეი	Taipei
თაჯ-მაჰალი	Taj Mahal
ტაჯიკეთი	Tajikistan
კატეგორია:ტაჯიკეთი	Tajikistan
თალიბანი	Taliban
ტალინი	Tallinn
ტამილნადუ	Tamil Nadu
ტანგო	Tango (dance)
ტანზანია	Tanzania
კატეგორია:ტანზანია	Tanzania
ტარტუ	Tartu
ტაშკენტი	Tashkent
ტასმანია (შტატი)	Tasmania
ტაუ (ასო)	Tau
კურო (თანავარსკვლავედი)	Taurus (constellation)
კატეგორია:გადასახადები	Taxation
ტაქსი	Taxicab
თბილისი	Tbilisi
ჩაი	Tea
კატეგორია:ჩაი	Tea
ტექნოლოგია	Technology
თეირანი	Tehran
თელ-ავივი	Tel Aviv
კავშირგაბმულობა	Telecommunication
ტელეგრაფი	Telegraphy
ტელესკოპი	Telescope
ტელევიზია	Television
კატეგორია:ტელევიზია	Television
ეფესოს ტაძარი	Temple of Artemis
ათი მცნება	Ten Commandments
ტენესი	Tennessee
კატეგორია:ტენესი	Tennessee
ტენესი უილიამსი	Tennessee Williams
ჩოგბურთი	Tennis
კატეგორია:ჩოგბურთი	Tennis
ტეკილა	Tequila
ტერორიზმი	Terrorism
კატეგორია:ტერორიზმი	Terrorism
ტეხასი	Texas
ტაილანდი	Thailand
კატეგორია:ტაილანდი	Thailand
თალესი	Thales
გამბია	The Gambia
კატეგორია:გამბია	The Gambia
ჰააგა	The Hague
თეატრი	Theatre
კატეგორია:თეატრი	Theatre
თემისი	Themis
თეოკრატია	Theocracy
თეოდორ მომზენი	Theodor Mommsen
თეოდორ რუზველტი	Theodore Roosevelt
კატეგორია:თეოლოგია	Theology
თეორემა	Theorem
ფარდობითობის თეორია	Theory of relativity
სალონიკი	Thessaloniki
თეტა (ასო)	Theta
ქარაზრის წყარო	Think tank
მესამე ჯვაროსნული ლაშქრობა	Third Crusade
თომა აკვინელი	Thomas Aquinas
თომას ალვა ედისონი	Thomas Edison
თომას ჰარდი	Thomas Hardy
თომას ჯეფერსონი	Thomas Jefferson
თომას მანი	Thomas Mann
თომას მორი	Thomas More
ტორი	Thor
თოტი	Thoth
თრაკია	Thrace
თუკიდიდე	Thucydides
თიურინგია	Thuringia
ხუთშაბათი	Thursday
ტიბრი	Tiber
ტიბერიუსი	Tiberius
ტიბეტი	Tibet
ცეცხლოვანი მიწა	Tierra del Fuego
ვეფხვი	Tiger
ტიმბუქტუ	Timbuktu
დრო	Time
კატეგორია:დრო	Time
ტაიმი (ჟურნალი)	Time (magazine)
სასაათო სარტყელი	Time zone
თემურლენგი	Timur
კალა (ელემენტი)	Tin
ტირანა	Tirana
წივწივასებრნი	Tit (bird)
ტიტანები	Titan (mythology)
ტიციანი	Titian
ტიტუსი	Titus
ტოკანტინსი	Tocantins (state)
ტოგო	Togo
ტოკიო	Tokyo
ტომ ჰენქსი	Tom Hanks
ტონგა	Tonga
ენა (ორგანო)	Tongue
ტონი მორისონი	Toni Morrison
ტონი ბლერი	Tony Blair
ტოპოლოგია	Topology
კატეგორია:ტოპოლოგია	Topology
თორა	Torah
ტორონტო	Toronto
ტორპედო (ჭურვი)	Torpedo
წამება	Torture
ტოტალიტარიზმი	Totalitarianism
ტულუზა	Toulouse
ტურ დე ფრანსი	Tour de France
ტურიზმი	Tourism
კოშკი	Tower
ბაბილონის გოდოლი	Tower of Babel
ქალაქი	Town
ტრადიცია	Tradition
ტრაგედია	Tragedy
ტრაიანე	Trajan
ტრამვაი	Tram
ტრანსფორმატორი	Transformer
ტრანზისტორი	Transistor
ტრაპეცია	Trapezoid
ვერსალის საზავო ხელშეკრულება (1919)	Treaty of Versailles
სამკუთხედი	Triangle
ტრირი	Trier
ტრიგონომეტრია	Trigonometry
ტრინიდადი და ტობაგო	Trinidad and Tobago
ტრიპოლი	Tripoli
ტროას ომი	Trojan War
ტროცკიზმი	Trotskyism
ტროა	Troy
ცარი	Tsar
ტუბერკულიოზი	Tuberculosis
ტუსონი (არიზონა)	Tucson
სამშაბათი	Tuesday
გარსიანები	Tunicate
ტუნისი (ქალაქი)	Tunis
ტუნისი	Tunisia
კატეგორია:ტუნისი	Tunisia
ტურინი	Turin
თურქეთი	Turkey
კატეგორია:თურქეთი	Turkey
თურქმენეთი	Turkmenistan
კატეგორია:თურქმენეთი	Turkmenistan
კუ (ცხოველი)	Turtle
ტოსკანა	Tuscany
ტუქსი	Tux
საბეჭდი მანქანა	Typewriter
U	U
იუნესკო	UNESCO
უფა	Ufa
უგანდა	Uganda
უკრაინა	Ukraine
კატეგორია:უკრაინა	Ukraine
ულან-ბატორი	Ulan Bator
ულისე გრანტი	Ulysses S. Grant
უმბრია	Umbria
არაბეთის გაერთიანებული საამიროები	United Arab Emirates
კატეგორია:არაბეთის გაერთიანებული საამიროები	United Arab Emirates
გაერთიანებული სამეფო	United Kingdom
კატეგორია:გაერთიანებული სამეფო	United Kingdom
გაერთიანებული ერების ორგანიზაცია	United Nations
კატეგორია:გაერო	United Nations
გაეროს ბავშვთა ფონდი	United Nations Children's Fund
ამერიკის შეერთებული შტატები	United States
კატეგორია:აშშ	United States
აშშ-ის კონგრესი	United States Congress
ამერიკის შეერთებული შტატების კონსტიტუცია	United States Constitution
წარმომადგენელთა პალატა (აშშ)	United States House of Representatives
ვესტ პოინტი	United States Military Academy
აშშ-ის სენატი	United States Senate
ამერიკული დოლარი	United States dollar
სამყარო	Universe
უნივერსიტეტი	University
პენსილვანიის უნივერსიტეტი	University of Pennsylvania
კატეგორია:იუნიქსი	Unix
იფსილონი (ასო)	Upsilon
ური	Ur
ურალის მთები	Ural Mountains
ურანი (პლანეტა)	Uranus
ურანოსი	Uranus (mythology)
ურდუ ენა	Urdu
დიდი დათვი (თანავარსკვლავედი)	Ursa Major
ურუგვაი	Uruguay
კატეგორია:ურუგვაი	Uruguay
იუტა	Utah
უტარ-პრადეში	Uttar Pradesh
უზბეკეთი	Uzbekistan
კატეგორია:უზბეკეთი	Uzbekistan
V	V
ვადუცი	Vaduz
ვალენტობა	Valence (chemistry)
ვალენსია (ქალაქი)	Valencia
ვალენსია	Valencia
ვალეტა	Valletta
ვამპირი	Vampire
ვანკუვერი	Vancouver
ვარნა	Varna
ვატიკანი	Vatican City
კატეგორია:ვატიკანი	Vatican City
ვექტორი	Vector (spatial)
ბოსტნეული კულტურები	Vegetable
ვენეტო	Veneto
ვენესუელა	Venezuela
ვენეცია	Venice
ვენერა (პლანეტა)	Venus
ვენერა (მითოლოგია)	Venus (mythology)
ზმნა	Verb
ვერმონტი	Vermont
ხერხემლიანები	Vertebrate
ვესპასიანე ფლავიუსი	Vespasian
ვესტა (მითოლოგია)	Vesta (mythology)
ვეტო	Veto
აშშ-ის ვიცე-პრეზიდენტი	Vice President of the United States
ვიქტორ ჰიუგო	Victor Hugo
ვიქტორია (შტატი)	Victoria (Australia)
ვენა	Vienna
კატეგორია:ვენა	Vienna
ვიენტიანი	Vientiane
ვიეტნამი	Vietnam
კატეგორია:ვიეტნამი	Vietnam
ინდოჩინეთის მეორე ომი	Vietnam War
ვილნიუსი	Vilnius
ვინსენტ ვან გოგი	Vincent van Gogh
პუბლიუს ვერგილიუს მარონი	Virgil
ვირჯინია	Virginia
კატეგორია:ვირჯინია	Virginia
ქალწულობა	Virginity
ქალწული (თანავარსკვლავედი)	Virgo (constellation)
ვირუსები	Virus
ვიშნუ	Vishnu
ვიტამინები	Vitamin
ვიტორიო დე სიკა	Vittorio De Sica
ვივიენ ლი	Vivien Leigh
ლენინი	Vladimir Lenin
ვლადიმირ ნაბოკოვი	Vladimir Nabokov
ვლადიმირ პუტინი	Vladimir Putin
ვლადივოსტოკი	Vladivostok
არაყი	Vodka
ვულკანი	Volcano
ვოლგა (მდინარე)	Volga River
ვოლგოგრადი	Volgograd
ვოლტერი	Voltaire
ვუდუ	Voodoo
ხმოვანი	Vowel
ვულკანუსი	Vulcan (mythology)
მელია (თანავარსკვლავედი)	Vulpecula
W	W
უილიამ სომერსეტ მოემი	W. Somerset Maugham
უელსი	Wales
კატეგორია:უელსი	Wales
ლომვეშაპი	Walrus
უოლტ დისნეი	Walt Disney
უოლტ უიტმენი	Walt Whitman
ვალტერ გროპიუსი	Walter Gropius
ომი	War
კატეგორია:ომი	War
ვარშავა	Warsaw
ვაშინგტონი (ქალაქი)	Washington
ვაშინგტონი (შტატი)	Washington
ვაშინგტონი	Washington (disambiguation)
ვასილი კანდინსკი	Wassily Kandinsky
წყალი	Water
კატეგორია:წყალი	Water
საზამთრო	Watermelon
ვატი	Watt
საბრძოლო იარაღი	Weapon
ამინდი	Weather
ინტერნეტ ბრაუზერი	Web browser
ოთხშაბათი	Wednesday
კვირა (დრო)	Week
ვაიმარი	Weimar
ვაიმარის რესპუბლიკა	Weimar Republic
ვერნერ ფონ ბრაუნი	Wernher von Braun
ბენგალი	West Bengal
დასავლეთი ვირჯინია	West Virginia
დასავლეთი ავსტრალია	Western Australia
დასავლეთი საჰარა	Western Sahara
ვესტმინსტერის სააბატო	Westminster Abbey
ბორბალი	Wheel
შოტლანდიური ვისკი	Whisky
თეთრი სახლი	White House
თეთრი ზღვა	White Sea
ტყის კატა	Wildcat
უილიამ ბლეიკი	William Blake
უილიამ ფოლკნერი	William Faulkner
უილიამ ჰარვეი	William Harvey
უილიამ ჰენრი ჰარისონი	William Henry Harrison
უილიამ ჰოვარდ ტაფტი	William Howard Taft
ვილჰელმ I (გერმანიის იმპერია)	William I
ვილჰელმ II (გერმანიის იმპერია)	William II
უილიამ მაკ-კინლი	William McKinley
უილიამ როუან ჰამილტონი	William Rowan Hamilton
უილიამ შექსპირი	William Shakespeare
ვილი ბრანტი	Willy Brandt
ქარის წისქვილი	Windmill
ფანჯარა	Window
ღვინო	Wine
კატეგორია:ღვინო	Wine
უინსტონ ჩერჩილი	Winston Churchill
ზამთარი	Winter
ზამთრის ოლიმპიური თამაშები	Winter Olympic Games
კატეგორია:ზამთრის ოლიმპიური თამაშები	Winter Olympic Games
უისკონსინი	Wisconsin
ვოლფგანგ ამადეუს მოცარტი	Wolfgang Amadeus Mozart
ვოლფგანგ პაული	Wolfgang Pauli
ქალი	Woman
ვუდრო უილსონი	Woodrow Wilson
ვუდი ალენი	Woody Allen
მსოფლიო ბანკი	World Bank
მსოფლიო სავაჭრო ცენტრი	World Trade Center
მსოფლიო სავაჭრო ორგანიზაცია	World Trade Organization
პირველი მსოფლიო ომი	World War I
კატეგორია:პირველი მსოფლიო ომი	World War I
მეორე მსოფლიო ომი	World War II
კატეგორია:მეორე მსოფლიო ომი	World War II
მწერალი	Writer
ვაიომინგი	Wyoming
X	X
არასრულკბილიანები	Xenarthra
ქსენოფობია	Xenophobia
ქსენოფონტი	Xenophon
ქსი (ასო)	Xi
სინძიანი	Xinjiang
Y	Y
იაკი	Yak
იელის უნივერსიტეტი	Yale University
იალტა	Yalta
იალტის კონფერენცია	Yalta Conference
იასირ არაფატი	Yasser Arafat
წელი	Year
კატეგორია:წლები	Years
ყვითელი ზღვა	Yellow Sea
იემენი	Yemen
ერევანი	Yerevan
იოკოჰამა	Yokohama
იომ-კიპური	Yom Kippur
იომ-კიპურის ომი	Yom Kippur War
იუგოსლავია	Yugoslavia
კატეგორია:იუგოსლავია	Yugoslavia
იუკონი (ტერიტორია)	Yukon
იუნანი	Yunnan
იური გაგარინი	Yuri Gagarin
Z	Z
ზაქარი ტეილორი	Zachary Taylor
ზაგრები	Zagreb
ზამბია	Zambia
სარაგოსა	Zaragoza
ზებრა	Zebra
ძენი	Zen
ზევსი	Zeus
ზევსი	Zeus (disambiguation)
ზიმბაბვე	Zimbabwe
სიონიზმი	Zionism
ზოდიაქო	Zodiac
ზოოლოგია	Zoology
კატეგორია:ზოოლოგია	Zoology
ზარათუშტრა	Zoroaster
ზოროასტრიზმი	Zoroastrianism
