Esperanto	English
Humphrey Bogart	Humphrey Bogart
Humo	Humus
Hunano	Hunan
Centjara milito	Hundred Years' War
Hungario	Hungary
Kategorio:Hungario	Hungary
Ĉasado	Hunting
Hutuoj	Hutu
Hibrido	Hybrid
Hajderabado	Hyderabad
Hidro (konstelacio)	Hydra (constellation)
Hidrokarbono	Hydrocarbon
Hidroelektra centralo	Hydroelectricity
Hidrogeno	Hydrogen
Hidrogena ligo	Hydrogen bond
Hidrogena cianido	Hydrogen cyanide
Hidrologio	Hydrology
Kategorio:Hidrologio	Hydrology
Hidrolizo	Hydrolysis
Hidrosfero	Hydrosphere
Virhidro (konstelacio)	Hydrus
Kategorio:Higieno	Hygiene
Himeno	Hymen
Kategorio:Himenopteroj	Hymenoptera
Himenopteroj	Hymenoptera
Himno	Hymn
Hiperbolo	Hyperbola
Alta sangopremo	Hypertension
Hiperteksto	Hypertext
Hiperteksto-Transiga Protokolo	Hypertext Transfer Protocol
Hipnoto	Hypnosis
Hipotezo	Hypothesis
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iberio	Iberian Peninsula
Glacio	Ice
Glaciepoko	Ice age
Glaciaĵo	Ice cream
Glacihokeo	Ice hockey
Glacimonto	Iceberg
Islando	Iceland
Kategorio:Islando	Iceland
Ikono (religio)	Icon
Ikonoklasmo	Iconoclasm
Idaho	Idaho
Kategorio:Idaho	Idaho
Ideala gaso	Ideal gas
Ideismo	Idealism
Identa matrico	Identity matrix
Ideologio	Ideology
Ido (lingvo)	Ido
Iglo	Igloo
Ignaco Lojola	Ignatius of Loyola
Magmaj petroj	Igneous rock
Igor Stravinski	Igor Stravinsky
Igŭacuo	Iguazu Falls
Iliado	Iliad
Ilinojo	Illinois
Kategorio:Ilinojo	Illinois
Ilirio	Illyria
Skanilo	Image scanner
Imamo	Imam
Immanuel Kant	Immanuel Kant
Imuna sistemo	Immune system
Imunologio	Immunology
Imperiismo	Imperialism
Impresionismo	Impressionism
Incesto	Incest
Colo	Inch
Inĉon	Incheon
Dekliva ebenaĵo	Inclined plane
Sendependeco	Independence
Barato	India
Kategorio:Barato	India
Hinda Oceano	Indian Ocean
Kategorio:Hinda Oceano	Indian Ocean
Indianao	Indiana
Kategorio:Indianao	Indiana
Indianapolis (Indianao)	Indianapolis
Indira Gandhi	Indira Gandhi
Indio	Indium
Hindoĉinio	Indochina
Indonezio	Indonesia
Kategorio:Indonezio	Indonesia
Induktanco	Inductance
Induktiva logiko	Inductive reasoning
Induktilo	Inductor
Indulgenco	Indulgence
Indiano (konstelacio)	Indus (constellation)
Induso	Indus River
Industria revolucio	Industrial Revolution
Industrio	Industry
Kategorio:Industrioj	Industry
Neegalaĵo (pli granda, malpli granda)	Inequality
Infanterio	Infantry
Infinitivo	Infinitive
Senfineco	Infinity
Inflamo	Inflammation
Inflacio	Inflation
Gripo	Influenza
Informo	Information
Informa teknologio	Information technology
Infraruĝa radiado	Infrared
Substrukturo	Infrastructure
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Interna Mongolio	Inner Mongolia
Innsbruck	Innsbruck
Neorganika kemio	Inorganic chemistry
Inkvizicio	Inquisition
Insekto	Insect
Insektomanĝuloj	Insectivora
Institucio	Institution
Insulino	Insulin
Asekuro	Insurance
Entjero	Integer
Integralo	Integral
Integra cirkvito	Integrated circuit
Intelekta propraĵo	Intellectual property
Intelekto	Intelligence
Intelekta kvociento	Intelligence quotient
Interezo	Interest
Interjekcio	Interjection
Interlingvao	Interlingua
Internacia Atomenergia Organizo	International Atomic Energy Agency
Internacia Civila Aviada Organizo	International Civil Aviation Organization
Internacia Kortumo	International Court of Justice
Internacia datlinio	International Date Line
Internacia Organizo de Laboro	International Labour Organization
Internacia Monunua Fonduso	International Monetary Fund
Sistemo Internacia de Unuoj	International System of Units
Kategorio:Internacia juro	International law
Internacia organizaĵo	International organization
Interreto	Internet
Kategorio:Interreto	Internet
Internet Explorer	Internet Explorer
Komunaĵo	Intersection (set theory)
Intervalo (muziko)	Interval (music)
Intesto	Intestine
Intrareto	Intranet
Invento	Invention
Senvertebruloj	Invertebrate
Ioo	Io (moon)
Ioa	Io (mythology)
Jodo	Iodine
Jono	Ion
Ionio	Ionia
Ionia Maro	Ionian Sea
Jonosfero	Ionosphere
Joto	Iota
Iovao	Iowa
Kategorio:Iovao	Iowa
Irano	Iran
Kategorio:Irano	Iran
Iraka-irana milito	Iran-Iraq War
Irako	Iraq
Kategorio:Irako	Iraq
Irlando (insulo)	Ireland
Kategorio:Irlando	Ireland
Sankta Ireneo	Irenaeus
Iridio	Iridium
Iriso	Iris (anatomy)
IRA (Irlando)	Irish Republican Army
Irlanda Maro	Irish Sea
Kategorio:Irlandanoj	Irish people
Fero	Iron
Ferepoko	Iron Age
Fera Kurteno	Iron Curtain
Iron Maiden	Iron Maiden
Ironio	Irony
Neracionala nombro	Irrational number
Iredentismo	Irredentism
Irtiŝo	Irtysh River
Isaak	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Iŝmael	Ishmael
Izisa	Isis
Islamo	Islam
Kategorio:Islamo	Islam
Islamabado	Islamabad
Islama kalendaro	Islamic calendar
Insulo	Island
Manksinsulo	Isle of Man
Kategorio:Manksinsulo	Isle of Man
Isle of Wight	Isle of Wight
Izomero	Isomer
Yamamoto Isoroku	Isoroku Yamamoto
Izotopo	Isotope
Israelo	Israel
Kategorio:Israelo	Israel
Istanbulo	Istanbul
Istmo	Isthmus
Istmo de Panamo	Isthmus of Panama
Itala duoninsulo	Italian Peninsula
Italo Calvino	Italo Calvino
Italio	Italy
Kategorio:Italio	Italy
Itako	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenev
Eburo	Ivory
Ivy League	Ivy League
Iwo Jima	Iwo Jima
J	J
Jerome David Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Ĵakvo la Buĉisto	Jack the Ripper
Monedo	Jackdaw
Jackson (Misisipio)	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville (Florido)	Jacksonville
Jakobo	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jado	Jade
Jaguaro	Jaguar
Ĝajnismo	Jainism
Ĝakarto	Jakarta
Jamajko	Jamaica
Kategorio:Jamajko	Jamaica
Jakobo la Granda	James
James A. Garfield	James A. Garfield
James Bond (fikcia universo)	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jan Hus	Jan Hus
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Janiĉaroj	Janissary
Januaro	January
1-a de januaro	January 1
19-a de januaro	January 19
20-a de januaro	January 20
6-a de januaro	January 6
Japanio	Japan
Kategorio:Japanio	Japan
Jazono	Jason
Iktero	Jaundice
Javo	Java
Java	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Ĵazo	Jazz
Kategorio:Ĵazo	Jazz
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Ĝido	Jeddah
Jefferson City (Misurio)	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovo	Jehovah
Atestantoj de Jehovo	Jehovah's Witnesses
Meduzo	Jellyfish
Jena	Jena
Jerez de la Frontera	Jerez de la Frontera
Jeriko	Jericho
Sankta Hieronimo	Jerome
Ĵersejo	Jersey
Jerusalemo	Jerusalem
Kategorio:Jerusalemo	Jerusalem
Jesuo Kristo	Jesus
Jetmotoro	Jet engine
Judoj	Jew
Ĝihado	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Johana de Arko	Joan of Arc
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Keplero	Johannes Kepler
Johanesburgo	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Kalvino	John Calvin
Johano Krizostomo	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wyclif	John Wycliffe
Johano la Baptisto	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Artiko	Joint
Jonathan Swift	Jonathan Swift
Jordanio	Jordan
Kategorio:Jordanio	Jordan
Jordano	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Louis Joseph Gay-Lussac	Joseph Louis Gay-Lussac
Joseph Priestley	Joseph Priestley
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Josif Stalin	Joseph Stalin
Jozefo Flavio	Josephus
Ĵulo	Joule
Kategorio:Ĵurnalistiko	Journalism
Ĵurnalismo	Journalism
Ĵurnalisto	Journalist
Joviano	Jovian
Stirstango	Joystick
Judismo	Judaism
Kategorio:Judismo	Judaism
Judaso Iskarioto	Judas Iscariot
Judio	Judea
Ĵudo	Judo
Judy Garland	Judy Garland
Ĵuĵicuo	Jujutsu
Jules Verne	Jules Verne
Julia kalendaro	Julian calendar
Juliano la Apostato	Julian the Apostate
Julio Cezaro	Julius Caesar
Julio	July
1-a de julio	July 1
4-a de julio	July 4
Junio	June
14-a de junio	June 14
21-a de junio	June 21
23-a de junio	June 23
24-a de junio	June 24
29-a de junio	June 29
3-a de junio	June 3
Juneau (Alasko)	Juneau
Junipero	Juniper
Juno	Juno (mythology)
Jupitero	Jupiter
Kategorio:Jupitero	Jupiter
Jupitero (dio)	Jupiter (mythology)
Ĵurasio	Jurassic
Justiniano la 1-a	Justinian I
Jutlando	Jutland
K	K
K2	K2
KGB	KGB
Kaaba	Kaaba
Kabalo	Kabbalah
Kabulo	Kabul
Kalaharo	Kalahari Desert
Kamĉatko	Kamchatka Peninsula
Kampalo	Kampala
Kandaharo	Kandahar
Kanguruo	Kangaroo
Kansaso	Kansas
Kategorio:Kansaso	Kansas
Kansasurbo (Misurio)	Kansas City
Kapo (litero)	Kappa
Karska Maro	Kara Sea
Karaĉio	Karachi
Karakorumo	Karakoram
Karaokeo	Karaoke
Karateo	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karmo	Karma
Karnatako	Karnataka
Katharine Hepburn	Katharine Hepburn
Katmanduo	Kathmandu
Katowice	Katowice
Kaŭnaso	Kaunas
Kajako	Kayak
Kazaĥio	Kazakhstan
Kategorio:Kazaĥio	Kazakhstan
Kazan	Kazan
Kelvino	Kelvin
Kent	Kent
Kentukio	Kentucky
Kategorio:Kentukio	Kentucky
Kenjo	Kenya
Kategorio:Kenjo	Kenya
Kerno (operaciumo)	Kernel (computer science)
Keroseno	Kerosene
Keĉapo	Ketchup
Ketono	Ketone
Komputila klavaro	Keyboard (computing)
Klavarinstrumento	Keyboard instrument
Ĥabarovsk	Khabarovsk
Ĥarkivo	Kharkiv
Ĥartumo	Khartoum
Ĥufu	Khufu
Kibuco	Kibbutz
Reno	Kidney
Kievo	Kiev
Kigalo	Kigali
Kilobajto	Kilobyte
Kilogramo	Kilogram
Kilometro	Kilometre
Kilometro en horo	Kilometres per hour
Kimono	Kimono
Infanĝardeno	Kindergarten
Kineta energio	Kinetic energy
Reĝo (ŝako)	King (chess)
Reĝo Arturo	King Arthur
La Tragedio de Reĝo Lear	King Lear
Regno (biologio)	Kingdom (biology)
Kingstono	Kingston
Kinŝaso	Kinshasa
Kiribato	Kiribati
Kategorio:Kiribato	Kiribati
Kirkuk	Kirkuk
Kiso	Kiss
Kajto	Kite
Kivio	Kiwi
Genuo	Knee
Kneset	Knesset
Tranĉilo	Knife
Kavaliro	Knight
Ĉevalo (ŝako)	Knight (chess)
Knossos	Knossos
Knoto	Knot (speed)
Scio	Knowledge
Knut Hamsun	Knut Hamsun
Koalo	Koala
Kobe	Kobe
Kola duoninsulo	Kola Peninsula
Kolkato	Kolkata
Komoda varano	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Koreio	Korea
Kategorio:Koreio	Korea
Korea milito	Korean War
Kosovo	Kosovo
Kategorio:Kosovo	Kosovo
Krakatoa	Krakatoa
Kriŝno	Krishna
Kriptono	Krypton
Ku-Kluks-Klano	Ku Klux Klan
Kuala-Lumpuro	Kuala Lumpur
Kublaj-Ĥano	Kublai Khan
Kujper-zono	Kuiper belt
Kungfuo	Kung fu (term)
Kunlun	Kunlun Mountains
Kuomintango	Kuomintang
Kura	Kura River
Kurdio	Kurdistan
Kategorio:Kurdistano	Kurdistan
PKK	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuvajto	Kuwait
Kategorio:Kuvajto	Kuwait
Kuvajto (urbo)	Kuwait City
Kvazulu-Natalo	KwaZulu-Natal
Kioto	Kyoto
Kirgizio	Kyrgyzstan
Kategorio:Kirgizio	Kyrgyzstan
L	L
L'Aquila	L'Aquila
La-Pazo (Bolivio)	La Paz
La Plata	La Plata
La Spezia	La Spezia
Laboratorio	Laboratory
Brita Laborista Partio	Labour Party (UK)
Labradora ĉashundo	Labrador Retriever
Lacerto (konstelacio)	Lacerta
Lakta acido	Lactic acid
Laktozo	Lactose
Jane Grey	Lady Jane Grey
Leporuloj	Lagomorpha
Lagoso	Lagos
Lago	Lake
Bajkal	Lake Baikal
Balatono	Lake Balaton
Ĉada Lago	Lake Chad
Bodenlago	Lake Constance
Eria Lago	Lake Erie
Eyre	Lake Eyre
Lemano	Lake Geneva
Hurona Lago	Lake Huron
Ilmenj	Lake Ilmen
Ladoga lago	Lake Ladoga
Malavia Lago	Lake Malawi
Miĉigano (lago)	Lake Michigan
Onega (lago)	Lake Onega
Ontario (lago)	Lake Ontario
Supra Lago	Lake Superior
Tanganjiko	Lake Tanganyika
Viktoria-lago	Lake Victoria
Lambdo	Lambda
Lamiacoj	Lamiaceae
Ŝafgrifo	Lammergeier
Petromizo	Lamprey
Lancashire	Lancashire
Brankiostomulo	Lancelet
Rubodeponejo	Landfill
Lingvo	Language
Langvedoko-Rusiljono	Languedoc-Roussillon
Lansing (Miĉigano)	Lansing
Lantanoido	Lanthanide
Lantano	Lanthanum
Laoso	Laos
Kategorio:Laoso	Laos
Tekokomputilo	Laptop
Lariko	Larch
Larvo	Larva
Laringo	Larynx
Las Vegas	Las Vegas
Groto Lascaux	Lascaux
Lasero	Laser
Tornomaŝino	Lathe
Latina lingvo	Latin
Latin-Ameriko	Latin America
Latina alfabeto	Latin alphabet
Latitudo	Latitude
Latvio	Latvia
Kategorio:Latvio	Latvia
Rido	Laughter
Laŭrazio	Laurasia
Laŭzano	Lausanne
Lafo	Lava
Juro	Law
Kategorio:Juro	Law
Laŭrencio (elemento)	Lawrencium
Advokato	Lawyer
Latio	Lazio
Le Corbusier	Le Corbusier
Havro	Le Havre
Plumbo	Lead
Folio	Leaf
Ligo de Nacioj	League of Nations
Oblikva turo de Pizo	Leaning Tower of Pisa
Superjaro	Leap year
Lerno	Learning
Libano	Lebanon
Kategorio:Libano	Lebanon
Leeds	Leeds
Maldekstramanulo	Left-handed
Legendo	Legend
Leĝdona povo	Legislature
Lego (ludilo)	Lego
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Citrono	Lemon
Citronmeliso	Lemon balm
Leno (rivero)	Lena River
Longo	Length
Lenso (optiko)	Lens (optics)
Karesmo	Lent
Leono (konstelacio)	Leo (constellation)
Lev Trockij	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Breĵnev	Leonid Brezhnev
Leopardo	Leopard
Papilio	Lepidoptera
Lepro	Leprosy
Leptono	Lepton
Leporo (konstelacio)	Lepus (constellation)
Lesbanino	Lesbian
Lesoto	Lesotho
Kategorio:Lesoto	Lesotho
Malgrandaj Antiloj	Lesser Antilles
Leto	Leto
Litero	Letter (alphabet)
Leŭkemio	Leukemia
Levantenio	Levant
Levilo	Lever
Levjatano	Leviathan
Levidoj	Leviticus
Lewis Carroll	Lewis Carroll
Leksikologio	Lexicology
Lasao	Lhasa
Lhotse	Lhotse
Liberalismo	Liberalism
Kategorio:Liberalismo	Liberalism
Liberio	Liberia
Kategorio:Liberio	Liberia
Pesilo (konstelacio)	Libra (constellation)
Biblioteko	Library
Bibliotekscienco	Library science
Librevilo	Libreville
Libio	Libya
Kategorio:Libio	Libya
Likeno	Lichen
Mensogo	Lie
Liĥtenŝtejno	Liechtenstein
Kategorio:Liĥtenŝtejno	Liechtenstein
Vivo	Life
Kategorio:Vivo	Life
Lumo	Light
Lum-Elsenda Diodo	Light-emitting diode
Lumjaro	Light-year
Lumturo	Lighthouse
Fulmo	Lightning
Ligurujo	Liguria
Liliacoj	Liliaceae
Lille	Lille
Lilongwe	Lilongwe
Limo (Peruo)	Lima
Limerick	Limerick
Kalkoŝtono	Limestone
Limeso	Limit (mathematics)
Limoĝio	Limousin (region)
Lincoln (Nebrasko)	Lincoln
Lincolnshire	Lincolnshire
Linio	Line (mathematics)
Lineara algebro	Linear algebra
Kategorio:Lineara algebro	Linear algebra
Lineara ekvacio	Linear equation
Lingvafrankao	Lingua franca
Lingvistiko	Linguistics
Kategorio:Lingvistiko	Linguistics
Linus Pauling	Linus Pauling
Linukso	Linux
Kategorio:Linukso	Linux
Linz	Linz
Leono	Lion
Lipido	Lipid
Likvoro	Liqueur
Likvaĵo	Liquid
Likvokristala ekrano	Liquid crystal display
Lisbono	Lisbon
Lise Meitner	Lise Meitner
LISP (programlingvo)	Lisp (programming language)
Legopovo	Literacy
Literaturo	Literature
Kategorio:Literaturo	Literature
Litio	Lithium
Litografio	Lithography
Litosfero	Lithosphere
Litovio	Lithuania
Kategorio:Litovio	Lithuania
Litro	Litre
Noktuo	Little Owl
Liverpool	Liverpool
Lacertuloj	Lizard
Ljubljano	Ljubljana
Lamo	Llama
Loka reto	Local area network
Loch Ness	Loch Ness
Monstro de Loch Ness	Loch Ness Monster
Lokomotivo	Locomotive
Logaritmo	Logarithm
Logiko	Logic
Kategorio:Logiko	Logic
Loĝistiko	Logistics
Emblemo	Logo
Loire (departemento)	Loire
Luaro	Loire River
Loki	Loki
Lombardujo	Lombardy
Londono	London
Kategorio:Londono	London
Orelstrigo	Long-eared Owl
Lope de Vega	Lope de Vega
Patro nia	Lord's Prayer
Loreno	Lorraine (region)
Los-Anĝeleso (Kalifornio)	Los Angeles
Lot	Lot (department)
Laŭtparolilo	Loudspeaker
Louis Aragon	Louis Aragon
Louis Armstrong	Louis Armstrong
Louis Braille	Louis Braille
Louis Pasteur	Louis Pasteur
Ludoviko la 2-a (Francio)	Louis the Stammerer
Luiziano	Louisiana
Kategorio:Luiziano	Louisiana
Louisville	Louisville
Luvro	Louvre
Amo	Love
Platgermana lingvo	Low German
Malsupra Saksio	Lower Saxony
Luando	Luanda
Lublin	Lublin
Lucerno	Lucerne
Luciano Pavarotti	Luciano Pavarotti
Lucifero	Lucifer
Lukrecio	Lucretius
Lucrezia Borgia	Lucrezia Borgia
Ludwig Boltzmann	Ludwig Boltzmann
Ludwig Wittgenstein	Ludwig Wittgenstein
Ludwig van Beethoven	Ludwig van Beethoven
Luigi Galvani	Luigi Galvani
Luigi Pirandello	Luigi Pirandello
Lumeno	Lumen (unit)
Luna eklipso	Lunar eclipse
Pulmo	Lung
Pulmofiŝoj	Lungfish
Lupo (konstelacio)	Lupus (constellation)
Lusako	Lusaka
Luzitanio	Lusitania
Liuto	Lute
Lutecio	Lutetium
Luteranismo	Lutheranism
Luksemburgo (lando)	Luxembourg
Kategorio:Luksemburgo	Luxembourg
Luksemburgo (urbo)	Luxembourg (city)
Luksoro	Luxor
Liĉio	Lychee
Lidio	Lydia
Linko (konstelacio)	Lynx (constellation)
Liono	Lyon
Liro (konstelacio)	Lyra
LSD	Lysergic acid diethylamide
Lizino	Lysine
Lizosomo	Lysosome
M	M
M-teorio	M-theory
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Makao	Macau
Makbeto	Macbeth
Antikva Makedonio	Macedon
Makedonio	Macedonia
Makedonio (Grekio)	Macedonia (Greece)
Maĥo	Mach number
Maŝino	Machine
Maŝinpafilo	Machine gun
Maŝintradukado	Machine translation
Maĉupikĉuo	Machu Picchu
Makintoŝo	Macintosh
Makroekonomiko	Macroeconomics
Madagaskaro	Madagascar
Kategorio:Madagaskaro	Madagascar
Madejro	Madeira
Madison (Viskonsino)	Madison
Madonna	Madonna (entertainer)
Madrido	Madrid
Madrida Regiono	Madrid (autonomous community)
Mafio	Mafia
Revuo	Magazine
Magrebo	Maghreb
Magio	Magic (paranormal)
Magia kvadrato	Magic square
Maginot-linio	Maginot Line
Magmo	Magma
Magna Carta	Magna Carta
Magnezio	Magnesium
Magneto	Magnet
Kampo (magneto)	Magnetic field
Magneta resonanca bildigo	Magnetic resonance imaging
Magnetismo	Magnetism
Kategorio:Magnetismo	Magnetism
Kategorio:Magnoliopsidoj	Magnoliopsida
Pigoj	Magpie
Maharaŝtro	Maharashtra
Mohandas Karamchand Gandhi	Mahatma Gandhi
Mahajano	Mahayana
Poŝto	Mail
Majno (rivero)	Main
Ŝablono:Ĉefa	Main
Majno	Maine
Kategorio:Majno	Maine
Majtrejo	Maitreya
Maizo	Maize
Majoro	Major
Majorko	Majorca
Makalu	Makalu
Malabo	Malabo
Malakito	Malachite
Malakostrakoj	Malacostraca
Malario	Malaria
Kategorio:Malavio	Malawi
Malajzio	Malaysia
Kategorio:Malajzio	Malaysia
Malcolm X	Malcolm X
Maldivoj	Maldives
Kategorio:Maldivoj	Maldives
Malio	Mali
Kategorio:Malio	Mali
Platbeka anaso	Mallard
Malto (lando)	Malta
Kategorio:Malto	Malta
Malta lingvo	Maltese language
Maltozo	Maltose
Malvacoj	Malvaceae
Mamuloj	Mammal
Mamuto	Mammoth
Managvo	Managua
Manamo	Manama
Manato	Manatee
Manchester	Manchester
Manĉurio	Manchuria
Mandalo	Mandala
Mandarino	Mandarin orange
Mangano	Manganese
Manhatano	Manhattan
Projekto Manhattan	Manhattan Project
Manikeismo	Manichaeism
Manilo	Manila
Manitobo	Manitoba
Manierismo	Mannerism
Mannheim	Mannheim
Termantelo	Mantle (geology)
Mantro	Mantra
Mantovo	Mantua
Manuel de Falla	Manuel de Falla
Mao Zedong	Mao Zedong
Maoismo	Maoism
Mapo	Map
Acero	Maple
Maputo	Maputo
Maratono	Marathon
Marmoro	Marble
Marc Chagall	Marc Chagall
Marcel Duchamp	Marcel Duchamp
Marcel Marceau	Marcel Marceau
Marcel Proust	Marcel Proust
Marto	March
17-a de marto	March 17
19-a de marto	March 19
2-a de marto	March 2
25-a de marto	March 25
Markio	Marche
Marko Polo	Marco Polo
Marko Aŭrelio	Marcus Aurelius
Marko Bruto	Marcus Junius Brutus
Margaret Mead	Margaret Mead
Margaret Mitchell	Margaret Mitchell
Margaret Thatcher	Margaret Thatcher
Maria Callas	Maria Callas
Marianoj	Mariana Islands
Marie-Antoinette	Marie Antoinette
Maria Skłodowska-Curie	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marko Antonio	Mark Antony
Mark Twain	Mark Twain
Merkato	Market
Merkatiko	Marketing
Kategorio:Merkatado	Marketing
Marlene Dietrich	Marlene Dietrich
Markizo de Sade	Marquis de Sade
Marakeŝo	Marrakech
Nupto	Marriage
Kategorio:Marso	Mars
Mars	Mars (disambiguation)
Marso (dio)	Mars (mythology)
Marsejlo	Marseille
Marŝala Insularo	Marshall Islands
Kategorio:Marŝaloj	Marshall Islands
Plano Marshall	Marshall Plan
Marsupiulo	Marsupial
Martin Heidegger	Martin Heidegger
Marteno Lutero	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martiniko	Martinique
Martiro	Martyr
Fratoj Marx	Marx Brothers
Marksismo	Marxism
Kategorio:Marksismo	Marxism
Dipatrino	Mary (mother of Jesus)
Maria Magdalena	Mary Magdalene
Mary Shelley	Mary Shelley
Mary Wollstonecraft	Mary Wollstonecraft
Marilando	Maryland
Kategorio:Marilando	Maryland
Maseruo	Maseru
Maŝhado	Mashhad
Maso	Mass
Meso (diservo)	Mass (liturgy)
Masnumero	Mass number
Masaĉuseco	Massachusetts
Kategorio:Masaĉuseco	Massachusetts
Masaĉuseca Instituto de Teknologio	Massachusetts Institute of Technology
Sinmasturbado	Masturbation
Mata Hari	Mata Hari
Alumeto	Match
Materialismo	Materialism
Matematika logiko	Mathematical logic
Kategorio:Matematika logiko	Mathematical logic
Matematika pruvo	Mathematical proof
Matematiko	Mathematics
Kategorio:Matematiko	Mathematics
Matrico	Matrix (mathematics)
Materio	Matter
Materhorno	Matterhorn
Mauna Kea	Mauna Kea
Maurice Ravel	Maurice Ravel
Maŭritanio	Mauritania
Kategorio:Maŭritanio	Mauritania
Maŭricio	Mauritius
Kategorio:Maŭricio	Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Maximiliam Weber	Max Weber
Maksimiano	Maximian
Ekvacioj de Maxwell	Maxwell's equations
Majo	May
1-a de majo	May 1
24-a de majo	May 24
Mayenne	Mayenne
Efemeroj	Mayfly
Majonezo	Mayonnaise
Urbestro	Mayor
Mbabano	Mbabane
Makartiismo	McCarthyism
Medo	Mead
Morbilo	Measles
Kategorio:Mezuro	Measurement
Mezuro	Measurement
Viando	Meat
Mekao	Mecca
Kategorio:Mekanika inĝenierado	Mechanical engineering
Kategorio:Mekaniko	Mechanics
Mekaniko	Mechanics
Mediano (statistiko)	Median
Kuracilo	Medication
Mediĉoj	Medici
Medicino	Medicine
Kategorio:Medicino	Medicine
Medino	Medina
Meditado	Meditation
Mediteraneo	Mediterranean Sea
Meduzo (mitologio)	Medusa
Surikato	Meerkat
Mejozo	Meiosis
Majstro Eckhart	Meister Eckhart
Mejtnerio	Meitnerium
Mekongo	Mekong
Mel Gibson	Mel Gibson
Melanezio	Melanesia
Melodio	Melody
Melono (Frukto)	Melon
Melpomeno	Melpomene
Frostopunkto	Melting point
Memeo	Meme
Memoro	Memory
Memphis (Tenesio)	Memphis
Memfiso (Egiptio)	Memphis
Menaĥem Begin	Menachem Begin
Mendelevio	Mendelevium
Meningito	Meningitis
Tablomonto (konstelacio)	Mensa (constellation)
Menstruo	Menstrual cycle
Menstruo	Menstruation
Psika malsano	Mental disorder
Mento	Mentha
Merkantilismo	Mercantilism
Soldulo	Mercenary
