Italian	English
Genealogia	Genealogy
Categoria:Genealogia	Genealogy
General Agreement on Tariffs and Trade	General Agreement on Tariffs and Trade
Generale	General Officer
Relatività generale	General relativity
Genesi	Genesis
Codice genetico	Genetic code
Ingegneria genetica	Genetic engineering
Genetica	Genetics
Categoria:Genetica	Genetics
Ginevra (città)	Geneva
Jinn	Genie
Genitivo	Genitive case
Genova	Genoa
Genocidio	Genocide
Categoria:Genocidi	Genocide
Genoma	Genome
Genotipo	Genotype
Genere (tassonomia)	Genus
Geochimica	Geochemistry
Geodesia	Geodesy
Categoria:Geodesia	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografia	Geography
Categoria:Geografia	Geography
Portale:Geografia	Geography
Categoria:Geologia	Geology
Geologia	Geology
Progressione geometrica	Geometric progression
Geometria	Geometry
Categoria:Geometria	Geometry
Geomorfologia	Geomorphology
Geofisica	Geophysics
Categoria:Geofisica	Geophysics
Geopolitica	Geopolitics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown (Guyana)	Georgetown
Georgia (USA)	Georgia (U.S. state)
Categoria:Georgia (USA)	Georgia (U.S. state)
Georgia	Georgia (country)
Categoria:Georgia	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Peter Kuiper	Gerard Kuiper
Pastore tedesco	German Shepherd Dog
Lingua tedesca	German language
Categoria:Lingua tedesca	German language
Marco tedesco	German mark
Germanio	Germanium
Germania	Germany
Categoria:Germania	Germany
Geronimo (capo apache)	Geronimo
Gestapo	Gestapo
Geyser	Geyser
Ghana	Ghana
Categoria:Ghana	Ghana
Gand	Ghent
Ghetto	Ghetto
Fantasma	Ghost
Giacomo Puccini	Giacomo Puccini
Ailuropoda melanoleuca	Giant Panda
Hylobatidae	Gibbon
Gibilterra	Gibraltar
Gigabyte	Gigabyte
Gilgamesh	Gilgamesh
Zingiber officinale	Ginger
Ginkgo biloba	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Giraffa camelopardalis	Giraffe
Giraffidae	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironda	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Ghiacciaio	Glacier
Gladiatore	Gladiator
Ghiandola	Gland
Glasgow	Glasgow
Glasnost'	Glasnost
Vetro	Glass
Occhiali	Glasses
Aliante	Glider
Global Positioning System	Global Positioning System
Riscaldamento globale	Global warming
Globalizzazione	Globalization
Cynara scolymus	Globe artichoke
Gloucestershire	Gloucestershire
Glucagone	Glucagon
Glucosio	Glucose
Gluone	Gluon
Acido glutammico	Glutamic acid
Glicerolo	Glycerol
Glicina	Glycine
Glicogeno	Glycogen
Glicolisi	Glycolysis
Gnathostomata	Gnathostomata
Ortogneiss	Gneiss
Gnosticismo	Gnosticism
Go (gioco)	Go (board game)
Goa	Goa
Portiere	Goalkeeper
Capra hircus	Goat
Deserto del Gobi	Gobi Desert
Dio	God
Golan (regione)	Golan Heights
Oro	Gold
Golda Meir	Golda Meir
Aquila chrysaetos	Golden Eagle
Golden Gate Bridge	Golden Gate Bridge
Khanato dell'Orda d'Oro	Golden Horde
Golden Retriever	Golden Retriever
Golf	Golf
Categoria:Golf	Golf
Apparato del Golgi	Golgi apparatus
Homiel'	Gomel
Venerdì Santo	Good Friday
Google	Google
Categoria:Google	Google
Googol	Googol
Gorgoni	Gorgon
Gorilla (genere)	Gorilla
Accipiter gentilis	Goshawk
Vangelo	Gospel
Vangelo secondo Luca	Gospel of Luke
Göteborg	Gothenburg
Gotico (disambigua)	Gothic
Architettura gotica	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gotta	Gout
Governo	Government
Grace Kelly	Grace Kelly
Gradiente	Gradient
Graffiti writing	Graffiti
Graham Greene	Graham Greene
Grammo	Gram
Grammatica	Grammar
Categoria:Grammatica	Grammar
Genere (linguistica)	Grammatical gender
Granada	Granada
Grand Canyon	Grand Canyon
Grande Slam (tennis)	Grand Slam (tennis)
Grande maestro internazionale	Grandmaster (chess)
Granito	Granite
Vitis	Grape
Citrus × paradisi	Grapefruit
Categoria:Grafica	Graphic design
Grafica	Graphic design
Interfaccia grafica	Graphical user interface
Grafite	Graphite
Forza di gravità	Gravitation
Costante di gravitazione universale	Gravitational constant
Gravitone	Graviton
Gray (unità di misura)	Gray (unit)
Canis lupus	Gray Wolf
Graz	Graz
Grande barriera corallina	Great Barrier Reef
Gran Bretagna	Great Britain
Podiceps cristatus	Great Crested Grebe
Grande depressione	Great Depression
Grandi Laghi (America)	Great Lakes
Rift Valley	Great Rift Valley
Grande muraglia cinese	Great Wall of China
Carcharodon carcharias	Great white shark
Grandi Antille	Greater Antilles
Grande Londra	Greater London
Massimo comun divisore	Greatest common divisor
Podicipediformes	Grebe
Grecia	Greece
Categoria:Grecia	Greece
Alfabeto greco	Greek alphabet
Categoria:Alfabeto greco	Greek alphabet
Fuoco greco	Greek fire
Mitologia greca	Greek mythology
Categoria:Mitologia greca	Greek mythology
Verde	Green
Serra	Greenhouse
Effetto serra	Greenhouse effect
Gas serra	Greenhouse gas
Groenlandia	Greenland
Categoria:Groenlandia	Greenland
Mare di Groenlandia	Greenland Sea
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Calendario gregoriano	Gregorian calendar
Categoria:Grenada	Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grigio	Grey
Anser anser	Greylag Goose
Grifone (mitologia)	Griffin
Gyps fulvus	Griffon Vulture
Prodotto interno lordo	Gross domestic product
Gruppo	Group
Gruppo (matematica)	Group (mathematics)
Gruppo della tavola periodica	Group (periodic table)
Teoria dei gruppi	Group theory
Grover Cleveland	Grover Cleveland
Groznyj	Grozny
Gruiformes	Gruiformes
Gru (costellazione)	Grus (constellation)
Guadalajara (Messico)	Guadalajara
Guadalupa	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Canton	Guangzhou
Guanina	Guanine
Guano	Guano
Categoria:Guatemala	Guatemala
Città del Guatemala	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Corporazioni delle arti e mestieri	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Ghigliottina	Guillotine
Guinea	Guinea
Categoria:Guinea	Guinea
Cavia porcellus	Guinea pig
Guinea-Bissau	Guinea-Bissau
Categoria:Guinea-Bissau	Guinea-Bissau
Chitarra	Guitar
Gujarat	Gujarat
Gulag	Gulag
Corrente del Golfo	Gulf Stream
Guerra del Golfo	Gulf War
Golfo di Aden	Gulf of Aden
Golfo di Aqaba	Gulf of Aqaba
Golfo di Botnia	Gulf of Bothnia
Golfo di Finlandia	Gulf of Finland
Golfo di Guinea	Gulf of Guinea
Golfo del Messico	Gulf of Mexico
Golfo di Oman	Gulf of Oman
Golfo di Riga	Gulf of Riga
Golfo del Siam	Gulf of Thailand
Laridae	Gull
polvere nera	Gunpowder
Poecilia reticulata	Guppy
Gustav Klimt	Gustav Klimt
Gustav Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Categoria:Guyana	Guyana
Ginnastica	Gymnastics
Gymnospermae	Gymnosperm
Ginecologia	Gynaecology
Gesso (mineralogia)	Gypsum
Giroscopio	Gyroscope
H	H
H.G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Habitat	Habitat
Hacker	Hacker
Adeano	Hadean
Ade (divinità)	Hades
Ḥadīth	Hadith
Publio Elio Traiano Adriano	Hadrian
Vallo di Adriano	Hadrian's Wall
Adrone	Hadron
Emofilia	Haemophilia
Afnio	Hafnium
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Grandine	Hail
Ave Maria	Hail Mary
Capelli	Hair
Haiti	Haiti
Categoria:Haiti	Haiti
Hajj	Hajj
Halal	Halal
Alabarda	Halberd
Emivita (fisica)	Half-life
Halle sul Saale	Halle
Halloween	Halloween
Allucinazione	Hallucination
Alogeno	Halogen
Hamas	Hamas
Amburgo	Hamburg
Categoria:Amburgo	Hamburg
Hamburger	Hamburger
Amleto	Hamlet
Martello (tecnologia)	Hammer
Falce e martello	Hammer and sickle
Hammurabi	Hammurabi
Hampshire	Hampshire
Cricetinae	Hamster
Dinastia Han	Han Dynasty
Mano	Hand
Bomba a mano	Hand grenade
Pistola	Handgun
Impiccagione	Hanging
Giardini pensili di Babilonia	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Annibale	Hannibal
Hanoi	Hanoi
Hannover	Hanover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Lega Anseatica	Hanseatic League
Chanukah	Hanukkah
Hanuman	Hanuman
Felicità	Happiness
Harare	Harare
Durezza	Hardness
Harem	Harem
Harlem	Harlem
Armonica a bocca	Harmonica
Armonia (musica)	Harmony
Harold Pinter	Harold Pinter
Arpa (strumento)	Harp
Clavicembalo	Harpsichord
Arpia	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford (Connecticut)	Hartford
Hassio	Hassium
Odio (sentimento)	Hatred
Alta Normandia	Haute-Normandie
L'Avana	Havana
Hawaii	Hawaii
Categoria:Hawaii	Hawaii
Specie di Corylus	Hazel
Testa	Head
Capo di stato	Head of state
Salute	Health
Categoria:Salute	Health
Cuore	Heart
Calore	Heat
Macchina termica	Heat engine
Paradiso	Heaven
Heavy metal	Heavy metal music
Acqua pesante	Heavy water
Ebe	Hebe (mythology)
Hebei	Hebei
Alfabeto ebraico	Hebrew alphabet
Calendario ebraico	Hebrew calendar
Isole Ebridi	Hebrides
Ecate	Hecate
Ettaro	Hectare
Ettore (mitologia)	Hector
Hector Berlioz	Hector Berlioz
Erinaceinae	Hedgehog
Edonismo	Hedonism
Heimdallr	Heimdall
Heinrich Rudolf Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (divinità)	Hel (being)
Elena (mitologia)	Helen
Helen Keller	Helen Keller
Helena (Montana)	Helena
Elicottero	Helicopter
Elio (mitologia)	Helios
Elio	Helium
Inferno	Hell
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Ematite	Hematite
Ematologia	Hematology
Categoria:Ematologia	Hematology
Emoglobina	Hemoglobin
Emorroidi	Hemorrhoid
Antoine Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Epatite	Hepatitis
Efesto	Hephaestus
Era (mitologia)	Hera
Eracle	Heracles
Eraclito di Efeso	Heraclitus
Araldica	Heraldry
Categoria:Araldica	Heraldry
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Ercole	Hercules
Ercole (costellazione)	Hercules (constellation)
Eresia	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Ermafroditismo	Hermaphrodite
Ermeneutica	Hermeneutics
Ermes	Hermes
Eroe	Hero
Erone di Alessandria	Hero of Alexandria
Erode il Grande	Herod the Great
Erodoto	Herodotus
Eroina	Heroin
Ardeidae	Heron
Larus argentatus	Herring Gull
Hertfordshire	Hertfordshire
Hertz	Hertz
Esiodo	Hesiod
Esperidi	Hesperides
Assia	Hesse
Categoria:Assia	Hesse
Estia	Hestia
Eterosessualità	Heterosexuality
Eterotrofia	Heterotroph
Sistema numerico esadecimale	Hexadecimal
Esagono	Hexagon
Hezbollah	Hezbollah
ibernazione	Hibernation
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Spazio di Hilbert	Hilbert space
Himalaya	Himalayas
Hindu Kush	Hindu Kush
Induismo	Hinduism
Categoria:Induismo	Hinduism
Ipparco di Nicea	Hipparchus
Hippy	Hippie
Ippocrate di Coo	Hippocrates
Giuramento di Ippocrate	Hippocratic Oath
Hippopotamus amphibius	Hippopotamus
Shōwa imperatore del Giappone	Hirohito
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Istidina	Histidine
Istologia	Histology
Categoria:Istologia	Histology
Istone	Histone
Storiografia	Historiography
Storia	History
Categoria:Storia	History
Portale:Storia	History
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh (città)	Ho Chi Minh City
Hobart	Hobart
Hobbit	Hobbit
Hobby	Hobby
Hokusai	Hokusai
Festa	Holiday
Hollywood	Hollywood
Olmio	Holmium
Olocene	Holocene
Olografia	Holography
Graal	Holy Grail
Sacro Romano Impero Germanico	Holy Roman Empire
Categoria:Sacro Romano Impero	Holy Roman Empire
Spirito Santo	Holy Spirit
Omeopatia	Homeopathy
Omeostasi	Homeostasis
Omero	Homer
Hominidae	Hominidae
Homo	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Omonimia	Homonym
Omofobia	Homophobia
Omosessualità	Homosexuality
Honduras	Honduras
Categoria:Honduras	Honduras
Miele	Honey
Pernis apivorus	Honey Buzzard
Hong Kong	Hong Kong
Categoria:Hong Kong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Narghilè	Hookah
Legge di Hooke	Hooke's law
Upupa epops	Hoopoe
Quinto Orazio Flacco	Horace
Horatio Nelson	Horatio Nelson
Orizzonte	Horizon
Ormone	Hormone
Corno (biologia)	Horn (anatomy)
Corno (strumento musicale)	Horn (instrument)
Corno d'Africa	Horn of Africa
Equus caballus	Horse
Ippica	Horse racing
Cavallo vapore	Horsepower
Horo	Horus
Hosni Mubarak	Hosni Mubarak
Ospedale	Hospital
Albergo	Hotel
Ora (unità di misura)	Hour
clessidra	Hourglass
Casa	House
Dr. House - Medical Division	House (TV series)
Mus musculus	House Mouse
Passer domesticus	House Sparrow
Houston	Houston
Hovercraft	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Legge di Hubble	Hubble's law
Baia di Hudson	Hudson Bay
Hudson	Hudson River
Ugo Capeto di Francia	Hugh Capet
Ugo Grozio	Hugo Grotius
Ugonotti	Huguenot
Homo sapiens sapiens	Human
Umanesimo	Humanism
Omero (anatomia)	Humerus
Umidità	Humidity
Colibrì	Hummingbird
Categoria:Umorismo	Humor
Umorismo	Humour
Megaptera novaeangliae	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Guerra dei cent'anni	Hundred Years' War
Ungheria	Hungary
Categoria:Ungheria	Hungary
Fame	Hunger
Caccia	Hunting
Hutu	Hutu
Ibrido	Hybrid
Hyderabad	Hyderabad
Idra (costellazione)	Hydra (constellation)
Idrocarburi	Hydrocarbon
Acido cloridrico	Hydrochloric acid
Centrale idroelettrica	Hydroelectricity
Idrogeno	Hydrogen
Legame a idrogeno	Hydrogen bond
Acido cianidrico	Hydrogen cyanide
Perossido di idrogeno	Hydrogen peroxide
Idrologia	Hydrology
Categoria:Idrologia	Hydrology
Idrolisi	Hydrolysis
Idrosfera	Hydrosphere
Idrossido	Hydroxide
Idra Maschio (costellazione)	Hydrus
Hyaenidae	Hyena
Categoria:Igiene	Hygiene
Imene (anatomia)	Hymen
Categoria:Imenotteri	Hymenoptera
Hymenoptera	Hymenoptera
Inno	Hymn
Iperbole (geometria)	Hyperbola
Iperbole (figura retorica)	Hyperbole
Iperione (astronomia)	Hyperion (moon)
Iperione (mitologia)	Hyperion (mythology)
Ipertensione arteriosa sistemica	Hypertension
Ipertesto	Hypertext
HTTP	Hypertext Transfer Protocol
Ipno	Hypnos
Ipnosi	Hypnosis
Ipotalamo	Hypothalamus
Ipotesi	Hypothesis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Giapeto (astronomia)	Iapetus (moon)
Giapeto (mitologia)	Iapetus (mythology)
Penisola iberica	Iberian Peninsula
Ibuprofene	Ibuprofen
Ghiaccio	Ice
Glaciazione	Ice age
Gelato	Ice cream
Hockey su ghiaccio	Ice hockey
Categoria:Hockey su ghiaccio	Ice hockey
Iceberg	Iceberg
Islanda	Iceland
Categoria:Islanda	Iceland
Ittiologia	Ichthyology
Icona (arte)	Icon
Iconoclastia	Iconoclasm
Idaho	Idaho
Categoria:Idaho	Idaho
Gas ideale	Ideal gas
Idealismo	Idealism
Elemento neutro	Identity element
Matrice identità	Identity matrix
Ideologia	Ideology
Lingua ido	Ido
Iglù	Igloo
Ignazio di Loyola	Ignatius of Loyola
Roccia magmatica	Igneous rock
Igor' Fëdorovič Stravinskij	Igor Stravinsky
Cascate dell'Iguazú	Iguazu Falls
Iliade	Iliad
Illinois	Illinois
Categoria:Illinois	Illinois
Illiria	Illyria
Scansionatore d'immagine	Image scanner
Imām	Imam
Immanuel Kant	Immanuel Kant
Sistema immunitario	Immune system
Immunologia	Immunology
Categoria:Immunologia	Immunology
Imperialismo	Imperialism
Impressionismo	Impressionism
Incesto	Incest
Pollice (unità di misura)	Inch
Incheon	Incheon
Piano inclinato	Inclined plane
Indipendenza	Independence
India	India
Categoria:India	India
Oceano Indiano	Indian Ocean
Indiana	Indiana
Categoria:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indio	Indium
Indocina	Indochina
Indonesia	Indonesia
Categoria:Indonesia	Indonesia
Indra	Indra
Induttanza	Inductance
Induzione	Inductive reasoning
Induttore	Inductor
Indulgenza	Indulgence
Indiano (costellazione)	Indus (constellation)
Indo	Indus River
Rivoluzione industriale	Industrial Revolution
Industria	Industry
Categoria:Industria	Industry
Disuguaglianza	Inequality
Inerzia	Inertia
Fanteria	Infantry
Malattia infettiva	Infectious disease
Infinito (modo)	Infinitive
Infinito (matematica)	Infinity
Infiammazione	Inflammation
Inflazione	Inflation
Influenza	Influenza
Informazione	Information
Information and Communications Technology	Information technology
Teoria dell'informazione	Information theory
Radiazione infrarossa	Infrared
Infrastruttura	Infrastructure
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Mongolia Interna	Inner Mongolia
Innovazione	Innovation
Innsbruck	Innsbruck
Chimica inorganica	Inorganic chemistry
Categoria:Chimica inorganica	Inorganic chemistry
Inquisizione	Inquisition
Insecta	Insect
Insectivora	Insectivora
Istituzione	Institution
Insulina	Insulin
Assicurazione	Insurance
Numero intero	Integer
Integrale	Integral
Circuito integrato	Integrated circuit
Proprietà intellettuale	Intellectual property
Intelligenza (psicologia)	Intelligence
Quoziente d'intelligenza	Intelligence quotient
Missile balistico intercontinentale	Intercontinental ballistic missile
Interesse	Interest
Interferenza (fisica)	Interference
Interiezione	Interjection
Interlingua	Interlingua
Agenzia Internazionale per l'Energia Atomica	International Atomic Energy Agency
Organizzazione Internazionale dell'Aviazione Civile	International Civil Aviation Organization
Corte Internazionale di Giustizia	International Court of Justice
Linea internazionale del cambio di data	International Date Line
Organizzazione Internazionale del Lavoro	International Labour Organization
Fondo Monetario Internazionale	International Monetary Fund
Sistema internazionale di unità di misura	International System of Units
Categoria:Diritto internazionale	International law
Organizzazione internazionale	International organization
Internet	Internet
Categoria:Internet	Internet
Windows Internet Explorer	Internet Explorer
Campo di concentramento	Internment
Interprete (informatica)	Interpreter (computing)
Intersezione	Intersection (set theory)
Intervallo (musica)	Interval (music)
Intestino	Intestine
Intranet	Intranet
Invenzione (tecnologia)	Invention
Invertebrata	Invertebrate
Io (astronomia)	Io (moon)
Io (mitologia)	Io (mythology)
Iodio	Iodine
Ione	Ion
Ionia	Ionia
Mar Ionio	Ionian Sea
Legame ionico	Ionic bond
Ionosfera	Ionosphere
Iota (lettera)	Iota
Iowa	Iowa
Categoria:Iowa	Iowa
Iran	Iran
Categoria:Iran	Iran
Guerra Iran-Iraq	Iran-Iraq War
Iraq	Iraq
Categoria:Iraq	Iraq
Irlanda (isola)	Ireland
Categoria:Irlanda	Ireland
Sant'Ireneo di Lione	Irenaeus
Iridio	Iridium
Iride (anatomia)	Iris (anatomy)
Iris (mitologia)	Iris (mythology)
Irish Republican Army	Irish Republican Army
Mare d'Irlanda	Irish Sea
Categoria:Irlandesi	Irish people
Ferro	Iron
Età del ferro	Iron Age
Cortina di ferro	Iron Curtain
Iron Maiden	Iron Maiden
Ironia	Irony
Numero irrazionale	Irrational number
Irredentismo	Irredentism
Irtyš	Irtysh River
Isacco	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ismaele	Ishmael
Iside	Isis
Islam	Islam
Categoria:Islam	Islam
Islamabad	Islamabad
Calendario islamico	Islamic calendar
Isola	Island
Isola di Man	Isle of Man
Categoria:Isola di Man	Isle of Man
Isola di Wight	Isle of Wight
Isomeria	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isotopo	Isotope
Israele	Israel
Categoria:Israele	Israel
Istanbul	Istanbul
Categoria:Istanbul	Istanbul
Istmo	Isthmus
Istmo di Panamá	Isthmus of Panama
Penisola italiana	Italian Peninsula
Italo Calvino	Italo Calvino
Italia	Italy
Categoria:Italia	Italy
