Russian	English
Красный карлик	Red dwarf
Красный гигант	Red giant
Красное смещение	Redshift
Красное смещение	Redshift (disambiguation)
RISC	Reduced instruction set computer
Референдум	Referendum
Преломление	Refraction
Показатель преломления	Refractive index
Беженцы	Refugee
Регент	Regent
Регги	Reggae
Полк	Regiment
Реджайна	Regina
Регион	Region
Реймс	Reims
Реинкарнация	Reincarnation
Северный олень	Reindeer
Отношение (математика)	Relation (mathematics)
Релятивизм	Relativism
Реле	Relay
Религия	Religion
Категория:Религия	Religion
Квакеры	Religious Society of Friends
Рембрандт	Rembrandt
Эпоха Возрождения	Renaissance
Категория:Эпоха Возрождения	Renaissance
Размножение	Reproduction
Пресмыкающиеся	Reptile
Республика	Republic
Китайская Республика	Republic of China
Ирландия	Republic of Ireland
Категория:Ирландия	Republic of Ireland
Республика Конго	Republic of the Congo
Категория:Республика Конго	Republic of the Congo
Республиканская партия США	Republican Party (United States)
Реквием	Requiem
Резистор	Resistor
Дыхательная система человека	Respiratory system
Ресторан	Restaurant
Сетка (созвездие)	Reticulum
Сетчатка	Retina
Витамин A	Retinol
Революция	Revolution
Револьвер	Revolver
Рея (спутник)	Rhea (moon)
Рея (мифология)	Rhea (mythology)
Рений	Rhenium
Риторика	Rhetoric
Категория:Риторика	Rhetoric
Рейн	Rhine
Носороги	Rhinoceros
Ро (буква)	Rho (letter)
Род-Айленд	Rhode Island
Категория:Род-Айленд	Rhode Island
Родос (остров)	Rhodes
Родий	Rhodium
Ромб	Rhombus
Рифма	Rhyme
Ритм	Rhythm
Ритм-н-блюз	Rhythm and blues
Ребро	Rib
Рибофлавин	Riboflavin
Рибосома	Ribosome
Рис	Rice
Фейнман, Ричард Филлипс	Richard Feynman
Никсон, Ричард Милхауз	Richard Nixon
Штраус, Рихард	Richard Strauss
Вагнер, Рихард	Richard Wagner
Райт, Ричард	Richard Wright (musician)
Ричмонд (Вирджиния)	Richmond
Рига	Riga
Ригель (звезда)	Rigel
Кольцо (математика)	Ring (mathematics)
Ринго Старр	Ringo Starr
Рио-Гранде (бассейн Мексиканского залива)	Rio Grande
Рио-де-Жанейро	Rio de Janeiro
Рио-де-Жанейро (штат)	Rio de Janeiro (state)
Река	River
Темза	River Thames
Эр-Рияд	Riyadh
Дорога	Road
Амундсен, Руаль	Roald Amundsen
Хайнлайн, Роберт Энсон	Robert A. Heinlein
Милликен, Роберт Эндрюс	Robert Andrews Millikan
Бойль, Роберт	Robert Boyle
Бёрнс, Роберт	Robert Burns
Де Ниро, Роберт	Robert De Niro
Ли, Роберт Эдвард	Robert E. Lee
Скотт, Роберт Фалкон	Robert Falcon Scott
Гук, Роберт	Robert Hooke
Кох, Роберт	Robert Koch
Стивенсон, Роберт Льюис	Robert Louis Stevenson
Оппенгеймер, Роберт	Robert Oppenheimer
Оуэн, Роберт	Robert Owen
Редфорд, Роберт	Robert Redford
Шуман, Роберт	Robert Schumann
Робин Гуд	Robin Hood
Робот	Robot
Камень, ножницы, бумага	Rock
Горная порода	Rock (geology)
Рок-н-ролл	Rock and roll
Рок-музыка	Rock music
Категория:Рок	Rock music
Ракета	Rocket
Скалистые горы	Rocky Mountains
Рококо	Rococo
Грызуны	Rodent
Европейская косуля	Roe Deer
Рентгений	Roentgenium
Бэкон, Роджер	Roger Bacon
Римско-католическая церковь	Roman Catholic Church
Римская империя	Roman Empire
Республика (Древний Рим)	Roman Republic
Римский календарь	Roman calendar
Римское право	Roman law
Римский легион	Roman legion
Древнеримская мифология	Roman mythology
Категория:Римская мифология	Roman mythology
Румыния	Romania
Категория:Румыния	Romania
Романшский язык	Romansh
Романтизм (направление в искусстве)	Romanticism
Рим	Rome
Категория:Рим	Rome
Рейган, Рональд	Ronald Reagan
Крыша	Roof
Грач	Rook (bird)
Ладья (шахматы)	Rook (chess)
Рузвельт	Roosevelt
Корень	Root
Паркс, Роза Ли	Rosa Parks
Розановые	Rosaceae
Розовые	Rosales
Росарио	Rosario
Розарий	Rosary
Роза	Rose
Розо	Roseau
Розмарин обыкновенный	Rosemary
Розеттский камень	Rosetta Stone
Рош Ха-Шана	Rosh Hashanah
Море Росса	Ross Sea
Росток	Rostock
Коловратки	Rotifer
Роттердам	Rotterdam
Маршрутизатор	Router
Академическая гребля	Rowing (sport)
Королевские военно-воздушные силы Великобритании	Royal Air Force
Лондонское королевское общество	Royal Society
Резина	Rubber
Рубикон	Rubicon
Рубидий	Rubidium
Рубль (значения)	Ruble
Малина	Rubus idaeus
Рубин	Ruby
Ruby	Ruby (programming language)
Дизель, Рудольф	Rudolf Diesel
Гесс, Рудольф	Rudolf Hess
Штейнер, Рудольф	Rudolf Steiner
Киплинг, Джозеф Редьярд	Rudyard Kipling
Регби	Rugby football
Мёрдок, Руперт	Rupert Murdoch
Россия	Russia
Категория:Россия	Russia
Русская православная церковь	Russian Orthodox Church
Октябрьская революция в России 1917	Russian Revolution (1917)
Русско-японская война	Russo-Japanese War
Рутений	Ruthenium
Хейз, Резерфорд	Rutherford B. Hayes
Резерфордий	Rutherfordium
Руанда	Rwanda
Категория:Руанда	Rwanda
Рожь	Rye
S (латиница)	S
SOAP	SOAP
SOS	SOS
Таинство	Sacrament
Сакраменто (Калифорния)	Sacramento
Саддам Хусейн	Saddam Hussein
Safari	Safari (web browser)
Шафран	Saffron
Стрела (созвездие)	Sagitta
Стрелец (созвездие)	Sagittarius (constellation)
Пустыня Сахара	Sahara
Парус	Sail
Святой	Saint
Андрей Первозванный	Saint Andrew
Георгий Победоносец	Saint George
Сент-Китс и Невис	Saint Kitts and Nevis
Река Святого Лаврентия	Saint Lawrence River
Сент-Люсия	Saint Lucia
Остров Святого Мартина	Saint Martin
Николай Чудотворец	Saint Nicholas
Святой Патрик	Saint Patrick
Сент-Пол (Миннесота)	Saint Paul
Апостол Пётр	Saint Peter
Санкт-Петербург	Saint Petersburg
Категория:Санкт-Петербург	Saint Petersburg
Сент-Винсент и Гренадины	Saint Vincent and the Grenadines
Категория:Сент-Винсент и Гренадины	Saint Vincent and the Grenadines
Саке	Sake
Салах ад-Дин	Saladin
Намаз	Salah
Хвостатые земноводные	Salamander
Сейлем (Орегон)	Salem
Салерно	Salerno
Слюна	Saliva
Рушди, Салман	Salman Rushdie
Лососёвые (семейство)	Salmonidae
Соль	Salt
Соли	Salt (chemistry)
Солт-Лейк-Сити	Salt Lake City
Салвадор (Баия)	Salvador
Зальцбург	Salzburg
Зальцбург (земля)	Salzburg (state)
Самара	Samara
Самарий	Samarium
Самарканд	Samarkand
Самоа	Samoa
Категория:Самоа	Samoa
Самсара	Samsara
Беккет, Сэмюэл	Samuel Beckett
Морзе, Сэмюэл Финли Бриз	Samuel F. B. Morse
Кольридж, Сэмюэл Тейлор	Samuel Taylor Coleridge
Самурай	Samurai
Сан-Антонио (Техас)	San Antonio
Сан-Диего (Калифорния)	San Diego
Сан-Франциско	San Francisco
Сан-Хосе (Калифорния)	San Jose
Сан-Хуан (Пуэрто-Рико)	San Juan
Сан-Марино	San Marino
Категория:Сан-Марино	San Marino
Сан-Марино (город)	San Marino
Сан-Сальвадор	San Salvador
Песок	Sand
Сандро Боттичелли	Sandro Botticelli
Песчаник	Sandstone
Сандвич	Sandwich
Санскрит	Sanskrit
Санта Клаус	Santa Claus
Санта-Фе	Santa Fe
Сантьяго	Santiago
Сантьяго (значения)	Santiago
Сантьяго-де-Куба (город)	Santiago de Cuba
Санто-Доминго	Santo Domingo
Сантус	Santos (Săo Paulo)
Сапфир	Sapphire
Сапфо	Sappho
Саппоро	Sapporo
Бернар, Сара	Sarah Bernhardt
Сараево	Sarajevo
Саратов	Saratov
Саркофаг	Sarcophagus
Сардина	Sardine
Сардиния	Sardinia
Сари (город)	Sari
Зарин (химическое оружие)	Sarin
Саскачеван	Saskatchewan
Сатана	Satan
Сатанизм	Satanism
Искусственный спутник Земли	Satellite
Сатира	Satire
Суббота	Saturday
Сатурн (планета)	Saturn
Категория:Сатурн	Saturn
Сатурн	Saturn (disambiguation)
Сатурн (мифология)	Saturn (mythology)
Сатиры	Satyr
Соус	Sauce
Саудовская Аравия	Saudi Arabia
Категория:Саудовская Аравия	Saudi Arabia
Беллоу, Сол	Saul Bellow
Саванна	Savanna
Саксония (федеральная земля)	Saxony
Категория:Саксония	Saxony
Саксофон	Saxophone
Скандинавия	Scandinavia
Категория:Скандинавия	Scandinavia
Скандинавский полуостров	Scandinavian Peninsula
Скандий	Scandium
Лопатка	Scapula
Шельда (река)	Scheldt
Scheme	Scheme (programming language)
Шизофрения	Schizophrenia
Схоластика	Scholasticism
Школа	School
СС	Schutzstaffel
Наука	Science
Категория:Наука	Science
Научная фантастика	Science fiction
Категория:Фантастика	Science fiction
Научный метод	Scientific method
Учёный	Scientist
Саентология	Scientology
Сципион Африканский Старший	Scipio Africanus
Ножницы	Scissors
Беличьи	Sciuridae
Скорпионы	Scorpion
Скорпион (созвездие)	Scorpius
Шотландия	Scotland
Категория:Шотландия	Scotland
Сосна обыкновенная	Scots Pine
Шотландский (гэльский) язык	Scottish Gaelic
Скаутское движение	Scouting
Скрэббл	Scrabble
Винт (деталь машины)	Screw
Отвёртка	Screwdriver
Мошонка	Scrotum
Скульптор (созвездие)	Sculptor (constellation)
Скульптура	Sculpture
Категория:Скульптура	Sculpture
Море	Sea
Калан	Sea Otter
Актинии	Sea anemone
Голотурии	Sea cucumber
Уровень моря	Sea level
Азовское море	Sea of Azov
Японское море	Sea of Japan
Мраморное море	Sea of Marmara
Охотское море	Sea of Okhotsk
Морские ежи	Sea urchin
Сиборгий	Seaborgium
Морской конёк	Seahorse
Поисковая система	Search engine
Сирс-Тауэр	Sears Tower
Времена года	Season
Сиэтл	Seattle
Секунда	Second
Второй крестовый поход	Second Crusade
Второй Ватиканский собор	Second Vatican Council
Второе начало термодинамики	Second law of thermodynamics
Секта	Sect
Категория:Безопасность	Security
Осадочные горные породы	Sedimentary rock
Семя (ботаника)	Seed
Сеговия	Segovia
Сена (река)	Seine
Сейсмология	Seismology
Категория:Сейсмология	Seismology
Селена	Selene
Селен	Selenium
Селевк I Никатор	Seleucus I Nicator
Лингвистическая семантика	Semantics
Категория:Семантика	Semantics
Сперма	Semen
Точка с запятой	Semicolon
Полупроводник	Semiconductor
Семиотика	Semiotics
Семиты	Semitic
Сенегал	Senegal
Категория:Сенегал	Senegal
Сеул	Seoul
Харакири	Seppuku
Сентябрь	September
11 сентября	September 11
Террористический акт 11 сентября 2001 года	September 11
17 сентября	September 17
29 сентября	September 29
Септуагинта	Septuagint
Последовательность	Sequence
Сербия	Serbia
Категория:Сербия	Serbia
Сербия и Черногория	Serbia and Montenegro
Категория:Сербия и Черногория	Serbia and Montenegro
Крепостное право	Serfdom
Эйзенштейн, Сергей Михайлович	Sergei Eisenstein
Рахманинов, Сергей Васильевич	Sergei Rachmaninoff
Сумма ряда	Series (mathematics)
Серин	Serine
Серотонин	Serotonin
Змея (созвездие)	Serpens
Сервер (аппаратное обеспечение)	Server (computing)
Множество	Set
Сет (мифология)	Set (mythology)
Теория множеств	Set theory
Категория:Теория множеств	Set theory
Севастополь	Sevastopol
Семилетняя война	Seven Years' War
Тяжёлый острый респираторный синдром	Severe acute respiratory syndrome
Севилья	Seville
Пол (биология)	Sex
Сексизм	Sexism
Секстант	Sextant
Половой акт	Sexual intercourse
Категория:Сексуальность	Sexuality
Заболевания, передающиеся половым путём	Sexually transmitted disease
Сейшелы	Seychelles
Категория:Сейшелы	Seychelles
Шах (титул)	Shah
Шахада	Shahadah
Шаманизм	Shamanism
Шанхай	Shanghai
Акция (финансы)	Share (finance)
Shareware	Shareware
Шариат	Sharia
Акулы	Shark
Шеффилд	Sheffield
Шерлок Холмс	Sherlock Holmes
Шетлендские острова	Shetland
Щит	Shield
Сикоку	Shikoku
Синтоизм	Shinto
Судно	Ship
Шива	Shiva
Сёги	Shogi
Сёгун	Shogun
Стенография	Shorthand
Настоящие креветки	Shrimp
Кустарник	Shrub
Сибирь	Siberia
Сибирский хаски	Siberian Husky
Сычуань	Sichuan
Сицилия	Sicily
Категория:Сицилия	Sicily
Сименс (единица измерения)	Siemens (unit)
Сьерра-Леоне	Sierra Leone
Категория:Сьерра-Леоне	Sierra Leone
Сигма (буква)	Sigma
Фрейд, Зигмунд	Sigmund Freud
Жестовые языки	Sign language
Унсет, Сигрид	Sigrid Undset
Сикхизм	Sikhism
Сикким	Sikkim
Силезия	Silesia
Кремний	Silicon
Кремниевая долина	Silicon Valley
Диоксид кремния	Silicon dioxide
Шёлк	Silk
Великий Шёлковый Путь	Silk Road
Силур	Silurian
Серебро	Silver
Де Бовуар, Симона	Simone de Beauvoir
Грех	Sin
Синайский полуостров	Sinai Peninsula
Льюис, Синклер	Sinclair Lewis
Сингапур	Singapore
Категория:Сингапур	Singapore
Сингл	Single (music)
Сирены (мифология)	Siren
Сирены (млекопитающие)	Sirenia
Сириус	Sirius
Сикстинская капелла	Sistine Chapel
Сизиф	Sisyphus
Сидящий Бык	Sitting Bull
Ситуационная комедия	Situation comedy
Шестидневная война (1967)	Six-Day War
Скагеррак	Skagerrak
Скейтборд	Skateboard
Категория:Костная система	Skeletal system
Скептицизм	Skepticism
Кожа	Skin
Скинхеды	Skinhead
Скопье	Skopje
Череп	Skull
Скайлэб	Skylab
Небоскрёб	Skyscraper
Слэш (музыкант)	Slash (musician)
Рабство	Slavery
Slayer	Slayer
Сон	Sleep
Словакия	Slovakia
Категория:Словакия	Slovakia
Словения	Slovenia
Категория:Словения	Slovenia
Тонкая кишка	Small intestine
Смог	Smog
Смоленск	Smolensk
Змеи	Snake
Снукер	Snooker
Снег	Snow
Мыло	Soap
Социальная психология	Social psychology
Социализм	Socialism
Категория:Социализм	Socialism
Социалистическая партия Франции	Socialist Party (France)
Категория:Общество	Society
Общество	Society
Иезуиты	Society of Jesus
Социолингвистика	Sociolinguistics
Социология	Sociology
Категория:Социология	Sociology
Сократ	Socrates
Натрий	Sodium
Гидрокарбонат натрия	Sodium bicarbonate
Хлорид натрия	Sodium chloride
Гидроксид натрия	Sodium hydroxide
София	Sofia
Софтбол	Softball
Категория:Программное обеспечение	Software
Почва	Soil
Паслёновые	Solanaceae
Категория:Паслёновые	Solanaceae
Солнечная система	Solar System
Категория:Солнечная система	Solar System
Фотоэлемент	Solar cell
Солнечное затмение	Solar eclipse
Солнечная энергетика	Solar energy
Солнечный ветер	Solar wind
Твёрдое тело	Solid
Твёрдое тело	Solid state
Солидарность (профсоюз)	Solidarity
Соломон	Solomon
Соломоновы Острова	Solomon Islands
Категория:Соломоновы Острова	Solomon Islands
Солон	Solon
Солнцестояние	Solstice
Раствор	Solution
Растворители	Solvent
Сомали	Somalia
Категория:Сомали	Somalia
Сомерсет	Somerset
Сомма (департамент)	Somme
Соната (музыка)	Sonata
Песня	Song
Песнь песней Соломона	Song of Solomon
Сонет	Sonnet
Софи Лорен	Sophia Loren
Софизм	Sophism
Софокл	Sophocles
Сопрано	Soprano
Сорбонна	Sorbonne
Сорго	Sorghum
Алгоритм сортировки	Sorting algorithm
Душа	Soul
Звук	Sound
Суп	Soup
Исходный код	Source code
Юг	South
Категория:ЮАР	South Africa
Южная Америка	South America
Категория:Южная Америка	South America
Южная Австралия	South Australia
Южная Каролина	South Carolina
Категория:Южная Каролина	South Carolina
Южно-Китайское море	South China Sea
Южная Дакота	South Dakota
Категория:Южная Дакота	South Dakota
Южный остров (Новая Зеландия)	South Island
Республика Корея	South Korea
Категория:Южная Корея	South Korea
Южный полюс	South Pole
Южный Вьетнам	South Vietnam
Юго-Восточная Азия	Southeast Asia
Южное полушарие	Southern Hemisphere
Суверенитет	Sovereignty
Союз Советских Социалистических Республик	Soviet Union
Категория:СССР	Soviet Union
Соя	Soybean
Пространство	Space
Спейс Шаттл	Space Shuttle
Орбитальная станция	Space station
Космический аппарат	Spacecraft
Спагетти	Spaghetti
Испания	Spain
Категория:Испания	Spain
Спам	Spam (electronic)
Гражданская война в Испании	Spanish Civil War
Категория:Персоналии:Испания	Spanish people
Испано-американская война	Spanish-American War
Спарта	Sparta
Копьё	Spear
Специальная теория относительности	Special relativity
Биологический вид	Species
Спектроскопия	Spectroscopy
Скорость	Speed
Скорость света	Speed of light
Спелеология	Speleology
Трейси, Спенсер	Spencer Tracy
Кашалот	Sperm Whale
Семенные растения	Spermatophyte
Сперматозоиды	Spermatozoon
Сфера	Sphere
Сфинкс	Sphinx
Вкусовые добавки	Spice
Пауки	Spider
Спин	Spin (physics)
Шпинат	Spinach
Спинной мозг	Spinal cord
Спиральная галактика	Spiral galaxy
Селезёнка	Spleen
Сплит (город)	Split
Губки	Sponge
Спорт	Sport
Табличный процессор	Spreadsheet
Шпре	Spree
Весна	Spring (season)
Спрингфилд (Иллинойс)	Springfield
Spyware	Spyware
Чешуйчатые	Squamata
Квадрат	Square (geometry)
Квадратный метр	Square metre
Квадратный корень	Square root
Сквош	Squash (sport)
Белка	Squirrel
Шри-Ланка	Sri Lanka
Категория:Шри-Ланка	Sri Lanka
Сент-Луис	St. Louis
Стадион	Stadium
Витраж	Stained glass
Нержавеющая сталь	Stainless steel
Сталинизм	Stalinism
SGML	Standard Generalized Markup Language
Стандартное отклонение	Standard deviation
Стэнфордский университет	Stanford University
Кубрик, Стэнли	Stanley Kubrick
Звезда	Star
Звезда Давида	Star of David
Крахмал	Starch
Морские звёзды	Starfish
Государство	State
Статен-Айленд	Staten Island
Статистическая физика	Statistical mechanics
Статистика	Statistics
Категория:Статистика	Statistics
Статуя Свободы	Statue of Liberty
Ставангер	Stavanger
Пар	Steam
Паровая машина	Steam engine
Сталь	Steel
Цвейг, Стефан	Stefan Zweig
Граф, Штеффи	Steffi Graf
Стегозавр	Stegosaurus
Стволовая клетка	Stem cell
Стендаль	Stendhal
Хокинг, Стивен Уильям	Stephen Hawking
Степь	Steppe
Стерадиан	Steradian
Стероиды	Steroid
Спилберг, Стивен	Steven Spielberg
Стинг	Sting
Фондовая биржа	Stock exchange
Стокгольм	Stockholm
Стоицизм	Stoicism
Желудок человека	Stomach
Каменный век	Stone Age
Стоунхендж	Stonehenge
Аистовые	Stork
Буря	Storm
Пролив	Strait
Гибралтарский пролив	Strait of Gibraltar
Ормузский пролив	Strait of Hormuz
Магелланов пролив	Strait of Magellan
Мессинский пролив	Strait of Messina
Категория:Проливы	Straits
Страсбург	Strasbourg
Стратегия	Strategy
Стратиграфия	Stratigraphy
Стратосфера	Stratosphere
Земляника	Strawberry
Стресс	Stress (medicine)
Теория струн	String theory
Инсульт	Stroke
Сильное взаимодействие	Strong interaction
Стронций	Strontium
Структурализм	Structuralism
Шаблон:Заготовка	Stub
Студент	Student
Ступа (архитектура)	Stupa
СА	Sturmabteilung
Штутгарт	Stuttgart
Стикс	Styx
Африка южнее Сахары	Sub-Saharan Africa
Субкультура	Subculture
Возгонка	Sublimation (chemistry)
Подводная лодка	Submarine
Подмножество	Subset
Вычитание	Subtraction
Subversion	Subversion (software)
Сукре (город)	Sucre
Сахароза	Sucrose
Судан	Sudan
Категория:Судан	Sudan
Судоку	Sudoku
Суэцкий канал	Suez Canal
Суффикс (лингвистика)	Suffix
Суфизм	Sufism
Сахар	Sugar
Сухарто, Мухаммед	Suharto
Сукарно, Ахмед	Sukarno
Сулавеси	Sulawesi
Сера	Sulfur
Оксид серы(IV)	Sulfur dioxide
Иприт	Sulfur mustard
Серная кислота	Sulfuric acid
Султан	Sultan
Суматра	Sumatra
Шумер	Sumer
Лето	Summer
Сумо	Sumo
Солнце	Sun
Категория:Солнце	Sun
Сунь Ятсен	Sun Yat-sen
Воскресенье	Sunday
Солнечные часы	Sundial
Подсолнух	Sunflower
Сунниты	Sunni Islam
Солнечные пятна	Sunspot
Суперкомпьютер	Supercomputer
Сверхпроводимость	Superconductivity
Супермен	Superman
Сверхновая звезда	Supernova
Верховный суд США	Supreme Court of the United States
Список сур Корана	Sura
Поверхностное натяжение	Surface tension
Хирургия	Surgeon
Хирургия	Surgery
Категория:Хирургия	Surgery
Суринам	Suriname
Категория:Суринам	Suriname
Сюрреализм	Surrealism
Суррей (графство)	Surrey
Зонтаг, Сьюзен	Susan Sontag
Суши	Sushi
Сува	Suva
Шпицберген	Svalbard
Ласточковые	Swallow
Лебеди	Swan
Свастика	Swastika
Свазиленд	Swaziland
Категория:Свазиленд	Swaziland
Швеция	Sweden
Категория:Швеция	Sweden
Шведская крона	Swedish krona
Батат	Sweet potato
Плавание	Swimming
Категория:Плавание	Swimming
Швейцарский франк	Swiss franc
Категория:Персоналии:Швейцария	Swiss people
Швейцария	Switzerland
Категория:Швейцария	Switzerland
Меч	Sword
Сидней	Sydney
Слог	Syllable
Плат, Сильвия	Sylvia Plath
Симбиоз	Symbiosis
Символ	Symbol
Симфония	Symphony
Симптом	Symptom
Синагога	Synagogue
Синдикат	Syndicate
Синестезия	Synesthesia
Синонимы	Synonym
Синтаксис	Syntax
Синтезатор (музыкальный инструмент)	Synthesizer
Сифилис	Syphilis
Сиракуза	Syracuse
Сирия	Syria
Категория:Сирия	Syria
Система	System
Систематика	Systematics
T (латиница)	T
Лоуренс, Томас Эдвард	T. E. Lawrence
Элиот, Томас Стернз	T. S. Eliot
Стол	Table (furniture)
Настольный теннис	Table tennis
Табу	Taboo
Публий Корнелий Тацит	Tacitus
Тхэквондо	Taekwondo
Тахо (Тежу)	Tagus
Таити	Tahiti
Тайцзицюань	Tai chi chuan
Хвост	Tail
Тайбэй	Taipei
Категория:Тайвань	Taiwan
Тайвань	Taiwan
Тадж-Махал	Taj Mahal
Таджикистан	Tajikistan
Категория:Таджикистан	Tajikistan
Тальк	Talc
Талибы	Taliban
Таллахасси	Tallahassee
Таллин	Tallinn
Талмуд	Talmud
Тамилнад	Tamil Nadu
Тампа	Tampa
Тампере	Tampere
Танах	Tanakh
Тан (династия)	Tang Dynasty
Танжер	Tangier
Танго	Tango (dance)
Танк	Tank
Тантал (элемент)	Tantalum
Тантал (мифология)	Tantalus
Танзания	Tanzania
Категория:Танзания	Tanzania
Даосизм	Taoism
Тапиры	Tapir
Тихоходки	Tardigrade
Тарн	Tarn
Эстрагон	Tarragon
Тартар	Tartarus
Тарту	Tartu
Ташкент	Tashkent
Тасманово море	Tasman Sea
Тасмания	Tasmania
Тасманский дьявол	Tasmanian Devil
Вкус	Taste
Татуировка	Tattoo
Тау (буква)	Tau
Телец (созвездие)	Taurus (constellation)
Обыкновенная неясыть	Tawny Owl
Налог	Tax
Категория:Налогообложение	Taxation
Такси	Taxicab
Таксон	Taxon
Таксономия	Taxonomy
Тис ягодный	Taxus baccata
Тбилиси	Tbilisi
Чай	Tea
Категория:Чай	Tea
Учитель	Teacher
Технеций	Technetium
Техно	Techno
Технология	Technology
Категория:Технология	Technology
Тегусигальпа	Tegucigalpa
Тегеран	Tehran
Тель-Авив	Tel Aviv
Связь (техника)	Telecommunication
Телеграф	Telegraphy
Телепатия	Telepathy
Телефон	Telephone
Телескоп	Telescope
Телескоп (созвездие)	Telescopium
Телевидение	Television
Категория:Телевидение	Television
Теллур	Tellurium
Температура	Temperature
Храм	Temple
Храм Артемиды Эфесской	Temple of Artemis
Десять заповедей	Ten Commandments
Тенерифе	Tenerife
Теннесси	Tennessee
Категория:Теннесси	Tennessee
Теннесси Уильямс	Tennessee Williams
Теннис	Tennis
Категория:Теннис	Tennis
Тенор	Tenor
Тэнцинг Норгэй	Tenzing Norgay
Текила	Tequila
Тербий	Terbium
Термиты	Termite
Терпсихора	Terpsichore
Планеты земной группы	Terrestrial planet
Терроризм	Terrorism
Категория:Терроризм	Terrorism
Квинт Септимий Флоренс Тертуллиан	Tertullian
Тесла (единица измерения)	Tesla (unit)
Яички	Testicle
Тестостерон	Testosterone
Столбняк	Tetanus
Тефия (спутник)	Tethys (moon)
Тефида	Tethys (mythology)
Правильный тетраэдр	Tetrahedron
Тетрагидроканнабинол	Tetrahydrocannabinol
Четвероногие	Tetrapod
Техас	Texas
Категория:Техас	Texas
Текстиль	Textile
Таиланд	Thailand
Категория:Таиланд	Thailand
Фалес Милетский	Thales
Талия (муза)	Thalia
Таллий	Thallium
Танатос	Thanatos
День благодарения	Thanksgiving
день благодарения	Thanksgiving (United States)
Гамбия	The Gambia
Категория:Гамбия	The Gambia
Гаага	The Hague
Гимн США	The Star-Spangled Banner
Театр	Theatre
Категория:Театр	Theatre
Теба (спутник)	Thebe (moon)
Фивы (Греция)	Thebes
Фивы (Египет)	Thebes
Тейя	Theia
Фемида	Themis
Фемистокл	Themistocles
Теократия	Theocracy
Теодолит	Theodolite
Моммзен, Теодор	Theodor Mommsen
Рузвельт, Теодор	Theodore Roosevelt
Феодосий I Великий	Theodosius I
Богословие	Theology
Категория:Богословие	Theology
Теорема	Theorem
Теория	Theory
Теория относительности	Theory of relativity
Тхеравада	Theravada
Термодинамика	Thermodynamics
Категория:Термодинамика	Thermodynamics
Термометр	Thermometer
Тесей	Theseus
Салоники	Thessaloniki
Фессалия	Thessaly
Тета (буква)	Theta
Фетида	Thetis
Тиамин	Thiamine
Третий крестовый поход	Third Crusade
Третий мир	Third World
Тридцатилетняя война	Thirty Years' War
Фома Аквинский	Thomas Aquinas
Эдисон, Томас Алва	Thomas Edison
Харди, Томас	Thomas Hardy
Гоббс, Томас	Thomas Hobbes
Джефферсон, Томас	Thomas Jefferson
Мальтус, Томас Роберт	Thomas Malthus
Манн, Томас	Thomas Mann
Мор, Томас	Thomas More
Пейн, Томас	Thomas Paine
Юнг, Томас	Thomas Young (scientist)
Тор (мифология)	Thor
Торий	Thorium
Тот	Thoth
Мышление (психология)	Thought
Фракия	Thrace
Фукидид	Thucydides
Тулий	Thulium
Большой палец	Thumb
Тюрингия	Thuringia
Категория:Тюрингия	Thuringia
Четверг	Thursday
Сумчатый волк	Thylacine
Тимьян	Thyme
Тимин	Thymine
Щитовидная железа	Thyroid
Тяньцзинь	Tianjin
Тибр	Tiber
Тиберий	Tiberius
Тибет	Tibet
Категория:Тибет	Tibet
Тичино	Ticino
Прилив	Tide
Огненная Земля	Tierra del Fuego
Тигр	Tiger
Тигр (река)	Tigris
Липа	Tilia
Тимбукту	Timbuktu
Время	Time
Категория:Время	Time
Time (журнал)	Time (magazine)
Часовой пояс	Time zone
Тимор	Timor
Тамерлан	Timur
Олово	Tin
Тирана	Tirana
Ткань (биология)	Tissue (biology)
Синицевые	Tit (bird)
Титан	Titan (disambiguation)
Титан (спутник)	Titan (moon)
Титаны	Titan (mythology)
Титания (спутник)	Titania (moon)
Титаник (значения)	Titanic (disambiguation)
Титан (элемент)	Titanium
Тициан	Titian
Тит Флавий Веспасиан	Titus
Тиволи	Tivoli
Табак	Tobacco
Токантинс	Tocantins (state)
Витамин E	Tocopherol
Тофу	Tofu
Того	Togo
Категория:Того	Togo
Токио	Tokyo
Толедо	Toledo
Толуол	Toluene
Хэнкс, Томас Джеффри	Tom Hanks
Том и Джерри (мультфильм)	Tom and Jerry
Томат	Tomato
Тонна	Ton
Тонга	Tonga
Категория:Тонга	Tonga
Язык (анатомия)	Tongue
Моррисон, Тони	Toni Morrison
Тонна	Tonne
Блэр, Энтони Чарлз Линтон	Tony Blair
Инструмент	Tool
Зуб	Tooth
Зубная щётка	Toothbrush
Топаз	Topaz
Топика (Канзас)	Topeka
Топология	Topology
Категория:Топология	Topology
Тора	Torah
Смерч	Tornado
Торонто	Toronto
Торпеда	Torpedo
Момент силы	Torque
Сухопутные черепахи	Tortoise
Пытка	Torture
Тор (поверхность)	Torus
Тоталитаризм	Totalitarianism
Тулон	Toulon
Тулуза	Toulouse
Тур-де-Франс	Tour de France
Туризм	Tourism
Категория:Туризм	Tourism
Тур (город)	Tours
Башня	Tower
Вавилонская башня	Tower of Babel
Тауэр	Tower of London
Город	Town
Токсичность	Toxicity
Токсикология	Toxicology
Игрушка	Toy
