English	Swedish
Gulf of Riga	Rigabukten
Gull	Måsar och trutar
Gunpowder	Krut
Gunpowder Plot	Krutkonspirationen 1604
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Kategori:Guyana
Gymnastics	Gymnastik
Gymnosperm	Nakenfröiga växter
Gynaecology	Gynekologi
Gypsum	Gips
Gyroscope	Gyroskop
H	H
H. G. Wells	H.G. Wells
HIV	HIV
HTML	HTML
Habitat	Habitat
Hacker	Hackare
Hadean	Hadeikum
Hades	Hades
Hadith	Hadith
Hadrian	Hadrianus
Hadrian's Wall	Hadrianus mur
Hadron	Hadron
Haemophilia	Blödarsjuka
Hafnium	Hafnium
Hagia Sophia	Hagia Sofia
Haifa	Haifa
Haiku	Haiku
Hail	Hagel
Hail Mary	Ave Maria
Hair	Hår
Haiti	Haiti
Haiti	Kategori:Haiti
Hajj	Hajj
Halal	Halal
Halberd	Hillebard
Half-life	Halveringstid
Halle	Halle an der Saale
Halloween	Halloween
Hallucination	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Hamburg	Kategori:Hamburg
Hamburger	Hamburgare
Hamlet	Hamlet
Hammer	Hammare (handverktyg)
Hammer and sickle	Hammaren och skäran
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Hamstrar
Han Dynasty	Handynastin
Hand	Hand
Hand grenade	Handgranat
Handgun	Pistol
Hanging	Hängning
Hanging Gardens of Babylon	Babylons hängande trädgårdar
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	H.C. Andersen
Hanseatic League	Hansan
Hanukkah	Chanukka
Hanuman	Hanuman
Harare	Harare
Hardness	Hårdhet
Harem	Harem
Harlem	Harlem
Harmonica	Munspel
Harmony	Harmoni
Harold Pinter	Harold Pinter
Harp	Harpa
Harpsichord	Cembalo
Harpy	Harpyja
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hassium
Hatred	Hat
Haute-Normandie	Haute-Normandie
Havana	Havanna
Hawaii	Hawaii
Hawaii	Kategori:Hawaii
Hazel	Hassel
Head	Huvud
Head of state	Statschef
Health	Hälsa
Health	Kategori:Hälsa
Heart	Hjärta
Heat	Värmemängd
Heat engine	Värmemaskin
Heaven	Himmelriket
Heavy metal	Kategori:Metal
Heavy metal music	Heavy metal
Heavy water	Tungt vatten
Hebe (mythology)	Hebe
Hebei	Hebei
Hebrew alphabet	Hebreiska alfabetet
Hebrew calendar	Judiska kalendern
Hebrides	Hebriderna
Hecate	Hekate
Hectare	Hektar
Hector	Hektor
Hector Berlioz	Hector Berlioz
Hedgehog	Igelkottar
Hedonism	Hedonism
Heimdall	Heimdall
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel
Helen	Helena (mytologisk gestalt)
Helen Keller	Helen Keller
Helena	Helena, Montana
Helicopter	Helikopter
Helios	Helios
Helium	Helium
Hell	Helvete
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsingfors
Hematite	Hematit
Hematology	Hematologi
Hemoglobin	Hemoglobin
Hemorrhoid	Hemorrojder
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry (enhet)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Hepatit
Hephaestus	Hefaistos
Hera	Hera
Heracles	Herakles
Heraclitus	Herakleitos
Heraldry	Heraldik
Heraldry	Kategori:Heraldik
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Herakles
Hercules (constellation)	Herkules (stjärnbild)
Heresy	Kätteri
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Hermafrodit
Hermeneutics	Hermeneutik
Hermes	Hermes
Hero	Hjälte
Hero of Alexandria	Heron
Herod the Great	Herodes den store
Herodotus	Herodotos
Heroin	Heroin
Heron	Hägrar
Herring Gull	Gråtrut
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiod	Hesiodos
Hesperides	Hesperiderna
Hesse	Hessen
Hesse	Kategori:Hessen
Hestia	Hestia
Heterosexuality	Heterosexualitet
Heterotroph	Heterotrofi
Hexadecimal	Hexadecimala talsystemet
Hexagon	Hexagon
Hezbollah	Hizbollah
Hibernation	Vinterdvala
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Hilbertrum
Himalayas	Himalaya
Hindu Kush	Hindukush
Hinduism	Hinduism
Hinduism	Kategori:Hinduism
Hipparchus	Hipparchos
Hippie	Hippie
Hippocrates	Hippokrates
Hippocratic Oath	Hippokrates ed
Hippopotamus	Flodhäst
Hirohito	Hirohito
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidine	Histidin
Histology	Histologi
Histology	Kategori:Histologi
Histone	Histon
Historiography	Historiografi
History	Historia
History	Kategori:Historia
History	Portal:Historia
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Ho Chi Minh-staden
Hobart	Hobart
Hobbit	Hober
Hobby	Hobby
Hokusai	Hokusai
Holiday	Helgdag
Hollywood	Hollywood
Holmium	Holmium
Holocene	Holocen
Holography	Holografi
Holy Grail	Graal
Holy Roman Empire	Tysk-romerska riket
Holy Roman Empire	Kategori:Tysk-romerska riket
Holy Spirit	Den Helige Ande
Homeopathy	Homeopati
Homeostasis	Homeostas
Homer	Homeros
Hominidae	Hominid/hominin
Homo (genus)	Människor (släkte)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonym
Homosexuality	Homosexualitet
Honduras	Honduras
Honduras	Kategori:Honduras
Honey	Honung
Honey Buzzard	Bivråk
Hong Kong	Hongkong
Hong Kong	Kategori:Hongkong
Honiara	Honiara
Honolulu	Honolulu
Hookah	Vattenpipa
Hooke's law	Hookes lag
Hoopoe	Härfågel
Horace	Horatius
Horatio Nelson	Horatio Nelson
Horizon	Horisont
Hormone	Hormon
Horn (anatomy)	Horn (utskott)
Horn (instrument)	Valthorn
Horn of Africa	Afrikas horn
Horoscope	Horoskop
Horse	Häst
Horse racing	Hästkapplöpning
Horsepower	Hästkraft
Horus	Horus
Hosni Mubarak	Hosni Mubarak
Hospital	Sjukhus
Hotel	Hotell
Hour	Timme
Hourglass	Timglas
House	Hus
House (TV series)	House (TV-serie)
House Mouse	Husmus
House Sparrow	Gråsparv
Houston	Houston
Hovercraft	Svävare
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Hubbles lag
Hudson Bay	Hudson Bay
Hudson River	Hudsonfloden
Hugh Capet	Hugo Capet
Hugo Grotius	Hugo Grotius
Huguenot	Hugenotter
Human	Människa
Humanism	Humanism
Humanities	Kategori:Humaniora
Humerus	Överarmsben
Humidity	Luftfuktighet
Hummingbird	Kolibrier
Humor	Kategori:Humor
Humour	Humor
Humpback Whale	Knölval
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Hundred Years' War	Hundraårskriget
Hungary	Ungern
Hungary	Kategori:Ungern
Hunger	Hunger
Hunting	Jakt
Hutu	Hutuer
Hybrid	Hybrid (biologi)
Hyderabad	Hyderabad
Hydra (constellation)	Vattenormen
Hydrocarbon	Kolväte
Hydrochloric acid	Saltsyra
Hydroelectricity	Vattenkraft
Hydrogen	Väte
Hydrogen bond	Vätebindning
Hydrogen cyanide	Vätecyanid
Hydrogen peroxide	Väteperoxid
Hydrology	Hydrologi
Hydrology	Kategori:Hydrologi
Hydrolysis	Hydrolys
Hydrosphere	Hydrosfären
Hydroxide	Hydroxidjon
Hydrus	Lilla vattenormen
Hyena	Hyenor
Hygiene	Kategori:Hygien
Hymen	Hymen
Hymenoptera	Kategori:Steklar
Hymenoptera	Steklar
Hymn	Hymn
Hyperbola	Hyperbel
Hyperbole	Hyperbol
Hyperion (moon)	Hyperion (måne)
Hyperion (mythology)	Hyperion
Hypertension	Högt blodtryck
Hypertext	Hypertext
Hypertext Transfer Protocol	HTTP
Hypnos	Hypnos (gud)
Hypnosis	Hypnos
Hypothalamus	Hypotalamus
Hypothesis	Hypotes
I	I
I. M. Pei	I.M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Japetus
Iapetus (mythology)	Iapetos
Iberian Peninsula	Iberiska halvön
Ibuprofen	Ibuprofen
Ice	Is
Ice age	Istid
Ice cream	Glass
Ice hockey	Ishockey
Ice hockey	Kategori:Ishockey
Iceberg	Isberg
Iceland	Island
Iceland	Kategori:Island
Ichthyology	Iktyologi
Icon	Ikon (religion)
Iconoclasm	Ikonoklasm
Idaho	Idaho
Idaho	Kategori:Idaho
Ideal gas	Ideal gas
Idealism	Idealism
Identity element	Neutralt element
Identity matrix	Enhetsmatris
Ideology	Ideologi
Ido	Ido
Igloo	Iglo
Ignatius of Loyola	Ignatius av Loyola
Igneous rock	Magmatisk bergart
Igor Stravinsky	Igor Stravinskij
Iguazu Falls	Iguassufallen
Iliad	Iliaden
Illinois	Illinois
Illinois	Kategori:Illinois
Illyria	Illyrien
Image scanner	Bildläsare
Imam	Imam
Immanuel Kant	Immanuel Kant
Immune system	Immunförsvar
Immunology	Immunologi
Immunology	Kategori:Immunologi
Imperialism	Imperialism
Impressionism	Impressionism (måleri)
Incest	Incest
Inch	Tum
Incheon	Inchon
Inclined plane	Lutande planet
Independence	Självständighet
India	Indien
India	Kategori:Indien
Indian Ocean	Indiska oceanen
Indian Ocean	Kategori:Indiska oceanen
Indiana	Indiana
Indiana	Kategori:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indochina	Indokina
Indonesia	Indonesien
Indonesia	Kategori:Indonesien
Indra	Indra
Inductance	Induktans
Inductive reasoning	Induktion (filosofi)
Inductor	Spole
Indulgence	Avlatsbrev
Indus (constellation)	Indianen
Indus River	Indus
Industrial Revolution	Industriella revolutionen
Industry	Industri
Industry	Kategori:Industri
Inequality	Olikhet
Inertia	Tröghet
Infantry	Infanteri
Infectious disease	Infektionssjukdom
Infinitive	Infinitiv
Infinity	Oändlighet
Inflammation	Inflammation
Inflation	Inflation
Influenza	Influensa
Information	Information
Information technology	Informationsteknik
Information theory	Informationsteori
Infrared	Infraröd strålning
Infrastructure	Infrastruktur
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Inre Mongoliet
Innovation	Innovation
Innsbruck	Innsbruck
Inorganic chemistry	Oorganisk kemi
Inorganic chemistry	Kategori:Oorganisk kemi
Inquisition	Inkvisitionen
Insect	Insekter
Insectivora	Äkta insektsätare
Insulin	Insulin
Insurance	Försäkring
Integer	Heltal
Integral	Integral
Integrated circuit	Integrerad krets
Intellectual property	Immaterialrätt
Intelligence	Intelligens
Intelligence quotient	IQ
Intercontinental ballistic missile	Interkontinental ballistisk robot
Interest	Ränta
Interjection	Interjektion
Interlingua	Interlingua
International Atomic Energy Agency	IAEA
International Civil Aviation Organization	International Civil Aviation Organization
International Court of Justice	Internationella domstolen i Haag
International Date Line	Datumgränsen
International Labour Organization	International Labour Organization
International Monetary Fund	Internationella valutafonden
International System of Units	SI
International law	Kategori:Internationell rätt
International organization	Mellanstatlig organisation
Internet	Internet
Internet	Kategori:Internet
Internet Explorer	Internet Explorer
Internment	Koncentrationsläger
Interpreter (computing)	Interpretator
Intersection (set theory)	Snitt
Interval (music)	Intervall (musik)
Intranet	Intranät
Invention	Uppfinning
Invertebrate	Ryggradslösa djur
Io (moon)	Io (måne)
Io (mythology)	Io
Iodine	Jod
Ion	Jon
Ionia	Jonien
Ionian Sea	Joniska havet
Ionic bond	Jonbindning
Ionosphere	Jonosfär
Iota	Jota
Iowa	Iowa
Iowa	Kategori:Iowa
Iran	Iran
Iran	Kategori:Iran
Iran-Iraq War	Iran-Irak-kriget
Iraq	Irak
Iraq	Kategori:Irak
Ireland	Kategori:Irland
Irenaeus	Irenaeus
Iridium	Iridium
Iris (anatomy)	Regnbågshinna
Iris (mythology)	Iris (mytologi)
Irish Republican Army	Irländska republikanska armén
Irish Sea	Irländska sjön
Irish people	Kategori:Irländare
Iron	Järn
Iron Age	Järnåldern
Iron Curtain	Järnridån
Iron Maiden	Iron Maiden
Irony	Ironi
Irrational number	Irrationellt tal
Irredentism	Irredentism
Irtysh River	Irtysj
Isaac	Isak (Bibeln)
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Ismael
Isis	Isis
Islam	Islam
Islam	Kategori:Islam
Islamabad	Islamabad
Islamic calendar	Muslimska kalendern
Island	Ö (landområde)
Isle of Man	Isle of Man
Isle of Man	Kategori:Isle of Man
Isle of Wight	Isle of Wight
Isomer	Isomeri
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotop
Israel	Israel
Israel	Kategori:Israel
Istanbul	İstanbul
Istanbul	Kategori:Istanbul
Isthmus	Näs
Isthmus of Panama	Panamanäset
Italian Peninsula	Apenninska halvön
Italo Calvino	Italo Calvino
Italy	Italien
Italy	Kategori:Italien
Ithaca	Ithaka
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Turgenjev
Ivory	Elfenben
Ivy League	Ivy League
Iwo Jima	Iwo To
J	J
J. D. Salinger	J.D. Salinger
J. M. Barrie	J.M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack the Ripper	Jack Uppskäraren
Jackdaw	Kaja
Jackson	Jackson, Mississippi
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville, Florida
Jacob	Jakob (patriark)
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade
Jaguar	Jaguar
Jainism	Jainism
Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaica
Jamaica	Kategori:Jamaica
James	Jakob (apostel)
James A. Garfield	James Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu and Kashmir	Jammu och Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Janissary	Janitsjarer
January	Januari
January 1	1 januari
January 19	19 januari
January 20	20 januari
January 6	6 januari
Janus (moon)	Janus (måne)
Janus (mythology)	Janus
Japan	Japan
Japan	Kategori:Japan
Jason	Jason
Jaundice	Gulsot
Java	Java
Java (disambiguation)	Java (olika betydelser)
Java (programming language)	Java (programmeringsspråk)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Jazz	Kategori:Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jidda
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovah's Witnesses	Jehovas vittnen
Jellyfish	Maneter
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jericho	Jeriko
Jerome	Hieronymus
Jersey	Jersey
Jerusalem	Jerusalem
Jerusalem	Kategori:Jerusalem
Jesus	Jesus
Jet engine	Jetmotor
Jew	Judar
Jew's harp	Mungiga
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Joan of Arc	Jeanne d'Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes Vilhelm Jensen	Johannes V. Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
John Calvin	Jean Calvin
John Chrysostom	Johannes Chrysostomos
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
John the Baptist	Johannes döparen
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Joint	Led
Jonathan Swift	Jonathan Swift
Jordan	Jordanien
Jordan	Kategori:Jordanien
Jordan River	Jordan
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Louis Gay-Lussac	Louis Joseph Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Joseph Stalin	Josef Stalin
Josephus	Josefus
Joule	Joule
Journalism	Kategori:Journalistik
Journalism	Journalistik
Journalist	Journalist
Jovian	Jovianus
Joystick	Styrspak
Judaism	Judendom
Judaism	Kategori:Judendom
Judas Iscariot	Judas Iskariot
Judea	Judeen
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Jules Verne	Jules Verne
Julian calendar	Julianska kalendern
Julian the Apostate	Julianus Apostata
Julius Caesar	Julius Caesar
July	Juli
July 1	1 juli
July 4	4 juli
June	Juni
June 14	14 juni
June 21	21 juni
June 23	23 juni
June 24	24 juni
June 29	29 juni
June 3	3 juni
Juneau	Juneau
Juniper	Ensläktet
Jupiter	Jupiter
Jupiter	Kategori:Jupiter
Jupiter (disambiguation)	Jupiter (olika betydelser)
Jupiter (mythology)	Jupiter (mytologi)
Jurassic	Jura (period)
Justinian I	Justinianus
Jutland	Jylland
K	K
K2	K2
KGB	KGB
Kaaba	Kaba
Kabbalah	Kabbala
Kabul	Kabul
Kalahari Desert	Kalahariöknen
Kamchatka Peninsula	Kamtjatka
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kangaroo	Kängurudjur
Kansas	Kansas
Kansas	Kategori:Kansas
Kansas City	Kansas City, Missouri
Kappa	Kappa (bokstav)
Kara Sea	Karahavet
Karachi	Karachi
Karakoram	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Kathmandu	Katmandu
Katowice	Katowice
Kaunas	Kaunas
Kayak	Kajak
Kazakhstan	Kazakstan
Kazakhstan	Kategori:Kazakstan
Kazan	Kazan
Kazimir Malevich	Kazimir Malevitj
Kelvin	Kelvin
Kent	Kent, England
Kentucky	Kentucky
Kentucky	Kategori:Kentucky
Kenya	Kenya
Kenya	Kategori:Kenya
Kernel (computer science)	Operativsystemkärna
Kerosene	Fotogen
Ketchup	Ketchup
Ketone	Keton
Keyboard (computing)	Tangentbord
Keyboard instrument	Klaverinstrument
Khabarovsk	Chabarovsk
Khan	Khan
Kharkiv	Charkiv
Khartoum	Khartoum
Khmer Rouge	Röda khmererna
Khufu	Cheops
Kibbutz	Kibbutz
Kidney	Njure
Kiev	Kiev
Kigali	Kigali
Kilogram	Kilogram
Kilometre	Kilometer
Kilometres per hour	Kilometer per timme
Kimono	Kimono
Kindergarten	Förskola
Kinetic energy	Kinetisk energi
King (chess)	Kung (schack)
King Arthur	Kung Artur
King Lear	Kung Lear
Kingdom (biology)	Rike (biologi)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kiribati	Kategori:Kiribati
Kirkuk	Kirkuk
Kiss	Kyss
Kite	Drake (leksak)
Kiwi	Kivier
Knee	Knä
Knesset	Knesset
Knife	Kniv
Knight	Riddare
Knight (chess)	Springare
Knossos	Knossos
Knot (speed)	Knop (enhet)
Knowledge	Kunskap
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kola Peninsula	Kolahalvön
Kolkata	Calcutta
Komodo dragon	Komodovaran
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Korea	Kategori:Korea
Korean War	Koreakriget
Kosovo	Kosovo
Kosovo	Kategori:Kosovo
Krakatoa	Krakatoa
Kremlin	Kreml
Krishna	Krishna
Krypton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Kublai Khan	Khubilai khan
Kuiper belt	Kuiperbältet
Kumquat	Kumquat
Kung fu (term)	Kung fu
Kunlun Mountains	Kunlun
Kuomintang	Kinas nationella folkparti
Kura River	Kura
Kurdistan	Kurdistan
Kurdistan	Kategori:Kurdistan
Kurdistan Workers Party	PKK
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kuwait	Kategori:Kuwait
Kuwait City	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kyrgyzstan	Kirgizistan
Kyrgyzstan	Kategori:Kirgizistan
L	L
L'Aquila	L'Aquila
LAMP (software bundle)	LAMP
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratory	Laboratorium
Labour Party (UK)	Labour Party
Labrador Retriever	Labrador retriever
Lacerta	Ödlan
Lactic acid	Mjölksyra
Lactose	Laktos
Lady Jane Grey	Jane Grey
Lagomorpha	Hardjur
Lagos	Lagos
Lahore	Lahore
Laissez-faire	Laissez faire
Lake	Insjö
Lake Baikal	Bajkalsjön
Lake Balaton	Balaton
Lake Chad	Tchadsjön
Lake Constance	Bodensjön
Lake Erie	Eriesjön
Lake Eyre	Eyresjön
Lake Geneva	Genèvesjön
Lake Huron	Huronsjön
Lake Ilmen	Ilmen
Lake Ladoga	Ladoga
Lake Malawi	Malawisjön
Lake Michigan	Michigansjön
Lake Onega	Onega
Lake Ontario	Ontariosjön
Lake Superior	Övre sjön
Lake Tanganyika	Tanganyikasjön
Lake Victoria	Victoriasjön
Lakshmi	Lakshmi
Lambda	Lambda
Lamiaceae	Kransblommiga växter
Lammergeier	Lammgam
Lamprey	Nejonögon
Lancashire	Lancashire
Lancelet	Lansettfiskar
Landfill	Soptipp
Language	Språk
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lanthanide	Lantanoider
Lanthanum	Lantan
Laos	Laos
Laos	Kategori:Laos
Laptev Sea	Laptevhavet
Laptop	Bärbar dator
Larch	Lärkträdssläktet
Larva	Larv
Larynx	Struphuvud
Las Vegas	Las Vegas
Lascaux	Lascaux
Laser	Laser
Lathe	Svarv
Latin	Latin
Latin America	Latinamerika
Latin alphabet	Latinska alfabetet
Latitude	Latitud
Latvia	Lettland
Latvia	Kategori:Lettland
Laughter	Skratt
Laurasia	Laurasien
Lausanne	Lausanne
Lava	Lava
Law	Juridik
Law	Kategori:Juridik
Law enforcement	Kategori:Polis
Lawrencium	Lawrencium
Lawyer	Advokat
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Lead	Bly
Leaf	Blad
League of Nations	Nationernas förbund
Leaning Tower of Pisa	Lutande tornet i Pisa
Leap year	Skottår
Learning	Studieteknik
Lebanon	Libanon
Lebanon	Kategori:Libanon
Leda (mythology)	Leda
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Left-handed	Vänsterhänthet
Legend	Legend
Legislature	Lagstiftande makt
Lego	LEGO
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Lemon	Citron
Lemon balm	Citronmeliss
Lena River	Lena (flod)
Length	Längd
Lens (optics)	Lins
Lent	Fasta
Lentil	Lins (växt)
Leo (constellation)	Lejonet (stjärnbild)
Leo I (emperor)	Leo I (bysantinsk kejsare)
Leon Trotsky	Lev Trotskij
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezhnev	Leonid Brezjnev
Leopard	Leopard
Lepidoptera	Fjärilar
Leprosy	Lepra
Lepton	Lepton
Lepus (constellation)	Haren (stjärnbild)
Lesbian	Lesbisk
Lesotho	Lesotho
Lesotho	Kategori:Lesotho
Lesser Antilles	Små Antillerna
Leto	Leto
Letter (alphabet)	Bokstav
Leukemia	Leukemi
Levant	Levanten
Lever	Hävstång
Leviathan	Leviatan
Leviticus	Tredje Moseboken
Lewis Carroll	Lewis Carroll
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalism
Liberalism	Kategori:Liberalism
Liberation Tigers of Tamil Eelam	Tamilska befrielsetigrarna
Liberia	Liberia
Liberia	Kategori:Liberia
Libra (constellation)	Vågen (stjärnbild)
Library	Bibliotek
Library science	Biblioteks- och informationsvetenskap
Libretto	Libretto
Libreville	Libreville
Libya	Libyen
Libya	Kategori:Libyen
Lichen	Lav
Lie	Lögn
Liechtenstein	Liechtenstein
Liechtenstein	Kategori:Liechtenstein
Lieutenant	Löjtnant
Life	Liv
Life	Kategori:Liv
Light	Ljus
Light-emitting diode	Lysdiod
Light-year	Ljusår
Lighter	Tändare
Lighthouse	Fyr
Liguria	Ligurien
Ligurian Sea	Liguriska havet
Liliaceae	Liljeväxter
Lilith	Lilit
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Limestone	Kalksten
Limit (mathematics)	Gränsvärde
Limnology	Limnologi
Limousin (region)	Limousin
Lincoln	Lincoln, Nebraska
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Line (mathematics)	Rät linje
Linear algebra	Linjär algebra
Linear algebra	Kategori:Linjär algebra
Linear equation	Linjär ekvation
Lingua franca	Lingua franca
Linguistics	Språkvetenskap
Linguistics	Kategori:Lingvistik
Linus Pauling	Linus Pauling
Linux	Linux
Linux	Kategori:Linux
Linz	Linz
Lion	Lejon
Lipid	Lipid
Liqueur	Likör
Liquid	Vätska
Liquid crystal display	Flytande kristallskärm
Liquorice	Lakritsrot
Lisbon	Lissabon
Lise Meitner	Lise Meitner
Lisp (programming language)	Lisp
Literacy	Läskunnighet
Literature	Litteratur
Literature	Kategori:Litteratur
