English	Lithuanian
Spreadsheet	Elektroninė skaičiuoklė
Spree	Šprė
Spring (season)	Pavasaris
Squamata	Žvynaropliai
Square (geometry)	Kvadratas
Square metre	Kvadratinis metras
Sri Lanka	Šri Lanka
Sri Lanka	Kategorija:Šri Lanka
Stadium	Stadionas
Stained glass	Vitražas
Stalinism	Stalinizmas
Standard Generalized Markup Language	SGML
Standard deviation	Standartinis nuokrypis
Stanley Kubrick	Stanley Kubrick
Star	Žvaigždė
Star of David	Dovydo žvaigždė
Starch	Krakmolas
Starfish	Jūrų žvaigždės
State	Valstybė
Staten Island	Steiteno sala
Statistics	Statistika
Statistics	Kategorija:Statistika
Statue of Liberty	Laisvės statula
Steam	Garai
Steam engine	Garo mašina
Steel	Plienas
Stefan Zweig	Stefan Zweig
Stegosaurus	Stegozauras
Stem cell	Kamieninė ląstelė
Stendhal	Stendalis
Stephen Hawking	Stephen Hawking
Sternum	Krūtinkaulis
Steven Spielberg	Steven Spielberg
Sting	Sting
Stock exchange	Birža
Stockholm	Stokholmas
Stoicism	Stoicizmas
Stomach	Skrandis
Stone Age	Akmens amžius
Stonehenge	Stounhendžas
Stork	Gandriniai
Storm	Audra
Strait of Gibraltar	Gibraltaro sąsiauris
Strait of Hormuz	Ormuzo sąsiauris
Strait of Magellan	Magelano sąsiauris
Strait of Messina	Mesinos sąsiauris
Straits	Kategorija:Sąsiauriai
Strasbourg	Strasbūras
Strategy	Strategija
Stratigraphy	Stratigrafija
Stratosphere	Stratosfera
Strawberry	Žemuogė
Stress (medicine)	Stresas
String theory	Stygų teorija
Strontium	Stroncis
Stub	Šablonas:Stub
Student	Studentas
Stupa	Stupa
Sturmabteilung	SA
Stuttgart	Štutgartas
Styx	Stiksas
Subculture	Subkultūra
Sublimation (chemistry)	Sublimacija
Submarine	Povandeninis laivas
Subtraction	Atimtis
Subversion (software)	Subversion
Sucre	Sukrė
Sucrose	Sacharozė
Sudan	Sudanas
Sudan	Kategorija:Sudanas
Sudoku	Sudoku
Suez Canal	Sueco kanalas
Sugar	Cukrus
Suharto	Suharto
Sulawesi	Sulavesis
Sulfur	Siera
Sulfur dioxide	Sieros dioksidas
Sulfur mustard	Ipritas
Sulfuric acid	Sieros rūgštis
Sumatra	Sumatra
Sumer	Šumeras
Summer	Vasara
Sun	Saulė
Sun	Kategorija:Saulė
Sunday	Sekmadienis
Sundial	Saulės laikrodis
Sunni Islam	Sunitai
Sunspot	Saulės dėmė
Supercomputer	Superkompiuteris
Superconductivity	Superlaidumas
Superman	Supermenas
Supernova	Supernova
Sura	Sura
Surgeon	Chirurgija
Surgery	Chirurgija
Surgery	Kategorija:Chirurgija
Suriname	Surinamas
Suriname	Kategorija:Surinamas
Surrealism	Siurrealizmas
Sushi	Sušis
Suva	Suva
Svalbard	Svalbardas
Swallow	Kregždiniai
Swan	Gulbės
Swastika	Svastika
Swaziland	Svazilandas
Swaziland	Kategorija:Svazilandas
Sweden	Švedija
Sweden	Kategorija:Švedija
Sweet potato	Batatas
Swimming	Plaukimas
Swiss people	Kategorija:Šveicarijos asmenybės
Switzerland	Šveicarija
Switzerland	Kategorija:Šveicarija
Sword	Kalavijas
Sydney	Sidnėjus
Syllable	Skiemuo
Symbiosis	Simbiozė
Symphony	Simfonija
Symptom	Simptomas
Synagogue	Sinagoga
Syndicate	Profesinė sąjunga
Synesthesia	Sinestezija
Synonym	Sinonimas
Syphilis	Sifilis
Syracuse	Sirakūzai
Syria	Sirija
Syria	Kategorija:Sirija
System	Sistema
T	T
T. S. Eliot	Thomas Stearns Eliot
Table (furniture)	Stalas
Table tennis	Stalo tenisas
Tacitus	Publijus Kornelijus Tacitas
Taekwondo	Tekvondo
Tagus	Tachas
Tahiti	Taitis
Tail	Uodega
Taipei	Taipėjus
Taiwan	Kategorija:Taivanas
Taj Mahal	Tadžmahalas
Tajikistan	Tadžikija
Tajikistan	Kategorija:Tadžikija
Talc	Talkas
Taliban	Talibanas
Tallinn	Talinas
Talmud	Talmudas
Tamil Nadu	Tamilnadas
Tampere	Tamperė
Tanakh	Tanachas
Tang Dynasty	Tang dinastija
Tangier	Tanžeras
Tango (dance)	Tango
Tank	Tankas
Tantalum	Tantalas
Tantalus	Tantalas (mitologija)
Tanzania	Tanzanija
Tanzania	Kategorija:Tanzanija
Taoism	Daoizmas
Tapir	Tapyrai
Tarn	Tarnas (departamentas)
Tarragon	Vaistinis kietis
Tartarus	Tartaras
Tartu	Tartu
Tashkent	Taškentas
Tasman Sea	Tasmano jūra
Tasmania	Tasmanija
Tasmanian Devil	Sterblinis velnias
Taste	Skonis
Tattoo	Tatuiruotė
Taurus (constellation)	Tauras (astronomija)
Tawny Owl	Naminė pelėda
Tax	Mokestis
Taxation	Kategorija:Mokesčiai
Taxicab	Taksi
Taxon	Taksonas
Taxonomy	Taksonomija
Taxus baccata	Europinis kukmedis
Tbilisi	Tbilisis
Tea	Arbata
Teacher	Mokytojas
Technetium	Technecis
Technology	Technologija
Tegucigalpa	Tegusigalpa
Tehran	Teheranas
Tel Aviv	Tel Avivas
Telepathy	Telepatija
Telephone	Telefonas
Telescope	Teleskopas
Telescopium	Teleskopas (astronomija)
Television	Televizija
Television	Kategorija:Televizija
Tellurium	Telūras
Temperature	Temperatūra
Temple	Šventykla
Temple of Artemis	Artemidės šventykla
Ten Commandments	Dešimt Dievo įsakymų
Tenerife	Tenerifė
Tennessee	Tenesis
Tennis	Tenisas
Tequila	Tekila
Terbium	Terbis
Termite	Termitai
Terpsichore	Terpsichorė
Terrestrial planet	Žemės grupė
Terrorism	Terorizmas
Terrorism	Kategorija:Terorizmas
Tertullian	Tertulianas
Tesla (unit)	Tesla
Testicle	Sėklidė
Testosterone	Testosteronas
Tetanus	Stabligė
Tethys (moon)	Tetija (palydovas)
Tethys (mythology)	Tetija
Tetrahedron	Tetraedras
Tetrahydrocannabinol	Tetrahidrokanabinolis
Texas	Teksasas
Textile	Tekstilė
Thailand	Tailandas
Thailand	Kategorija:Tailandas
Thales	Talis iš Mileto
Thalia	Talėja
Thallium	Talis (elementas)
Thanatos	Tanatas
The Gambia	Gambija
The Gambia	Kategorija:Gambija
The Hague	Haga
The Star-Spangled Banner	JAV himnas
Theatre	Teatras
Theatre	Kategorija:Teatras
Thebe (moon)	Tebė (palydovas)
Thebes	Tebai
Thebes	Tėbai (Egiptas)
Theia	Tėja
Themis	Temidė
Theodor Mommsen	Theodor Mommsen
Theology	Teologija
Theology	Kategorija:Teologija
Theorem	Teorema
Theory	Teorija
Theory of relativity	Reliatyvumo teorija
Thermodynamics	Termodinamika
Thermodynamics	Kategorija:Termodinamika
Thermometer	Termometras
Theseus	Tesėjas
Thessaloniki	Salonikai
Thessaly	Tesalija
Thetis	Tetidė
Thiamine	Tiaminas
Think tank	Idėjų kalvė
Third World	Trečiasis pasaulis
Thirty Years' War	Trisdešimtmetis karas
Thomas Aquinas	Tomas Akvinietis
Thomas Edison	Thomas Edison
Thomas Jefferson	Thomas Jefferson
Thomas Malthus	Thomas Malthus
Thomas Mann	Thomas Mann
Thomas More	Tomas Moras
Thomas Young (scientist)	Thomas Young
Thor	Toras (mitologija)
Thorium	Toris
Thoth	Totas
Thought	Mintis
Thrace	Trakija
Thulium	Tulis
Thuringia	Tiuringija
Thursday	Ketvirtadienis
Thymine	Timinas
Thyroid	Skydliaukė
Tianjin	Tiandzinas
Tiber	Tibras
Tiberius	Tiberijus Cezaris Augustas
Tibet	Tibetas
Tibet	Kategorija:Tibetas
Tierra del Fuego	Ugnies Žemė
Tiger	Tigras
Tigris	Tigras (upė)
Tilia	Liepa (augalas)
Timbuktu	Timbuktu
Time	Laikas
Time	Kategorija:Laikas
Time zone	Laiko juosta
Timor	Timoras (sala)
Timur	Timūras
Tin	Alavas
Tirana	Tirana
Tissue (biology)	Audinys (biologija)
Tit (bird)	Zyliniai
Titan (disambiguation)	Titanas (reikšmės)
Titan (moon)	Titanas (palydovas)
Titan (mythology)	Titanai (mitologija)
Titania (moon)	Titanija (palydovas)
Titanium	Titanas
Titian	Tiziano Vecelli
Titus	Titas
Tobacco	Tabakas
Tocopherol	Vitaminas E
Tofu	Sojų varškė
Togo	Togas
Togo	Kategorija:Togas
Tokyo	Tokijas
Toluene	Toluenas
Tom Hanks	Tom Hanks
Tomato	Pomidoras
Tonga	Tonga
Tonga	Kategorija:Tonga
Tongue	Liežuvis
Tonne	Tona
Tony Blair	Tony Blair
Tooth	Dantis
Toothbrush	Dantų šepetukas
Topaz	Topazas
Topology	Topologija
Topology	Kategorija:Topologija
Torah	Tora
Tornado	Tornadas
Toronto	Torontas
Tortoise	Balkanų vėžlys
Torus	Toras (geometrija)
Totalitarianism	Totalitarizmas
Toulouse	Tulūza
Tour de France	Tour de France
Tourism	Turizmas
Tourism	Kategorija:Turizmas
Tower of Babel	Babelio bokštas
Town	Miestas
Toxicity	Nuodas
Toxicology	Toksikologija
Toy	Žaislai
Toyota	Toyota Motor Corporation
Tractor	Traktorius
Trade union	Profesinė sąjunga
Train	Traukinys
Train station	Geležinkelio stotis
Trajan	Trajanas
Tram	Tramvajus
Transcendental number	Transcendentinis skaičius
Transformer	Transformatorius
Transistor	Tranzistorius
Transmission Control Protocol	TCP
Transportation	Kategorija:Transportas
Transylvania	Transilvanija
Trapezoid	Trapecija
Treaty of Versailles	Versalio sutartis
Tree	Medis
Trento	Trentas (Italija)
Triangle	Trikampis
Triangulum	Trikampis (astronomija)
Triangulum Australe	Pietų Trikampis
Triassic	Triasas
Triceratops	Triceratopsas
Trigonometry	Trigonometrija
Trilobite	Trilobitai
Trilogy	Trilogija
Trinidad	Trinidadas
Trinidad and Tobago	Trinidadas ir Tobagas
Trinidad and Tobago	Kategorija:Trinidadas ir Tobagas
Trinitrotoluene	TNT
Trinity	Švenčiausioji Trejybė
Tripoli	Tripolis
Triskelion	Triskelionas
Triton (moon)	Tritonas (palydovas)
Triton (mythology)	Tritonas
Trojan War	Trojos karas
Trojan horse (computing)	Trojos arklys (programa)
Troll	Troliai
Trolleybus	Troleibusas
Trombone	Trombonas
Trondheim	Trondheimas
Tropics	Atogrąžos
Troposphere	Troposfera
Trotskyism	Trockizmas
Troy	Troja
Truck	Sunkvežimis
Truman Doctrine	Trumeno doktrina
Trumpet	Trimitas
Truth	Tiesa
Tryptophan	Triptofanas
Tsar	Caras
Tsunami	Cunamis
Tuareg	Tuaregai
Tuba	Tūba
Tuber (genus)	Trumas
Tuberculosis	Tuberkuliozė
Tucana	Tukanas (astronomija)
Tucson	Tuksonas
Tuesday	Antradienis
Tulip	Tulpė
Tumor	Auglys
Tundra	Tundra
Tungsten	Volframas
Tunicate	Gaubtagyviai
Tunis	Tunisas (miestas)
Tunisia	Tunisas
Tunisia	Kategorija:Tunisas
Turin	Turinas
Turing machine	Tiuringo mašina
Turkey	Turkija
Turkey	Kategorija:Turkija
Turkmenistan	Turkmėnija
Turkmenistan	Kategorija:Turkmėnija
Turmeric	Dažinė ciberžolė
Turtle	Vėžliai
Tuscany	Toskana
Tuvalu	Tuvalu
Tuvalu	Kategorija:Tuvalu
Tux	Tux
Tycho Brahe	Tychas Brahė
Typhon	Tifonas
Tyrannosaurus	Tiranozauras
Tyre	Tyras
Tyrol (state)	Tirolis (žemė)
Tyrrhenian Sea	Tirėnų jūra
U	U
UNESCO	UNESCO
Ufa	Ufa
Uganda	Uganda
Uganda	Kategorija:Uganda
Ukraine	Ukraina
Ukraine	Kategorija:Ukraina
Ulan Bator	Ulan Batoras
Ulster	Alsteris
Ultrasound	Ultragarsas
Ultraviolet	Ultravioletiniai spinduliai
Umbrella	Skėtis
Umbria	Umbrija
Uncertainty principle	Heizenbergo neapibrėžtumo principas
Unemployment	Bedarbystė
Unidentified flying object	Neatpažintas skraidantis objektas
United Arab Emirates	Jungtiniai Arabų Emyratai
United Arab Emirates	Kategorija:Jungtiniai Arabų Emyratai
United Kingdom	Jungtinė Karalystė
United Kingdom	Kategorija:Jungtinė Karalystė
United Nations	Jungtinių Tautų Organizacija
United Nations	Kategorija:JTO
United Nations Children's Fund	UNICEF
United States	Jungtinės Amerikos Valstijos
United States	Kategorija:JAV
United States Congress	Jungtinių Valstijų Kongresas
United States House of Representatives	Atstovų rūmai
United States Military Academy	Vest Pointas
United States Senate	JAV Senatas
United States Virgin Islands	Mergelių Salos (JAV)
United States dollar	Jungtinių Valstijų doleris
Universe	Visata
University	Universitetas
Unix	UNIX
Upanishad	Upanišados
Uppsala	Upsala
Upsilon	Ipsilon (raidė)
Ur	Uras
Uracil	Uracilas
Ural Mountains	Uralo kalnai
Urania	Uranija
Uranium	Uranas (chemija)
Uranus	Uranas (planeta)
Uranus	Kategorija:Uranas
Uranus (mythology)	Uranas (mitologija)
Urdu	Urdu
Urea	Karbamidas
Urine	Šlapimas
Ursa Major	Didieji Grįžulo Ratai
Ursa Minor	Mažieji Grįžulo Ratai
Uruguay	Urugvajus
Uruguay	Kategorija:Urugvajus
Utah	Juta
Uterus	Gimda
Utilitarianism	Utilitarizmas
Utopia	Utopija
Utrecht (city)	Utrechtas
Utrecht (province)	Utrechto provincija
Uttar Pradesh	Utar Pradešas
Uzbekistan	Uzbekija
Uzbekistan	Kategorija:Uzbekija
V	V
Vacuole	Vakuolė
Vacuum	Vakuumas
Vacuum tube	Elektroninė lempa
Vaduz	Vaducas
Vagina	Makštis (lytinis organas)
Valence (chemistry)	Valentingumas
Valencia	Valensija
Valentina Tereshkova	Valentina Tereškova
Valentine's Day	Valentino diena
Valhalla	Valhala
Valkyrie	Valkirijos
Valletta	Valeta
Valley	Slėnis
Vampire	Vampyras
Vanadium	Vanadis
Vancouver	Vankuveris
Vancouver Island	Vankuverio sala
Vandalism	Vandalizmas
Vanir	Vanai
Vanuatu	Vanuatu
Vanuatu	Kategorija:Vanuatu
Var (department)	Varas
Variance	Dispersija
Varna	Varna (Bulgarija)
Vascular plant	Induočiai
Vatican City	Vatikanas
Vatican City	Kategorija:Vatikanas
Vector (spatial)	Vektorius
Vega	Vega
Vegetable	Daržovės
Vegetarianism	Vegetarizmas
Vein	Vena
Vela (constellation)	Burės (astronomija)
Velociraptor	Velociraptorius
Veneto	Venetas
Venezuela	Venesuela
Venezuela	Kategorija:Venesuela
Venice	Venecija
Venus	Venera (planeta)
Venus (mythology)	Venera (mitologija)
Verb	Veiksmažodis
Vermont	Vermontas
Versailles	Versalis
Vertebra	Slankstelis
Vertebral column	Stuburas
Vertebrate	Stuburiniai
Vespasian	Vespasianas
Vesta (mythology)	Vesta
Veto	Veto
Victor Hugo	Victor Hugo
Victoria	Viktorija (Seišeliai)
Victoria	Viktorija (Kanada)
Victoria	Viktorija
Victoria (Australia)	Viktorija (Australija)
Victoria Falls	Viktorijos krioklys
Video game	Kompiuterinis žaidimas
Vienna	Viena
Vienne	Vjenas
Vientiane	Vientianas
Vietnam	Vietnamas
Vietnam	Kategorija:Vietnamas
Vietnam War	Vietnamo karas
Viking	Vikingai
Vilfredo Pareto	Vilfredo Pareto
Village	Kaimas
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vinegar	Actas
Violin	Smuikas
Virgil	Vergilijus
Virgin Islands	Mergelių salos
Virginia	Virdžinija
Virginia Woolf	Virginia Woolf
Virginity	Nekaltybė
Virgo (constellation)	Mergelė
Virtual memory	Virtualioji atmintis
Virus	Virusas
Viscosity	Klampumas
Vishnu	Višnus
Vistula	Vysla
Vitamin	Vitaminas
Vitamin A	Vitaminas A
Vitamin B6	Piridoksinas
Vitamin C	Vitaminas C
Vitamin D	Vitaminas D
Vitamin K	Vitaminas K
Vitus Bering	Vitus Bering
Vladimir Lenin	Leninas
Vladimir Nabokov	Vladimiras Nabokovas
Vladimir Putin	Vladimiras Putinas
Vladivostok	Vladivostokas
Vodka	Degtinė
Volans	Skraidanti Žuvis
Volcano	Ugnikalnis
Volcanology	Vulkanologija
Volga River	Volga
Volgograd	Volgogradas
Volleyball	Tinklinis
Volt	Voltas
Voltage	Elektrinė įtampa
Voltaire	Volteras
Volume	Tūris
Vomiting	Vėmimas
Voodoo	Vudu
Vulcan (mythology)	Vulkanas (mitologija)
Vulpecula	Laputė
Vulva	Vulva
W	W
WYSIWYG	WYSIWYG
Wales	Velsas
Wales	Kategorija:Velsas
Walrus	Vėplys
Walt Disney	Walt Disney
War	Karas
War	Kategorija:Karas
War crime	Karo nusikaltimai
War of the Spanish Succession	Ispanijos įpėdinystės karas
Wars of the Roses	Rožių karai
Warsaw	Varšuva
Washing machine	Skalbimo mašina
Washington	Vašingtonas
Washington	Vašingtonas (valstija)
Washington (disambiguation)	Vašingtonas (reikšmės)
Wassily Kandinsky	Vasilijus Kandinskis
Water	Vanduo
Water polo	Vandensvydis
Waterfall	Krioklys
Watergate scandal	Votergeito skandalas
Watermelon	Tikrasis arbūzas
Watt	Vatas
Wave	Banga
Wavelength	Bangos ilgis
Wax	Vaškas
Weak interaction	Silpnoji sąveika
Weapon	Ginklas
Weather	Orai
Web browser	Naršyklė
Web page	Tinklalapis
Wednesday	Trečiadienis
Week	Savaitė
Weight	Svoris
Weimar	Veimaras
Weimar Republic	Veimaro respublika
Wellington	Velingtonas
Werewolf	Vilkolakis
Weser River	Vėzeris
West	Vakarai (pasaulio kryptis)
West Bank	Vakarų Krantas
West Bengal	Vakarų Bengalija
West Virginia	Vakarų Virdžinija
Western Australia	Vakarų Australija
Western Roman Empire	Vakarų Romos imperija
Western Sahara	Vakarų Sachara
Westminster Abbey	Vestminsterio vienuolynas
Wheat	Kvietys
Wheel	Ratas
Whisky	Viskis
White House	Baltieji rūmai
White Sea	Baltoji jūra
White blood cell	Baltasis kraujo kūnelis
White dwarf	Baltoji nykštukė
Whitehorse	Vaithorsas
Wiesbaden	Vysbadenas
Wildcat	Vilpišys
William Blake	William Blake
William Faulkner	William Faulkner
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William I	Vilhelmas I
William II	Vilhelmas II
William James	Viljamas Džeimsas
William Shakespeare	William Shakespeare
William of Ockham	Viljamas Okamas
Willow	Gluosnis
Willy Brandt	Willy Brandt
Wind instrument	Pučiamieji instrumentai
Wind power	Vėjo energija
Windhoek	Vindhukas
Window	Langas
Wine	Vynas
Winnipeg	Vinipegas
Winston Churchill	Winston Churchill
Winter	Žiema
Winter Olympic Games	Žiemos olimpinės žaidynės
Wisconsin	Viskonsinas
Wolfgang Amadeus Mozart	Volfgangas Amadėjus Mocartas
Wolfgang Pauli	Wolfgang Ernst Pauli
Woman	Moteris
Wood	Mediena
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
Word	Žodis
World Bank	Pasaulio Bankas
World Health Organization	Pasaulio sveikatos organizacija
World Trade Center	Pasaulio prekybos centras
World Trade Organization	Pasaulio prekybos organizacija
World War I	Pirmasis pasaulinis karas
World War II	Antrasis pasaulinis karas
World War II	Kategorija:Antrasis pasaulinis karas
World Wide Web	Žiniatinklis
World war	Pasauliniai karai
Worm	Kirmėlė
Wormhole	Slieko tunelis
Writing system	Rašto sistema
Wuhan	Uhanas
Wyoming	Vajomingas
X	X
X-ray	Rentgeno spinduliai
Xenarthra	Nepilnadančiai
Xenon	Ksenonas
Xenophobia	Ksenofobija
Xenophon	Ksenofontas
Xi	Ksi (raidė)
Xinjiang	Sindziangas
Y	Y
Yahweh	Tetragramatonas
Yak	Jakas
Yakuza	Jakudza
Yalta	Jalta
Yalta Conference	Jaltos konferencija
Yangon	Rangūnas
Yangtze River	Jangdzė
Yasser Arafat	Jesiras Arafatas
Year	Metai
Years	Kategorija:Metai
Yeast	Mielės
Yellow	Geltona
Yellow River	Chvangchė
Yellow Sea	Geltonoji jūra
Yellowstone National Park	Jeloustouno nacionalinis parkas
Yemen	Jemenas
Yemen	Kategorija:Jemenas
Yenisei River	Jenisejus
Yerevan	Jerevanas
Yggdrasil	Igdrasilas
Yo-yo	Jojo
Yoga	Joga
Yoghurt	Jogurtas
Yoko Ono	Yoko Ono
Yokohama	Jokohama
Yom Kippur	Jom Kipuras
Yom Kippur War	Teismo dienos karas
Yosemite National Park	Josemičio nacionalinis parkas
Young's modulus	Jungo modulis
Ytterbium	Iterbis
Yttrium	Itris
Yuan Dynasty	Juan dinastija
Yugoslavia	Kategorija:Jugoslavija
Yukon	Jukonas
Yunnan	Junnanas
Yuri Gagarin	Jurijus Gagarinas
Z	Z
Zagreb	Zagrebas
Zambezi	Zambezė
Zambia	Zambija
Zambia	Kategorija:Zambija
Zanzibar	Zanzibaras
Zaragoza	Saragosa
Zealand	Zelandija
Zebra	Zebrai
Zen	Dzenas
Zenith	Zenitas
Zeno of Elea	Zenonas Elėjietis
Zeus	Dzeusas
Zeus (disambiguation)	Dzeusas
Ziggurat	Zikuratas
Zimbabwe	Zimbabvė
Zimbabwe	Kategorija:Zimbabvė
Zinc	Cinkas
Zionism	Sionizmas
Zirconium	Cirkonis
Zodiac	Zodiakas
Zombie	Zombis
Zoo	Zoologijos sodas
Zoology	Zoologija
Zoology	Kategorija:Zoologija
Zoroaster	Zaratustra
Zoroastrianism	Zoroastrizmas
