Swedish	English
Rigabukten	Gulf of Riga
Måsar och trutar	Gull
Krut	Gunpowder
Krutkonspirationen 1604	Gunpowder Plot
Guppy	Guppy
Gustav Klimt	Gustav Klimt
Gustav Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Kategori:Guyana	Guyana
Gymnastik	Gymnastics
Nakenfröiga växter	Gymnosperm
Gynekologi	Gynaecology
Gips	Gypsum
Gyroskop	Gyroscope
H	H
H.G. Wells	H. G. Wells
HIV	HIV
HTML	HTML
Habitat	Habitat
Hackare	Hacker
Hadeikum	Hadean
Hades	Hades
Hadith	Hadith
Hadrianus	Hadrian
Hadrianus mur	Hadrian's Wall
Hadron	Hadron
Blödarsjuka	Haemophilia
Hafnium	Hafnium
Hagia Sofia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hagel	Hail
Ave Maria	Hail Mary
Hår	Hair
Haiti	Haiti
Kategori:Haiti	Haiti
Hajj	Hajj
Halal	Halal
Hillebard	Halberd
Halveringstid	Half-life
Halle an der Saale	Halle
Halloween	Halloween
Hallucination	Hallucination
Halogen	Halogen
Hamas	Hamas
Hamburg	Hamburg
Kategori:Hamburg	Hamburg
Hamburgare	Hamburger
Hamlet	Hamlet
Hammare (handverktyg)	Hammer
Hammaren och skäran	Hammer and sickle
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamstrar	Hamster
Handynastin	Han Dynasty
Hand	Hand
Handgranat	Hand grenade
Pistol	Handgun
Hängning	Hanging
Babylons hängande trädgårdar	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hannover	Hanover
Hans Bethe	Hans Bethe
H.C. Andersen	Hans Christian Andersen
Hansan	Hanseatic League
Chanukka	Hanukkah
Hanuman	Hanuman
Harare	Harare
Hårdhet	Hardness
Harem	Harem
Harlem	Harlem
Munspel	Harmonica
Harmoni	Harmony
Harold Pinter	Harold Pinter
Harpa	Harp
Cembalo	Harpsichord
Harpyja	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford
Hassium	Hassium
Hat	Hatred
Haute-Normandie	Haute-Normandie
Havanna	Havana
Hawaii	Hawaii
Kategori:Hawaii	Hawaii
Hassel	Hazel
Huvud	Head
Statschef	Head of state
Hälsa	Health
Kategori:Hälsa	Health
Hjärta	Heart
Värmemängd	Heat
Värmemaskin	Heat engine
Himmelriket	Heaven
Kategori:Metal	Heavy metal
Heavy metal	Heavy metal music
Tungt vatten	Heavy water
Hebe	Hebe (mythology)
Hebei	Hebei
Hebreiska alfabetet	Hebrew alphabet
Judiska kalendern	Hebrew calendar
Hebriderna	Hebrides
Hekate	Hecate
Hektar	Hectare
Hektor	Hector
Hector Berlioz	Hector Berlioz
Igelkottar	Hedgehog
Hedonism	Hedonism
Heimdall	Heimdall
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel	Hel (being)
Helena (mytologisk gestalt)	Helen
Helen Keller	Helen Keller
Helena, Montana	Helena
Helikopter	Helicopter
Helios	Helios
Helium	Helium
Helvete	Hell
Helmut Schmidt	Helmut Schmidt
Helsingfors	Helsinki
Hematit	Hematite
Hematologi	Hematology
Hemoglobin	Hemoglobin
Hemorrojder	Hemorrhoid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (enhet)	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatit	Hepatitis
Hefaistos	Hephaestus
Hera	Hera
Herakles	Heracles
Herakleitos	Heraclitus
Heraldik	Heraldry
Kategori:Heraldik	Heraldry
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Herakles	Hercules
Herkules (stjärnbild)	Hercules (constellation)
Kätteri	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermafrodit	Hermaphrodite
Hermeneutik	Hermeneutics
Hermes	Hermes
Hjälte	Hero
Heron	Hero of Alexandria
Herodes den store	Herod the Great
Herodotos	Herodotus
Heroin	Heroin
Hägrar	Heron
Gråtrut	Herring Gull
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiodos	Hesiod
Hesperiderna	Hesperides
Hessen	Hesse
Kategori:Hessen	Hesse
Hestia	Hestia
Heterosexualitet	Heterosexuality
Heterotrofi	Heterotroph
Hexadecimala talsystemet	Hexadecimal
Hexagon	Hexagon
Hizbollah	Hezbollah
Vinterdvala	Hibernation
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbertrum	Hilbert space
Himalaya	Himalayas
Hindukush	Hindu Kush
Hinduism	Hinduism
Kategori:Hinduism	Hinduism
Hipparchos	Hipparchus
Hippie	Hippie
Hippokrates	Hippocrates
Hippokrates ed	Hippocratic Oath
Flodhäst	Hippopotamus
Hirohito	Hirohito
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidin	Histidine
Histologi	Histology
Kategori:Histologi	Histology
Histon	Histone
Historiografi	Historiography
Historia	History
Kategori:Historia	History
Portal:Historia	History
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh-staden	Ho Chi Minh City
Hobart	Hobart
Hober	Hobbit
Hobby	Hobby
Hokusai	Hokusai
Helgdag	Holiday
Hollywood	Hollywood
Holmium	Holmium
Holocen	Holocene
Holografi	Holography
Graal	Holy Grail
Tysk-romerska riket	Holy Roman Empire
Kategori:Tysk-romerska riket	Holy Roman Empire
Den Helige Ande	Holy Spirit
Homeopati	Homeopathy
Homeostas	Homeostasis
Homeros	Homer
Hominid/hominin	Hominidae
Människor (släkte)	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Homonym
Homosexualitet	Homosexuality
Honduras	Honduras
Kategori:Honduras	Honduras
Honung	Honey
Bivråk	Honey Buzzard
Hongkong	Hong Kong
Kategori:Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Vattenpipa	Hookah
Hookes lag	Hooke's law
Härfågel	Hoopoe
Horatius	Horace
Horatio Nelson	Horatio Nelson
Horisont	Horizon
Hormon	Hormone
Horn (utskott)	Horn (anatomy)
Valthorn	Horn (instrument)
Afrikas horn	Horn of Africa
Horoskop	Horoscope
Häst	Horse
Hästkapplöpning	Horse racing
Hästkraft	Horsepower
Horus	Horus
Hosni Mubarak	Hosni Mubarak
Sjukhus	Hospital
Hotell	Hotel
Timme	Hour
Timglas	Hourglass
Hus	House
House (TV-serie)	House (TV series)
Husmus	House Mouse
Gråsparv	House Sparrow
Houston	Houston
Svävare	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Hubbles lag	Hubble's law
Hudson Bay	Hudson Bay
Hudsonfloden	Hudson River
Hugo Capet	Hugh Capet
Hugo Grotius	Hugo Grotius
Hugenotter	Huguenot
Människa	Human
Humanism	Humanism
Kategori:Humaniora	Humanities
Överarmsben	Humerus
Luftfuktighet	Humidity
Kolibrier	Hummingbird
Kategori:Humor	Humor
Humor	Humour
Knölval	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Hundraårskriget	Hundred Years' War
Ungern	Hungary
Kategori:Ungern	Hungary
Hunger	Hunger
Jakt	Hunting
Hutuer	Hutu
Hybrid (biologi)	Hybrid
Hyderabad	Hyderabad
Vattenormen	Hydra (constellation)
Kolväte	Hydrocarbon
Saltsyra	Hydrochloric acid
Vattenkraft	Hydroelectricity
Väte	Hydrogen
Vätebindning	Hydrogen bond
Vätecyanid	Hydrogen cyanide
Väteperoxid	Hydrogen peroxide
Hydrologi	Hydrology
Kategori:Hydrologi	Hydrology
Hydrolys	Hydrolysis
Hydrosfären	Hydrosphere
Hydroxidjon	Hydroxide
Lilla vattenormen	Hydrus
Hyenor	Hyena
Kategori:Hygien	Hygiene
Hymen	Hymen
Kategori:Steklar	Hymenoptera
Steklar	Hymenoptera
Hymn	Hymn
Hyperbel	Hyperbola
Hyperbol	Hyperbole
Hyperion (måne)	Hyperion (moon)
Hyperion	Hyperion (mythology)
Högt blodtryck	Hypertension
Hypertext	Hypertext
HTTP	Hypertext Transfer Protocol
Hypnos (gud)	Hypnos
Hypnos	Hypnosis
Hypotalamus	Hypothalamus
Hypotes	Hypothesis
I	I
I.M. Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Japetus	Iapetus (moon)
Iapetos	Iapetus (mythology)
Iberiska halvön	Iberian Peninsula
Ibuprofen	Ibuprofen
Is	Ice
Istid	Ice age
Glass	Ice cream
Ishockey	Ice hockey
Kategori:Ishockey	Ice hockey
Isberg	Iceberg
Island	Iceland
Kategori:Island	Iceland
Iktyologi	Ichthyology
Ikon (religion)	Icon
Ikonoklasm	Iconoclasm
Idaho	Idaho
Kategori:Idaho	Idaho
Ideal gas	Ideal gas
Idealism	Idealism
Neutralt element	Identity element
Enhetsmatris	Identity matrix
Ideologi	Ideology
Ido	Ido
Iglo	Igloo
Ignatius av Loyola	Ignatius of Loyola
Magmatisk bergart	Igneous rock
Igor Stravinskij	Igor Stravinsky
Iguassufallen	Iguazu Falls
Iliaden	Iliad
Illinois	Illinois
Kategori:Illinois	Illinois
Illyrien	Illyria
Bildläsare	Image scanner
Imam	Imam
Immanuel Kant	Immanuel Kant
Immunförsvar	Immune system
Immunologi	Immunology
Kategori:Immunologi	Immunology
Imperialism	Imperialism
Impressionism (måleri)	Impressionism
Incest	Incest
Tum	Inch
Inchon	Incheon
Lutande planet	Inclined plane
Självständighet	Independence
Indien	India
Kategori:Indien	India
Indiska oceanen	Indian Ocean
Kategori:Indiska oceanen	Indian Ocean
Indiana	Indiana
Kategori:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indium
Indokina	Indochina
Indonesien	Indonesia
Kategori:Indonesien	Indonesia
Indra	Indra
Induktans	Inductance
Induktion (filosofi)	Inductive reasoning
Spole	Inductor
Avlatsbrev	Indulgence
Indianen	Indus (constellation)
Indus	Indus River
Industriella revolutionen	Industrial Revolution
Industri	Industry
Kategori:Industri	Industry
Olikhet	Inequality
Tröghet	Inertia
Infanteri	Infantry
Infektionssjukdom	Infectious disease
Infinitiv	Infinitive
Oändlighet	Infinity
Inflammation	Inflammation
Inflation	Inflation
Influensa	Influenza
Information	Information
Informationsteknik	Information technology
Informationsteori	Information theory
Infraröd strålning	Infrared
Infrastruktur	Infrastructure
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inre Mongoliet	Inner Mongolia
Innovation	Innovation
Innsbruck	Innsbruck
Oorganisk kemi	Inorganic chemistry
Kategori:Oorganisk kemi	Inorganic chemistry
Inkvisitionen	Inquisition
Insekter	Insect
Äkta insektsätare	Insectivora
Insulin	Insulin
Försäkring	Insurance
Heltal	Integer
Integral	Integral
Integrerad krets	Integrated circuit
Immaterialrätt	Intellectual property
Intelligens	Intelligence
IQ	Intelligence quotient
Interkontinental ballistisk robot	Intercontinental ballistic missile
Ränta	Interest
Interjektion	Interjection
Interlingua	Interlingua
IAEA	International Atomic Energy Agency
International Civil Aviation Organization	International Civil Aviation Organization
Internationella domstolen i Haag	International Court of Justice
Datumgränsen	International Date Line
International Labour Organization	International Labour Organization
Internationella valutafonden	International Monetary Fund
SI	International System of Units
Kategori:Internationell rätt	International law
Mellanstatlig organisation	International organization
Internet	Internet
Kategori:Internet	Internet
Internet Explorer	Internet Explorer
Koncentrationsläger	Internment
Interpretator	Interpreter (computing)
Snitt	Intersection (set theory)
Intervall (musik)	Interval (music)
Intranät	Intranet
Uppfinning	Invention
Ryggradslösa djur	Invertebrate
Io (måne)	Io (moon)
Io	Io (mythology)
Jod	Iodine
Jon	Ion
Jonien	Ionia
Joniska havet	Ionian Sea
Jonbindning	Ionic bond
Jonosfär	Ionosphere
Jota	Iota
Iowa	Iowa
Kategori:Iowa	Iowa
Iran	Iran
Kategori:Iran	Iran
Iran-Irak-kriget	Iran-Iraq War
Irak	Iraq
Kategori:Irak	Iraq
Kategori:Irland	Ireland
Irenaeus	Irenaeus
Iridium	Iridium
Regnbågshinna	Iris (anatomy)
Iris (mytologi)	Iris (mythology)
Irländska republikanska armén	Irish Republican Army
Irländska sjön	Irish Sea
Kategori:Irländare	Irish people
Järn	Iron
Järnåldern	Iron Age
Järnridån	Iron Curtain
Iron Maiden	Iron Maiden
Ironi	Irony
Irrationellt tal	Irrational number
Irredentism	Irredentism
Irtysj	Irtysh River
Isak (Bibeln)	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ismael	Ishmael
Isis	Isis
Islam	Islam
Kategori:Islam	Islam
Islamabad	Islamabad
Muslimska kalendern	Islamic calendar
Ö (landområde)	Island
Isle of Man	Isle of Man
Kategori:Isle of Man	Isle of Man
Isle of Wight	Isle of Wight
Isomeri	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Isotop	Isotope
Israel	Israel
Kategori:Israel	Israel
İstanbul	Istanbul
Kategori:Istanbul	Istanbul
Näs	Isthmus
Panamanäset	Isthmus of Panama
Apenninska halvön	Italian Peninsula
Italo Calvino	Italo Calvino
Italien	Italy
Kategori:Italien	Italy
Ithaka	Ithaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenjev	Ivan Turgenev
Elfenben	Ivory
Ivy League	Ivy League
Iwo To	Iwo Jima
J	J
J.D. Salinger	J. D. Salinger
J.M. Barrie	J. M. Barrie
Jack Kerouac	Jack Kerouac
Jack Lemmon	Jack Lemmon
Jack London	Jack London
Jack Uppskäraren	Jack the Ripper
Kaja	Jackdaw
Jackson, Mississippi	Jackson
Jackson Pollock	Jackson Pollock
Jacksonville, Florida	Jacksonville
Jakob (patriark)	Jacob
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jade	Jade
Jaguar	Jaguar
Jainism	Jainism
Jakarta	Jakarta
Jalalabad	Jalalabad
Jamaica	Jamaica
Kategori:Jamaica	Jamaica
Jakob (apostel)	James
James Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Franck	James Franck
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Naismith	James Naismith
James Prescott Joule	James Prescott Joule
James Watt	James Watt
Jammu och Kashmir	Jammu and Kashmir
Jan Hus	Jan Hus
Jan van Eyck	Jan van Eyck
Jane Austen	Jane Austen
Jane Fonda	Jane Fonda
Jane Seymour	Jane Seymour
Janis Joplin	Janis Joplin
Janitsjarer	Janissary
Januari	January
1 januari	January 1
19 januari	January 19
20 januari	January 20
6 januari	January 6
Janus (måne)	Janus (moon)
Janus	Janus (mythology)
Japan	Japan
Kategori:Japan	Japan
Jason	Jason
Gulsot	Jaundice
Java	Java
Java (olika betydelser)	Java (disambiguation)
Java (programmeringsspråk)	Java (programming language)
Jawaharlal Nehru	Jawaharlal Nehru
Jazz	Jazz
Kategori:Jazz	Jazz
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Jean Cocteau	Jean Cocteau
Jean Piaget	Jean Piaget
Jean Racine	Jean Racine
Jean Sibelius	Jean Sibelius
Jean de La Fontaine	Jean de La Fontaine
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jidda	Jeddah
Jefferson City	Jefferson City
Jefferson Davis	Jefferson Davis
Jehovas vittnen	Jehovah's Witnesses
Maneter	Jellyfish
Jena	Jena
Jeremy Bentham	Jeremy Bentham
Jerez de la Frontera	Jerez de la Frontera
Jeriko	Jericho
Hieronymus	Jerome
Jersey	Jersey
Jerusalem	Jerusalem
Kategori:Jerusalem	Jerusalem
Jesus	Jesus
Jetmotor	Jet engine
Judar	Jew
Mungiga	Jew's harp
Jihad	Jihad
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jeanne d'Arc	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johannes Diderik van der Waals	Johannes Diderik van der Waals
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Johannes V. Jensen	Johannes Vilhelm Jensen
Johannesburg	Johannesburg
John Adams	John Adams
John Bardeen	John Bardeen
John Cage	John Cage
Jean Calvin	John Calvin
Johannes Chrysostomos	John Chrysostom
John Dalton	John Dalton
John Dewey	John Dewey
John Galsworthy	John Galsworthy
John Herschel	John Herschel
John Keats	John Keats
John Lennon	John Lennon
John Locke	John Locke
John Major	John Major
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Napier	John Napier
John Quincy Adams	John Quincy Adams
John Ruskin	John Ruskin
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John Wycliffe	John Wycliffe
Johannes döparen	John the Baptist
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Led	Joint
Jonathan Swift	Jonathan Swift
Jordanien	Jordan
Kategori:Jordanien	Jordan
Jordan	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Louis Joseph Gay-Lussac	Joseph Louis Gay-Lussac
Joseph McCarthy	Joseph McCarthy
Joseph Priestley	Joseph Priestley
Joseph Pulitzer	Joseph Pulitzer
Joseph Schumpeter	Joseph Schumpeter
Joseph Smith	Joseph Smith
Josef Stalin	Joseph Stalin
Josefus	Josephus
Joule	Joule
Kategori:Journalistik	Journalism
Journalistik	Journalism
Journalist	Journalist
Jovianus	Jovian
Styrspak	Joystick
Judendom	Judaism
Kategori:Judendom	Judaism
Judas Iskariot	Judas Iscariot
Judeen	Judea
Judo	Judo
Judy Garland	Judy Garland
Jujutsu	Jujutsu
Jules Verne	Jules Verne
Julianska kalendern	Julian calendar
Julianus Apostata	Julian the Apostate
Julius Caesar	Julius Caesar
Juli	July
1 juli	July 1
4 juli	July 4
Juni	June
14 juni	June 14
21 juni	June 21
23 juni	June 23
24 juni	June 24
29 juni	June 29
3 juni	June 3
Juneau	Juneau
Ensläktet	Juniper
Jupiter	Jupiter
Kategori:Jupiter	Jupiter
Jupiter (olika betydelser)	Jupiter (disambiguation)
Jupiter (mytologi)	Jupiter (mythology)
Jura (period)	Jurassic
Justinianus	Justinian I
Jylland	Jutland
K	K
K2	K2
KGB	KGB
Kaba	Kaaba
Kabbala	Kabbalah
Kabul	Kabul
Kalahariöknen	Kalahari Desert
Kamtjatka	Kamchatka Peninsula
Kamikaze	Kamikaze
Kampala	Kampala
Kandahar	Kandahar
Kängurudjur	Kangaroo
Kansas	Kansas
Kategori:Kansas	Kansas
Kansas City, Missouri	Kansas City
Kappa (bokstav)	Kappa
Karahavet	Kara Sea
Karachi	Karachi
Karakoram	Karakoram
Karaoke	Karaoke
Karate	Karate
Karen Blixen	Karen Blixen
Karl Barth	Karl Barth
Karl Jaspers	Karl Jaspers
Karl Marx	Karl Marx
Karl Popper	Karl Popper
Karma	Karma
Karnataka	Karnataka
Katharine Hepburn	Katharine Hepburn
Katmandu	Kathmandu
Katowice	Katowice
Kaunas	Kaunas
Kajak	Kayak
Kazakstan	Kazakhstan
Kategori:Kazakstan	Kazakhstan
Kazan	Kazan
Kazimir Malevitj	Kazimir Malevich
Kelvin	Kelvin
Kent, England	Kent
Kentucky	Kentucky
Kategori:Kentucky	Kentucky
Kenya	Kenya
Kategori:Kenya	Kenya
Operativsystemkärna	Kernel (computer science)
Fotogen	Kerosene
Ketchup	Ketchup
Keton	Ketone
Tangentbord	Keyboard (computing)
Klaverinstrument	Keyboard instrument
Chabarovsk	Khabarovsk
Khan	Khan
Charkiv	Kharkiv
Khartoum	Khartoum
Röda khmererna	Khmer Rouge
Cheops	Khufu
Kibbutz	Kibbutz
Njure	Kidney
Kiev	Kiev
Kigali	Kigali
Kilogram	Kilogram
Kilometer	Kilometre
Kilometer per timme	Kilometres per hour
Kimono	Kimono
Förskola	Kindergarten
Kinetisk energi	Kinetic energy
Kung (schack)	King (chess)
Kung Artur	King Arthur
Kung Lear	King Lear
Rike (biologi)	Kingdom (biology)
Kingston	Kingston
Kingstown	Kingstown
Kinshasa	Kinshasa
Kiribati	Kiribati
Kategori:Kiribati	Kiribati
Kirkuk	Kirkuk
Kyss	Kiss
Drake (leksak)	Kite
Kivier	Kiwi
Knä	Knee
Knesset	Knesset
Kniv	Knife
Riddare	Knight
Springare	Knight (chess)
Knossos	Knossos
Knop (enhet)	Knot (speed)
Kunskap	Knowledge
Knut Hamsun	Knut Hamsun
Koala	Koala
Kobe	Kobe
Kolahalvön	Kola Peninsula
Calcutta	Kolkata
Komodovaran	Komodo dragon
Konqueror	Konqueror
Konrad Adenauer	Konrad Adenauer
Korea	Korea
Kategori:Korea	Korea
Koreakriget	Korean War
Kosovo	Kosovo
Kategori:Kosovo	Kosovo
Krakatoa	Krakatoa
Kreml	Kremlin
Krishna	Krishna
Krypton	Krypton
Ku Klux Klan	Ku Klux Klan
Kuala Lumpur	Kuala Lumpur
Khubilai khan	Kublai Khan
Kuiperbältet	Kuiper belt
Kumquat	Kumquat
Kung fu	Kung fu (term)
Kunlun	Kunlun Mountains
Kinas nationella folkparti	Kuomintang
Kura	Kura River
Kurdistan	Kurdistan
Kategori:Kurdistan	Kurdistan
PKK	Kurdistan Workers Party
Kursk	Kursk
Kurt Vonnegut	Kurt Vonnegut
Kurt Waldheim	Kurt Waldheim
Kuwait	Kuwait
Kategori:Kuwait	Kuwait
Kuwait City	Kuwait City
KwaZulu-Natal	KwaZulu-Natal
Kyoto	Kyoto
Kirgizistan	Kyrgyzstan
Kategori:Kirgizistan	Kyrgyzstan
L	L
L'Aquila	L'Aquila
LAMP	LAMP (software bundle)
La Paz	La Paz
La Plata	La Plata
La Spezia	La Spezia
LaTeX	LaTeX
Laboratorium	Laboratory
Labour Party	Labour Party (UK)
Labrador retriever	Labrador Retriever
Ödlan	Lacerta
Mjölksyra	Lactic acid
Laktos	Lactose
Jane Grey	Lady Jane Grey
Hardjur	Lagomorpha
Lagos	Lagos
Lahore	Lahore
Laissez faire	Laissez-faire
Insjö	Lake
Bajkalsjön	Lake Baikal
Balaton	Lake Balaton
Tchadsjön	Lake Chad
Bodensjön	Lake Constance
Eriesjön	Lake Erie
Eyresjön	Lake Eyre
Genèvesjön	Lake Geneva
Huronsjön	Lake Huron
Ilmen	Lake Ilmen
Ladoga	Lake Ladoga
Malawisjön	Lake Malawi
Michigansjön	Lake Michigan
Onega	Lake Onega
Ontariosjön	Lake Ontario
Övre sjön	Lake Superior
Tanganyikasjön	Lake Tanganyika
Victoriasjön	Lake Victoria
Lakshmi	Lakshmi
Lambda	Lambda
Kransblommiga växter	Lamiaceae
Lammgam	Lammergeier
Nejonögon	Lamprey
Lancashire	Lancashire
Lansettfiskar	Lancelet
Soptipp	Landfill
Språk	Language
Languedoc-Roussillon	Languedoc-Roussillon
Lansing	Lansing
Lantanoider	Lanthanide
Lantan	Lanthanum
Laos	Laos
Kategori:Laos	Laos
Laptevhavet	Laptev Sea
Bärbar dator	Laptop
Lärkträdssläktet	Larch
Larv	Larva
Struphuvud	Larynx
Las Vegas	Las Vegas
Lascaux	Lascaux
Laser	Laser
Svarv	Lathe
Latin	Latin
Latinamerika	Latin America
Latinska alfabetet	Latin alphabet
Latitud	Latitude
Lettland	Latvia
Kategori:Lettland	Latvia
Skratt	Laughter
Laurasien	Laurasia
Lausanne	Lausanne
Lava	Lava
Juridik	Law
Kategori:Juridik	Law
Kategori:Polis	Law enforcement
Lawrencium	Lawrencium
Advokat	Lawyer
Lazio	Lazio
Le Corbusier	Le Corbusier
Le Havre	Le Havre
Bly	Lead
Blad	Leaf
Nationernas förbund	League of Nations
Lutande tornet i Pisa	Leaning Tower of Pisa
Skottår	Leap year
Studieteknik	Learning
Libanon	Lebanon
Kategori:Libanon	Lebanon
Leda	Leda (mythology)
Lee Harvey Oswald	Lee Harvey Oswald
Leeds	Leeds
Vänsterhänthet	Left-handed
Legend	Legend
Lagstiftande makt	Legislature
LEGO	Lego
Leicester	Leicester
Leiden	Leiden
Leipzig	Leipzig
Citron	Lemon
Citronmeliss	Lemon balm
Lena (flod)	Lena River
Längd	Length
Lins	Lens (optics)
Fasta	Lent
Lins (växt)	Lentil
Lejonet (stjärnbild)	Leo (constellation)
Leo I (bysantinsk kejsare)	Leo I (emperor)
Lev Trotskij	Leon Trotsky
Leonard Bernstein	Leonard Bernstein
Leonardo da Vinci	Leonardo da Vinci
Leonhard Euler	Leonhard Euler
Leonid Brezjnev	Leonid Brezhnev
Leopard	Leopard
Fjärilar	Lepidoptera
Lepra	Leprosy
Lepton	Lepton
Haren (stjärnbild)	Lepus (constellation)
Lesbisk	Lesbian
Lesotho	Lesotho
Kategori:Lesotho	Lesotho
Små Antillerna	Lesser Antilles
Leto	Leto
Bokstav	Letter (alphabet)
Leukemi	Leukemia
Levanten	Levant
Hävstång	Lever
Leviatan	Leviathan
Tredje Moseboken	Leviticus
Lewis Carroll	Lewis Carroll
Lhasa	Lhasa
Lhotse	Lhotse
Liberalism	Liberalism
Kategori:Liberalism	Liberalism
Tamilska befrielsetigrarna	Liberation Tigers of Tamil Eelam
Liberia	Liberia
Kategori:Liberia	Liberia
Vågen (stjärnbild)	Libra (constellation)
Bibliotek	Library
Biblioteks- och informationsvetenskap	Library science
Libretto	Libretto
Libreville	Libreville
Libyen	Libya
Kategori:Libyen	Libya
Lav	Lichen
Lögn	Lie
Liechtenstein	Liechtenstein
Kategori:Liechtenstein	Liechtenstein
Löjtnant	Lieutenant
Liv	Life
Kategori:Liv	Life
Ljus	Light
Lysdiod	Light-emitting diode
Ljusår	Light-year
Tändare	Lighter
Fyr	Lighthouse
Ligurien	Liguria
Liguriska havet	Ligurian Sea
Liljeväxter	Liliaceae
Lilit	Lilith
Lille	Lille
Lilongwe	Lilongwe
Lima	Lima
Limerick	Limerick
Kalksten	Limestone
Gränsvärde	Limit (mathematics)
Limnologi	Limnology
Limousin	Limousin (region)
Lincoln, Nebraska	Lincoln
Lincoln	Lincoln
Lincolnshire	Lincolnshire
Rät linje	Line (mathematics)
Linjär algebra	Linear algebra
Kategori:Linjär algebra	Linear algebra
Linjär ekvation	Linear equation
Lingua franca	Lingua franca
Språkvetenskap	Linguistics
Kategori:Lingvistik	Linguistics
Linus Pauling	Linus Pauling
Linux	Linux
Kategori:Linux	Linux
Linz	Linz
Lejon	Lion
Lipid	Lipid
Likör	Liqueur
Vätska	Liquid
Flytande kristallskärm	Liquid crystal display
Lakritsrot	Liquorice
Lissabon	Lisbon
Lise Meitner	Lise Meitner
Lisp	Lisp (programming language)
Läskunnighet	Literacy
Litteratur	Literature
Kategori:Litteratur	Literature
