English	Ukrainian
Polyhymnia	Полігімнія
Polymer	Полімер
Polynesia	Полінезія
Polynomial	Многочлен
Polytheism	Політеїзм
Polyvinyl chloride	Поліхлорвініл
Pomelo	Помело (дерево)
Pop music	Поп-музика
Pope	Папа Римський
Pope Alexander VI	Олександр VI (папа римський)
Poplar	Тополя
Populism	Популізм
Porcelain	Порцеляна
Pornography	Порнографія
Port Moresby	Порт-Морсбі
Port Vila	Порт-Віла
Port of Spain	Порт-оф-Спейн
Port-au-Prince	Порт-о-Пренс
Portland	Портленд (Орегон)
Portland	Портленд
Porto	Порту
Portugal	Португалія
Portugal	Категорія:Португалія
Poseidon	Посейдон
Positron	Позитрон
Postage stamp	Поштова марка
Postal code	Поштовий індекс
Postmodernism	Постмодернізм
Potassium	Калій
Potassium nitrate	Калійна селітра
Potato	Картопля
Potential energy	Потенційна енергія
Potsdam	Потсдам
Pound sterling	Фунт стерлінгів
Poverty	Бідність
Power (physics)	Потужність
Power station	Електростанція
Prague	Прага
Prague	Категорія:Прага
Praia	Прая
Praseodymium	Празеодим
Prayer	Молитва
Precambrian	Докембрій
Precession	Прецесія
Precipitation (meteorology)	Атмосферні опади
Pregnancy	Вагітність
Prehistory	Первісне суспільство
President	Президент
Pressure	Тиск
Pretoria	Преторія
Priam	Пріам
Price	Ціна
Priest	Священик
Primate	Примати
Primates	Категорія:Примати
Prime number	Просте число
Prince Edward Island	Острів Принца Едварда
Printing	Друкарство
Prison	Тюрма
Prisoner of war	Полон
Probability	Ймовірність
Probability theory	Теорія ймовірностей
Probability theory	Категорія:Теорія ймовірностей
Procyonidae	Єнотові
Professor	Професор
Programmer	Програміст
Programming language	Мова програмування
Progressive rock	Прогресивний рок
Prokaryote	Прокаріоти
Prolog	Пролог (мова програмування)
Prometheus	Прометей (міфологія)
Promethium	Прометій
Pronoun	Займенник
Propaganda	Пропаганда
Propane	Пропан
Prophet	Пророк
Prose	Проза
Prostate	Передміхурова залоза
Protactinium	Протактиній
Protectorate	Протекторат
Protein	Білки
Proterozoic	Протерозой
Protestant Reformation	Реформація
Protestantism	Протестантизм
Protist	Найпростіші
Protista	Категорія:Найпростіші
Protocol	Протокол
Proton	Протон
Psalms	Псалтир
Pseudonym	Псевдонім
Pseudoscience	Категорія:Псевдонаука
Psi (letter)	Псі (літера)
Psychiatry	Психіатрія
Psychoanalysis	Психоаналіз
Psychology	Психологія
Psychology	Категорія:Психологія
Ptah	Пта
Ptolemy	Клавдій Птолемей
Public domain	Суспільне надбання
Puerto Rico	Пуерто-Ріко
Pula	Пула
Pulley	Блок (механіка)
Pulsar	Пульсар
Pump	Помпа (техніка)
Punctuation	Пунктуація
Punk	Категорія:Панк
Punk rock	Панк-рок
Puppis	Корма (сузір'я)
Pyongyang	Пхеньян
Pyramid	Піраміда
Pyramid (geometry)	Піраміда (геометрія)
Pyrenees	Піренеї
Pyrite	Пірит
Pyrrhic victory	Піррова перемога
Pythagoras	Піфагор
Python (programming language)	Python
Q	Q (латиниця)
Qatar	Катар
Qin Dynasty	Династія Цінь
Qing Dynasty	Династія Цін
Quadratic equation	Квадратне рівняння
Quadrilateral	Чотирикутник
Quantum field theory	Квантова теорія поля
Quantum mechanics	Квантова механіка
Quantum mechanics	Категорія:Квантова фізика
Quark	Кварк
Quartz	Кварц
Quasar	Квазари
Quaternary	Четвертинний період
Quaternion	Кватерніони
Quebec	Квебек (провінція)
Quebec	Категорія:Квебек
Quebec City	Квебек (місто)
Quechua	Кечуа
Queens	Квінз
Queensland	Квінсленд
Quentin Tarantino	Тарантіно Квентін
Quince	Айва
Quito	Кіто
R	R (латиниця)
RNA	РНК
Ra	Ра
Rabat	Рабат
Rabbi	Рабин
Rabindranath Tagore	Тагор Рабіндранат
Race	Раса
Rachel Carson	Карсон Рейчел
Racism	Расизм
Racism	Категорія:Расизм
Radar	Радар
Radian	Радіан
Radio	Категорія:Радіо
Radioactive decay	Радіоактивність
Radiocarbon dating	Радіовуглецеве датування
Radiology	Рентгенологія
Radium	Радій
Radius	Радіус
Radon	Радон
Rain	Дощ
Rainbow	Веселка
Rainer Maria Rilke	Рільке Райнер Марія
Raleigh	Ралі
Rama	Рама
Ramadan	Рамадан
Ramayana	Рамаяна
Ramesses II	Рамсес ІІ
Random access memory	Оперативна пам'ять
Ranunculaceae	Жовтецеві
Rapeseed	Ріпак
Raphael	Рафаель Санті
Raphael (archangel)	Рафаїл
Rapid transit	Категорія:Метро
Raspberry	Малина
Rat	Щур
Rational number	Раціональні числа
Ravenna	Равенна
Ray Bradbury	Бредбері Рей Дуґлас
Read-only memory	Постійний запам'ятовуючий пристрій
Real number	Дійсні числа
Rectangle	Прямокутник
Rectifier	Випрямлення
Red	Червоний колір
Red Deer	Олень благородний
Red Fox	Лисиця звичайна
Red Sea	Червоне море
Red blood cell	Еритроцити
Redshift	Червоний зсув
Redshift (disambiguation)	Червоний зсув
Reduced instruction set computer	RISC
Referendum	Референдум
Refraction	Заломлення
Refractive index	Показник заломлення
Refugee	Біженці
Regent	Регент
Reggae	Реґі
Regiment	Полк
Regina	Реджайна
Region	Регіон
Reincarnation	Реінкарнація
Reindeer	Північний олень
Relativity	Категорія:Теорія відносності
Religion	Релігія
Religion	Категорія:Релігія
Rembrandt	Рембрандт
Renaissance	Ренесанс
Renaissance	Категорія:Відродження
Reproduction	Розмноження
Reptile	Плазуни
Republic	Республіка
Republic of China	Республіка Китай
Republic of Ireland	Ірландія
Republic of Ireland	Категорія:Ірландія
Republic of the Congo	Республіка Конго
Republic of the Congo	Категорія:Республіка Конго
Republican Party (United States)	Республіканська партія США
Requiem	Реквієм
Resistor	Резистор
Respiratory system	Дихальна система
Restaurant	Ресторан
Reticulum	Сітка (сузір'я)
Retina	Сітківка
Retinol	Вітамін A
Revolution	Революція
Revolver	Револьвер
Rhea (moon)	Рея (супутник)
Rhea (mythology)	Рея (міфологія)
Rhenium	Реній
Rhetoric	Риторика
Rhetoric	Категорія:Риторика
Rhine	Рейн
Rhinoceros	Носороги
Rho (letter)	Ро (літера)
Rhode Island	Род-Айленд
Rhodes	Родос
Rhodium	Родій
Rhombus	Ромб
Rhyme	Рима
Rhythm and blues	Ритм-енд-блюз
Rib	Ребра
Riboflavin	Рибофлавін
Ribosome	Рибосома
Rice	Рис
Richard Feynman	Річард Філіпс Фейнман
Richard Nixon	Річард Ніксон
Richard Strauss	Штраус Ріхард
Richard Wagner	Ваґнер Ріхард
Riga	Рига
Rigel	Рігель (зірка)
Right ascension	Пряме сходження
Ring (mathematics)	Кільце (алгебра)
Ringo Starr	Старр Рінго
Rio Grande	Ріо-Гранде (річка у США)
Rio de Janeiro	Ріо-де-Жанейро
Rio de Janeiro (state)	Ріо-де-Жанейро (штат)
River	Ріка
River Thames	Темза
Riyadh	Ер-Ріяд
Roald Amundsen	Амундсен Руал
Robert A. Heinlein	Хайнлайн Роберт
Robert Andrews Millikan	Міллікен Роберт Ендрус
Robert Boyle	Бойль Роберт
Robert Burns	Бернс Роберт
Robert Falcon Scott	Скотт Роберт Фолкон
Robert Koch	Роберт Кох
Robert Louis Stevenson	Стівенсон Роберт Люїс
Robert Oppenheimer	Роберт Оппенгеймер
Robert Schumann	Шуман Роберт
Robin Hood	Робін Гуд
Robot	Робот
Rock (geology)	Гірська порода
Rock and roll	Рок-н-рол
Rock music	Рок-музика
Rock music	Категорія:Рок-музика
Rocky Mountains	Скелясті гори
Rococo	Рококо
Rodent	Гризуни
Roe Deer	Косуля
Roentgenium	Рентгеній
Roger Bacon	Бекон Роджер
Roman Catholic Church	Римо-Католицька Церква
Roman Empire	Римська імперія
Roman law	Римське право
Roman legion	Легіон
Roman mythology	Категорія:Римська міфологія
Romania	Румунія
Romania	Категорія:Румунія
Romansh	Ретороманська мова
Romanticism	Романтизм
Rome	Рим
Rome	Категорія:Рим
Ronald Reagan	Рональд Рейган
Roof	Дах
Rook (bird)	Грак
Rook (chess)	Тура (шахова фігура)
Root	Корінь
Rosa Parks	Паркс Роза
Rosales	Розоцвіті
Rose	Троянда
Roseau	Розо
Rosemary	Розмарин
Rosh Hashanah	Рош Гашана
Ross Sea	Море Росса
Rostock	Росток
Rotterdam	Роттердам
Router	Маршрутизатор
Royal Society	Лондонське королівське товариство
Rubber	Каучук
Rubicon	Рубікон
Rubidium	Рубідій
Rubus idaeus	Малина
Ruby	Рубін
Ruby (programming language)	Ruby
Rudolf Diesel	Дізель Рудольф
Rudyard Kipling	Кіплінг Редьярд
Rugby football	Регбі
Rupert Murdoch	Мердок Руперт
Russia	Росія
Russia	Категорія:Росія
Russian Orthodox Church	Російська православна церква
Russian Revolution (1917)	Жовтневий переворот 1917
Russo-Japanese War	Російсько-японська війна
Ruthenium	Рутеній
Rutherfordium	Резерфордій
Rwanda	Руанда
Rye	Жито
S	S (латиниця)
SOAP	SOAP
SOS	SOS
Sacrament	Таїнство
Sacramento	Сакраменто (Каліфорнія)
Saddam Hussein	Саддам Хусейн
Safari (web browser)	Safari
Sagitta	Стріла (сузір'я)
Sagittarius (constellation)	Стрілець (сузір'я)
Sahara	Сахара
Sail	Вітрило
Saint	Святі
Saint Andrew	Андрій Первозванний
Saint George	Святий Георгій
Saint Kitts and Nevis	Сент-Кіттс і Невіс
Saint Lawrence River	Річка Святого Лаврентія
Saint Lucia	Сент-Люсія
Saint Nicholas	Святий Миколай
Saint Patrick	Святий Патрик
Saint Paul	Сент-Пол (Міннесота)
Saint Peter	Петро (апостол)
Saint Petersburg	Санкт-Петербург
Saint Petersburg	Категорія:Санкт-Петербург
Saint Vincent and the Grenadines	Сент-Вінсент і Гренадини
Sake	Саке
Saladin	Салах ад-Дін
Salah	Салят
Salamander	Саламандра
Saliva	Слина
Salman Rushdie	Рушді Салман
Salmonidae	Лососеві
Salt	Сіль (хімія)
Salt (chemistry)	Сіль (хімія)
Salt Lake City	Солт-Лейк-Сіті
Salvador	Салвадор (Бразилія)
Salzburg	Зальцбург
Samara	Самара (місто)
Samarium	Самарій
Samoa	Самоа
Samuel Beckett	Беккет Семюель
Samuel F. B. Morse	Семюел Фінлі Бріз Морзе
Samuel Taylor Coleridge	Колрідж Семюел Тейлор
Samurai	Самурай
San Antonio	Сан-Антоніо
San Diego	Сан-Дієго (Каліфорнія)
San Francisco	Сан-Франциско
San Jose	Сан-Хосе (Каліфорнія)
San Juan	Сан Хуан
San Marino	Сан-Марино
San Marino	Категорія:Сан-Марино
San Marino	Сан-Марино (місто)
San Salvador	Сан-Сальвадор
Sand	Пісок
Sandro Botticelli	Боттічеллі Сандро
Sandstone	Пісковик
Sandwich	Канапка
Sanskrit	Санскрит
Santa Claus	Санта Клаус
Santa Fe	Санта-Фе
Santiago	Сантьяго
Santiago de Cuba	Сантьяго-де-Куба
Santo Domingo	Санто-Домінго
Sapphire	Сапфір
Sappho	Сапфо
Sapporo	Саппоро
Sarah Bernhardt	Бернар Сара
Sarajevo	Сараєво
Saratov	Саратов
Sardinia	Сардинія
Saskatchewan	Саскачеван
Satan	Сатана
Satellite	Штучний супутник
Satire	Сатира
Saturday	Субота
Saturn	Сатурн (планета)
Saturn (disambiguation)	Сатурн
Saturn (mythology)	Сатурн (міфологія)
Satyr	Сатири
Saudi Arabia	Саудівська Аравія
Saudi Arabia	Категорія:Саудівська Аравія
Saul Bellow	Беллоу Сол
Savanna	Савана
Saxony	Саксонія
Saxophone	Саксофон
Scandinavia	Скандинавія
Scandinavia	Категорія:Скандинавія
Scandium	Скандій
Scapula	Лопатка
Scheldt	Шельда
Scheme (programming language)	Scheme
Schizophrenia	Шизофренія
Scholasticism	Схоластика
School	Школа
Schutzstaffel	СС
Science	Наука
Science	Категорія:Наука
Science fiction	Наукова фантастика
Science fiction	Категорія:Наукова фантастика
Scientist	Науковець
Sciuridae	Білячі
Scorpion	Скорпіони
Scorpius	Скорпіон (сузір'я)
Scotland	Шотландія
Scotland	Категорія:Шотландія
Scots Pine	Сосна звичайна
Scottish Gaelic	Шотландська (гельська) мова
Scouting	Скаутинг
Screw	Гвинт
Scrotum	Мошонка
Sculptor (constellation)	Скульптор (сузір'я)
Sculpture	Скульптура
Sculpture	Категорія:Скульптура
Sea	Море
Sea Otter	Калан
Sea anemone	Актинії
Sea of Azov	Азовське море
Sea of Japan	Японське море
Sea of Marmara	Мармурове море
Sea of Okhotsk	Охотське море
Seaborgium	Сіборгій
Seahorse	Морський коник
Search engine	Пошукова машина
Sears Tower	Сірз Тауер
Season	Пора року
Seattle	Сіетл
Second	Секунда
Second Crusade	Другий хрестовий похід
Second Vatican Council	Другий Ватиканський собор
Second law of thermodynamics	Другий закон термодинаміки
Security	Категорія:Безпека
Sedimentary rock	Осадова гірська порода
Seed	Насіння
Seine	Сена
Seismology	Сейсмологія
Seismology	Категорія:Сейсмологія
Selenium	Селен
Semantics	Семантика
Semantics	Категорія:Семантика
Semiconductor	Напівпровідник
Semiotics	Семіотика
Semitic	Семіти
Senate	Сенат
Senegal	Сенегал
Seoul	Сеул
Seppuku	Сепуку
September	Вересень
September 11	11 вересня
September 11	Терористичний акт 11 вересня 2001 року
September 17	17 вересня
September 29	29 вересня
Septuagint	Септуаґінта
Sequence	Послідовність (математика)
Serbia	Сербія
Serbia	Категорія:Сербія
Serbia and Montenegro	Сербія і Чорногорія
Serfdom	Кріпосне право
Sergei Rachmaninoff	Рахманінов Сергій Васильович
Series (mathematics)	Ряд (математика)
Serine	Серин
Serotonin	Серотонін
Serpens	Змія (сузір'я)
Server (computing)	Сервер
Set	Множина
Set (mythology)	Сет (міфологія)
Set theory	Теорія множин
Set theory	Категорія:Теорія множин
Sevastopol	Севастополь
Seven Years' War	Семирічна війна
Seville	Севілья
Sex	Стать
Sex organ	Статеві органи
Sexism	Сексизм
Sextant	Секстант
Sexually transmitted disease	Венеричні захворювання
Seychelles	Сейшельські Острови
Shahadah	Шахада
Shamanism	Шаманізм
Shanghai	Шанхай
Share (finance)	Акція
Shareware	Shareware
Sharia	Шаріат
Shark	Акули
Sherlock Holmes	Шерлок Холмс
Shield	Щит
Shikoku	Сікоку
Shinto	Синто
Ship	Корабель
Shiva	Шива
Shogun	Сьоґун
Shorthand	Стенографія
Shrub	Кущ
Siberia	Сибір
Sichuan	Сичуань
Sicily	Сицилія
Siemens (unit)	Сіменс
Sierra Leone	Сьєрра-Леоне
Sierra Leone	Категорія:Сьєрра-Леоне
Sigma	Сигма (літера)
Sigmund Freud	Фрейд Зиґмунд
Sign language	Мова жестів
Sikhism	Сикхізм
Sikkim	Сіккім
Silesia	Сілезія
Silicon	Кремній
Silicon dioxide	Діоксид силіцію
Silk	Шовк
Silk Road	Великий шовковий шлях
Silurian	Силурійський період
Silver	Срібло
Simone de Beauvoir	Сімона де Бовуар
Sin	Гріх
Sinai Peninsula	Синайський півострів
Sinclair Lewis	Сінклер Люїс
Singapore	Сінгапур
Singapore	Категорія:Сінгапур
Single (music)	Сингл
Siren	Сирени
Sirenia	Сирени (тварини)
Sirius	Сіріус
Sistine Chapel	Сикстинська капела
Sisyphus	Сісіф
Sitting Bull	Сидячий Бик
Situation comedy	Комедія ситуацій
Skagerrak	Скагеррак
Skeletal system	Категорія:Скелетна система
Skepticism	Скептицизм
Skin	Шкіра
Skinhead	Скінхеди
Skopje	Скоп'є
Skull	Череп
Skyscraper	Хмарочоси
Slavery	Рабство
Sleep	Сон (значення)
Slovakia	Словаччина
Slovakia	Категорія:Словаччина
Slovenia	Словенія
Slovenia	Категорія:Словенія
Small intestine	Тонкий кишечник
Smog	Смог
Smolensk	Смоленськ
Snake	Змії
Snooker	Снукер
Snow	Сніг
Soap	Мило
Socialism	Соціалізм
Socialism	Категорія:Соціалізм
Society	Категорія:Суспільство
Society	Суспільство
Society of Jesus	Товариство Ісуса
Sociolinguistics	Соціолінгвістика
Sociology	Соціологія
Sociology	Категорія:Соціологія
Socrates	Сократ
Sodium	Натрій
Sodium chloride	Хлорид натрію
Sodium hydroxide	Гідроксид натрію
Sofia	Софія
Softball	Софтбол
Software	Категорія:Програмне забезпечення
Soil	Ґрунти
Solanaceae	Пасльонові
Solanaceae	Категорія:Пасльонові
Solar System	Сонячна система
Solar System	Категорія:Сонячна система
Solar cell	Сонячний елемент
Solar eclipse	Сонячні затемнення
Solar wind	Сонячний вітер
Solid	Тверде тіло
Solid state	Тверде тіло
Solidarity	Солідарність (профспілка)
Solomon	Соломон (цар)
Solomon Islands	Соломонові Острови
Solon	Солон
Solstice	Сонцестояння
Solution	Розчин
Somalia	Сомалі
Somme	Сомма (департамент)
Sonata	Соната
Song	Пісня
Sonnet	Сонет
Sophia Loren	Лорен Софі
Sophism	Софісти
Sophocles	Софокл
Soprano	Сопрано
Sorghum	Сорго
Sorting algorithm	Алгоритми сортування
Soul	Душа
Sound	Звук
Source code	Програмний код
South	Південь
South Africa	Категорія:Південно-Африканська Республіка
South America	Південна Америка
South America	Категорія:Південна Америка
South Australia	Південна Австралія
South Carolina	Південна Кароліна
South China Sea	Південно-Китайське море
South Dakota	Південна Дакота
South Island	Південний острів Нової Зеландії
South Korea	Південна Корея
South Pole	Південний полюс
Southeast Asia	Південно-Східна Азія
Sovereignty	Суверенітет
Soviet Union	Союз Радянських Соціалістичних Республік
Soviet Union	Категорія:СРСР
Soybean	Соя
Space	Простір
Spain	Іспанія
Spain	Категорія:Іспанія
Spam (electronic)	Спам
Spanish Civil War	Громадянська війна в Іспанії
Spanish people	Категорія:Персоналії:Іспанія
Spanish-American War	Іспано-американська війна
Sparta	Спарта
Spear	Спис
Special relativity	Спеціальна теорія відносності
Species	Вид (біологія)
Spectroscopy	Спектроскопія
Speed	Швидкість
Speed of light	Швидкість світла
Speleology	Спелеологія
Sperm Whale	Кашалот
Spermatophyte	Насінні
Sphere	Сфера
Sphinx	Сфінкс
Spider	Павуки
Spin (physics)	Спін
Spinach	Шпинат
Spinal cord	Спинний мозок
Spiral galaxy	Спіральна галактика
Sponge	Губки
Sport	Спорт
Spreadsheet	Електронні таблиці
Spring (season)	Весна
Springfield	Спрінгфілд (Іллінойс)
Spyware	Шпигунські програмні продукти
Squamata	Лускаті
Square (geometry)	Квадрат
Square metre	Квадратний метр
Sri Lanka	Шрі-Ланка
Sri Lanka	Категорія:Шрі-Ланка
St. Louis	Сент-Луїс (Міссурі)
Stadium	Стадіон
Stained glass	Вітраж
Standard Generalized Markup Language	SGML
Standard deviation	Стандартне відхилення
Stanley Kubrick	Стенлі Кубрик
Star	Зірки
Starch	Крохмаль
Starfish	Морські зірки
State	Держава
Staten Island	Стейтен-Айленд
Statistical mechanics	Статистична механіка
Statistics	Статистика
Statistics	Категорія:Статистика
Statue of Liberty	Статуя Свободи
Steam	Пара
Steam engine	Парова машина
Steel	Сталь
Steffi Graf	Граф Штеффі
Stegosaurus	Стегозавр
Stem cell	Стовбурові клітини
Stephen Hawking	Хокінг Стівен Вільям
Steppe	Степ
Steradian	Стерадіан
Sternum	Грудина
Steven Spielberg	Стівен Спілберг
Sting	Стінґ
Stock exchange	Біржа
Stockholm	Стокгольм
Stomach	Шлунок
Stone Age	Кам’яна доба
Stonehenge	Стоунхендж
Stork	Лелека
Storm	Буря
Strait	Протока
Strait of Gibraltar	Гібралтарська протока
Strait of Hormuz	Ормузька протока
Strait of Magellan	Магелланова протока
Strait of Messina	Мессинська протока
Straits	Категорія:Протоки
Strasbourg	Страсбур
Strategy	Стратегія
Stratigraphy	Стратиграфія
Stratosphere	Стратосфера
Strawberry	Суниця
Strontium	Стронцій
Stub	Шаблон:Доробити
Student	Студент
Stuttgart	Штутгарт
Styx	Стікс (міфологія)
Sublimation (chemistry)	Сублімація (фізика)
Submarine	Підводний човен
Subset	Підмножина
Subversion (software)	Subversion
Sucrose	Цукроза
Sudan	Судан
Sudan	Категорія:Судан
Sudoku	Судоку
Suez Canal	Суецький канал
Sugar	Цукор
Suharto	Сухарто
Sukarno	Сукарно
Sulfur	Сірка
Sulfur dioxide	Діоксид сірки
Sulfuric acid	Сульфатна кислота
Sultan	Султан
Sumatra	Суматра
Sumer	Шумер
Summer	Літо
Sumo	Сумо
Sun	Сонце
Sun	Категорія:Сонце
Sunday	Неділя
Sundial	Сонячний годинник
Sunflower	Соняшник
Sunni Islam	Сунізм
Sunspot	Сонячні плями
Supercomputer	Суперкомп'ютер
Superconductivity	Надпровідність
Supernova	Наднова
Supreme Court of the United States	Верховний Суд США
Surface tension	Поверхневий натяг
Surgery	Хірургія
Surgery	Категорія:Хірургія
Suriname	Суринам
Suriname	Категорія:Суринам
Surrealism	Сюрреалізм
Sushi	Суші
Suva	Сува
Svalbard	Свальбард
Swallow	Ластівка
Swan	Лебеді
Swastika	Свастика
Swaziland	Свазіленд
Sweden	Швеція
Sweden	Категорія:Швеція
Sweet potato	Батат
Swimming	Категорія:Плавання
Swiss people	Категорія:Персоналії:Швейцарія
Switzerland	Швейцарія
Switzerland	Категорія:Швейцарія
Sword	Меч
Sydney	Сідней
Syllable	Склад (мовознавство)
Symbiosis	Симбіоз
Symbol	Символ
Symphony	Симфонія
Symptom	Симптом
Synagogue	Синагога
Synonym	Синонім
Syntax	Синтаксис
Synthesizer	Синтезатор
Syphilis	Сифіліс
Syria	Сирія
Syria	Категорія:Сирія
System	Система
Systematics	Систематика
T	T (латиниця)
T. S. Eliot	Еліот Томас Стернз
Table tennis	Настільний теніс
Taboo	Табу
Tacitus	Публій Корнелій Тацит
Taekwondo	Тхеквондо
Tagus	Тагус
Tail	Хвіст
Taipei	Тайбей
Taiwan	Категорія:Тайвань
Taiwan	Тайвань
Taj Mahal	Тадж Махал
Tajikistan	Таджикистан
Tajikistan	Категорія:Таджикистан
Talc	Тальк
Tallahassee	Таллахассі
Tallinn	Таллінн
Tampa	Тампа
Tanakh	Танах
Tang Dynasty	Династія Тан
Tangier	Танжер
Tango (dance)	Танго
Tank	Танк (військова справа)
Tantalum	Тантал (хімічний елемент)
Tantalus	Тантал (міф)
Tanzania	Танзанія
Tanzania	Категорія:Танзанія
Taoism	Даосизм
Tapir	Тапірові
Tardigrade	Тихоходи
Tarragon	Тархун
Tartarus	Тартар
Tashkent	Ташкент
Tasman Sea	Тасманове море
Tasmania	Тасманія
Taste	Смак
Tattoo	Татуювання
Tau	Тау (літера)
Taurus (constellation)	Телець (сузір'я)
Tawny Owl	Сова сіра
Tax	Податок
Taxation	Категорія:Оподаткування
Taxicab	Таксі
Taxon	Таксон
Taxonomy	Таксономія
Taxus baccata	Тис ягідний
Tbilisi	Тбілісі
Tea	Чай
Tea	Категорія:Чай
Teacher	Педагог
Technetium	Технецій
Techno	Техно
Technology	Технологія
Technology	Категорія:Технології
Tegucigalpa	Тегусігальпа
Tehran	Тегеран
Tel Aviv	Тель-Авів
Telecommunication	Телекомунікації
Telegraphy	Телеграф
Telepathy	Телепатія
Telephone	Телефон
Telescope	Телескоп
Telescopium	Телескоп (сузір'я)
Television	Телебачення
Television	Категорія:Телебачення
Tellurium	Телур
Temperature	Температура
Temple of Artemis	Храм Артеміди
Ten Commandments	Десять заповідей
Tennessee	Теннессі (штат)
Tennis	Теніс
Tennis	Категорія:Теніс
Tenor	Тенор
Tenzing Norgay	Тенцинґ Норгей
Tequila	Текіла
Terbium	Тербій
Terpsichore	Терпсіхора
Terrorism	Тероризм
Terrorism	Категорія:Тероризм
Tertullian	Тертуліан
Tesla (unit)	Тесла
Tethys (moon)	Тефія (супутник)
Tethys (mythology)	Тетія
Tetrahedron	Тетраедр
Tetrahydrocannabinol	Тетрагідроканнабінол
Tetrapod	Чотириногі
Texas	Техас
Thailand	Таїланд
Thales	Фалес
Thallium	Талій
Thanatos	Танатос
Thanksgiving	День подяки
The Gambia	Гамбія
The Hague	Гаага
The Star-Spangled Banner	Гімн США
Theatre	Театр
Theatre	Категорія:Театр
Thebes	Уасет
Theia	Тейя
Themis	Феміда
Themistocles	Фемістокл
Theocracy	Теократія
Theodolite	Гіротеодоліт
Theodor Mommsen	Моммзен Хрістіан Матіас Теодор
Theodore Roosevelt	Рузвельт Теодор
Theodosius I	Феодосій Великий
Theology	Теологія
Theology	Категорія:Богослов'я
Theorem	Теорема
Theory	Теорія
Theory of relativity	Теорія відносності
Theravada	Тхеравада
Thermodynamics	Термодинаміка
Thermodynamics	Категорія:Термодинаміка
Thermometer	Термометр
Theseus	Тесей
Thessaloniki	Салоніки
Thessaly	Фессалія
Theta	Тета (літера)
Thetis	Фетіда
Thiamine	Тіамін
Think tank	Аналітичні центри
Third World	Третій світ
Thirty Years' War	Тридцятирічна війна 1618—1648
Thomas Aquinas	Фома Аквінський
Thomas Edison	Едісон Томас Алва
Thomas Hobbes	Гоббс Томас
Thomas Jefferson	Джефферсон Томас
Thomas Malthus	Мальтус Томас Роберт
Thomas Mann	Манн Томас
Thomas More	Мор Томас
Thomas Paine	Пейн Томас
Thomas Young (scientist)	Томас Янг
Thor	Тор
Thorium	Торій
Thoth	Тот
Thought	Думка
Thrace	Фракія
Thucydides	Фукідід
Thulium	Тулій
Thumb	Полекс
Thuringia	Тюрингія
Thuringia	Категорія:Тюрингія
Thursday	Четвер
Thymine	Тимін
Tiberius	Тиверій
Tide	Приплив
Tierra del Fuego	Вогняна земля
Tiger	Тигр
Tigris	Тигр (річка)
Timbuktu	Тімбукту
Time	Час
Time	Категорія:Час
Time (magazine)	Тайм (журнал)
Time zone	Часовий пояс
Timur	Тимур
Tin	Олово
Tirana	Тірана
Tissue (biology)	Тканина (біологія)
Tit (bird)	Синиця
Titan (disambiguation)	Титан
Titan (moon)	Титан (супутник)
Titan (mythology)	Титани
Titanic (disambiguation)	Титанік
Titanium	Титан (хімічний елемент)
Titian	Тіціан
Titus	Тит Флавій
Tobacco	Тютюн
Tocantins (state)	Токантінс (штат)
Tocopherol	Токоферол
Tofu	Тофу
Togo	Того
Togo	Категорія:Того
Tokyo	Токіо
Tom Hanks	Генкс Томас Джеффрі
Tomato	Помідор
Tonga	Тонга
Tongue	Язик
Tonne	Тонна
Tony Blair	Блер Тоні
Tooth	Зуби
Topaz	Топаз
Topeka	Топіка
Topology	Топологія
Topology	Категорія:Топологія
Tornado	Смерч
Toronto	Торонто
Torpedo	Торпеда
Torque	Момент сили
Torus	Тор (геометрія)
Totalitarianism	Тоталітаризм
Toulouse	Тулуза
Tour de France	Тур де Франс
Tourism	Туризм
Tourism	Категорія:Туризм
Tours	Тур (місто)
Tower	Вежа
Tower of Babel	Вавилонська вежа
Town	Місто
Toy	Іграшка
Toyota	Toyota Motor Corporation
Tractor	Трактор
Trade	Торгівля
Trademark	Товарний знак
Tradition	Традиція
Tragedy	Трагедія
Train	Поїзд
Train station	Залізнична станція
Trajan	Траян
Tram	Трамвай
Transcendental number	Трансцендентні числа
Transformer	Трансформатор
Transistor	Транзистор
Transliteration	Транслітерація
Transmission Control Protocol	Протокол керування передачею
Transportation	Категорія:Транспорт
Transylvania	Семигород
Trapezoid	Трапеція
Treaty of Versailles	Версальський договір 1919
Tree	Дерево
Trenton	Трентон
Triangle	Трикутник
Triangulum	Трикутник (сузір'я)
Triangulum Australe	Південний Трикутник (сузір'я)
Triassic	Тріасовий період
Tributary	Притока
Triceratops	Трицератопс
Trigonometric function	Тригонометричні функції
Trigonometry	Тригонометрія
Trigonometry	Категорія:Тригонометрія
Trinidad and Tobago	Тринідад і Тобаго
Trinitrotoluene	Тринітротолуол
Trinity	Трійця (християнство)
Tripoli	Тріполі
Tritium	Тритій
Triton (moon)	Тритон (супутник)
Triton (mythology)	Тритон (міфологія)
Triumphal arch	Арка тріумфальна
Trojan Horse	Троянський кінь
Trojan War	Троянська війна
Troll	Троль
Troll (Internet)	Тролінг
Trolleybus	Тролейбус
Trombone	Тромбон
Trondheim	Тронхейм
Troposphere	Тропосфера
Troy	Троя
Truck	Вантажний автомобіль
Trumpet	Труба (музика)
Truth	Істина
