Czech	English
Marie Antoinetta	Marie Antoinette
Maria Curie-Skłodowska	Marie Curie
Mariehamn	Mariehamn
Marilyn Monroe	Marilyn Monroe
Mario Vargas Llosa	Mario Vargas Llosa
Marcus Antonius	Mark Antony
Mark Twain	Mark Twain
Trh	Market
Marketing	Marketing
Kategorie:Marketing	Marketing
Značkovací jazyk	Markup language
Marlene Dietrich	Marlene Dietrich
Donatien Alphonse François de Sade	Marquis de Sade
Marrákeš	Marrakech
Manželství	Marriage
Kategorie:Mars	Mars
Mars	Mars (disambiguation)
Mars (mytologie)	Mars (mythology)
Marseille	Marseille
Marshallovy ostrovy	Marshall Islands
Kategorie:Marshallovy ostrovy	Marshall Islands
Marshallův plán	Marshall Plan
Vačnatci	Marsupial
Martin Buber	Martin Buber
Martin Heidegger	Martin Heidegger
Martin Luther	Martin Luther
Martin Luther King	Martin Luther King
Martin Scorsese	Martin Scorsese
Martin Van Buren	Martin Van Buren
Martina Navrátilová	Martina Navratilova
Martinik	Martinique
Mučedník	Martyr
Bratři Marxové	Marx Brothers
Marxismus	Marxism
Kategorie:Marxismus	Marxism
Maria	Mary (mother of Jesus)
Marie Magdalena	Mary Magdalene
Mary Shelleyová	Mary Shelley
Mary Wollstonecraftová	Mary Wollstonecraft
Maryland	Maryland
Kategorie:Maryland	Maryland
Maseru	Maseru
Mašhad	Mashhad
Hmotnost	Mass
Mše	Mass (liturgy)
Nukleonové číslo	Mass number
Massachusetts	Massachusetts
Kategorie:Massachusetts	Massachusetts
Massachusetts Institute of Technology	Massachusetts Institute of Technology
Masturbace	Masturbation
Mata Hari	Mata Hari
Zápalky	Match
Materialismus	Materialism
Matematická logika	Mathematical logic
Kategorie:Matematická logika	Mathematical logic
Matematický důkaz	Mathematical proof
Matematika	Mathematics
Kategorie:Matematika	Mathematics
Portál:Matematika	Mathematics
Matice	Matrix (mathematics)
Hmota	Matter
Matterhorn	Matterhorn
Mauna Kea	Mauna Kea
Mauna Loa	Mauna Loa
Zelený čtvrtek	Maundy Thursday
Maurice Ravel	Maurice Ravel
Mauritánie	Mauritania
Kategorie:Mauritánie	Mauritania
Mauricius	Mauritius
Kategorie:Mauricius	Mauritius
Max Born	Max Born
Max Bruch	Max Bruch
Max Ernst	Max Ernst
Max Planck	Max Planck
Max Weber	Max Weber
Maxwellovy rovnice	Maxwell's equations
Květen	May
1. květen	May 1
24. květen	May 24
Mayenne (departement)	Mayenne
Jepice	Mayfly
Starosta	Mayor
Mbabane	Mbabane
Mccarthysmus	McCarthyism
Medovina	Mead
Spalničky	Measles
Teorie míry	Measure (mathematics)
Kategorie:Měření	Measurement
Měření	Measurement
Maso	Meat
Mekka	Mecca
Kategorie:Strojírenství	Mechanical engineering
Kategorie:Mechanika	Mechanics
Mechanika	Mechanics
Médeia	Medea
Medián	Median
Léčivo	Medication
Medicejové	Medici
Lékařství	Medicine
Kategorie:Lékařství	Medicine
Medína	Medina
Meditace	Meditation
Kategorie:Středozemní moře	Mediterranean
Středozemní moře	Mediterranean Sea
Medusa	Medusa
Surikata	Meerkat
Meióza	Meiosis
Mistr Eckhart	Meister Eckhart
Meitnerium	Meitnerium
Mekong	Mekong
Mel Gibson	Mel Gibson
Melanésie	Melanesia
Melodie	Melody
Meloun	Melon
Melpomené	Melpomene
Tání	Melting
Teplota tání	Melting point
Mem	Meme
Paměť (psychologie)	Memory
Memphis	Memphis
Mennofer	Memphis
Menachem Begin	Menachem Begin
Mendelevium	Mendelevium
Meneláos	Menelaus
Meningitida	Meningitis
Souhvězdí Tabulové hory	Mensa (constellation)
Menstruace	Menstrual cycle
Menstruace	Menstruation
Duševní porucha	Mental disorder
Merkantilismus	Mercantilism
Žoldnéř	Mercenary
Merkur	Mercury
Rtuť	Mercury (element)
Merkur (planeta)	Mercury (planet)
Poledník	Meridian (geography)
Meritokracie	Meritocracy
Merovejci	Merovingian
Meryl Streep	Meryl Streep
Mezkalin	Mescaline
Mezolit	Mesolithic
Mezon	Meson
Mezopotámie	Mesopotamia
Kategorie:Mezopotámie	Mesopotamia
Mezosféra	Mesosphere
Mezozoikum	Mesozoic
MRNA	Messenger RNA
Mesiáš	Messiah
Messina	Messina
Metabolismus	Metabolism
Metadata	Metadata
Kov	Metal
Kovová vazba	Metallic bond
Polokov	Metalloid
Metalurgie	Metallurgy
Kategorie:Metalurgie	Metallurgy
Metamorfovaná hornina	Metamorphic rock
Metafora	Metaphor
Metafyzika	Metaphysics
Kategorie:Metafyzika	Metaphysics
Metastáza	Metastasis
Meteorický roj	Meteor shower
Meteorit	Meteorite
Meteoroid	Meteoroid
Kategorie:Meteorologie	Meteorology
Meteorologie	Meteorology
Metadon	Methadone
Metamfetamin	Methamphetamine
Methanol	Methanol
Methionin	Methionine
Metis (měsíc)	Metis (moon)
Metonymie	Metonymy
Metr	Metre
Metrický prostor	Metric space
Meuse (departement)	Meuse
Mása	Meuse River
Mexiko	Mexico
Kategorie:Mexiko	Mexico
Ciudad de México	Mexico City
Miami	Miami
Slída	Mica
Michael (archanděl)	Michael (archangel)
Michael Faraday	Michael Faraday
Michel Ney	Michel Ney
Michelangelo Buonarroti	Michelangelo
Michigan	Michigan
Kategorie:Michigan	Michigan
Mick Jagger	Mick Jagger
Mikrobiologie	Microbiology
Kategorie:Mikrobiologie	Microbiology
Mikroekonomie	Microeconomics
Kategorie:Mikroekonomie	Microeconomics
Mikroorganismus	Microorganism
Mikrofon	Microphone
Mikroskop	Microscope
Souhvězdí Mikroskopu	Microscopium
Mikrovlny	Microwave
Mikrovlnná trouba	Microwave oven
Středověk	Middle Ages
Kategorie:Středověk	Middle Ages
Blízký východ	Middle East
Kategorie:Blízký východ	Middle East
Půlnoční slunce	Midnight sun
Migréna	Migraine
Miguel de Cervantes y Saavedra	Miguel de Cervantes
Michail Alexandrovič Bakunin	Mikhail Bakunin
Michail Ivanovič Glinka	Mikhail Glinka
Michail Sergejevič Gorbačov	Mikhail Gorbachev
Milán	Milan
Míle	Mile
Miles Davis	Miles Davis
Kategorie:Vojenství	Military
Vojenské hodnosti	Military rank
Mléko	Milk
Galaxie Mléčná dráha	Milky Way
Millard Fillmore	Millard Fillmore
Tisíciletí	Millennium
Milion	Million
Milton Friedman	Milton Friedman
Milwaukee	Milwaukee
Minaret	Minaret
Mindanao	Mindanao
Minerál	Mineral
Minerální voda	Mineral water
Mineralogie	Mineralogy
Kategorie:Mineralogie	Mineralogy
Minerva (mytologie)	Minerva
Dynastie Ming	Ming Dynasty
Minimalismus	Minimalism
Těžební průmysl	Mining
Ministr	Minister (government)
Minneapolis	Minneapolis
Minnesota	Minnesota
Kategorie:Minnesota	Minnesota
Mollová stupnice	Minor scale
Mínós	Minos
Mínotaurus	Minotaur
Minsk	Minsk
Minuta	Minute
Miocén	Miocene
Zázrak	Miracle
Zrcadlo	Mirror
Mišna	Mishnah
Kategorie:Mississippi	Mississippi
Mississippi (řeka)	Mississippi River
Missouri	Missouri
Kategorie:Missouri	Missouri
Missouri (řeka)	Missouri River
Mitochondrie	Mitochondrion
Mnémosyné	Mnemosyne
Mobilní telefon	Mobile phone
Modem	Modem
Moderna	Modernism
Modest Petrovič Musorgskij	Modest Mussorgsky
Modulace	Modulation
Mogadišu	Mogadishu
Moiry	Moirae
Plíseň	Mold
Moldavsko	Moldova
Kategorie:Moldavsko	Moldova
Mol (jednotka)	Mole (unit)
Molekulární biologie	Molecular biology
Kategorie:Molekulární biologie	Molecular biology
Molekula	Molecule
Molise	Molise
Měkkýši	Mollusca
Molotovův koktejl	Molotov cocktail
Molybden	Molybdenum
Mombasa	Mombasa
Hybnost	Momentum
Monako	Monaco
Kategorie:Monako	Monaco
Panovník	Monarch
Panovník	Monarchy
Kategorie:Monarchie	Monarchy
Klášter	Monastery
Pondělí	Monday
Peníze	Money
Mongolsko	Mongolia
Kategorie:Mongolsko	Mongolia
Promykovití	Mongoose
Monika Selešová	Monica Seles
Monismus	Monism
Jednoděložné	Monocotyledon
Monomer	Monomer
Monopol	Monopoly
Monopoly	Monopoly (game)
Monosacharidy	Monosaccharide
Glutaman sodný	Monosodium glutamate
Monoteismus	Monotheism
Ptakořitní	Monotreme
Monroeova doktrína	Monroe Doctrine
Mons	Mons
Monzun	Monsoon
Mont Blanc	Mont Blanc
Montana	Montana
Kategorie:Montana	Montana
Monte Carlo	Monte Carlo
Černá Hora	Montenegro
Kategorie:Černá Hora	Montenegro
Montevideo	Montevideo
Kalendářní měsíc	Month
Montreal	Montreal
Montserrat (ostrov)	Montserrat
Měsíc	Moon
Los evropský	Moose
Morálka	Morality
Morava	Moravia
Maroko	Morocco
Kategorie:Maroko	Morocco
Morfém	Morpheme
Morfin	Morphine
Morfologie	Morphology
Tvarosloví	Morphology (linguistics)
Morseova abeceda	Morse code
Minomet	Mortar (weapon)
Mozaika	Mosaic
Moskva	Moscow
Kategorie:Moskva	Moscow
Moselle	Moselle
Mojžíš	Moses
Moše Dajan	Moshe Dayan
Mešita	Mosque
Komár	Mosquito
Mechy	Moss
Mosad	Mossad
Mosul	Mosul
Moteto	Motet
Matka	Mother
Matka Tereza	Mother Teresa
Den matek	Mother's Day
Mechanický pohyb	Motion (physics)
Motocykl	Motorcycle
Motto	Motto
Ararat	Mount Ararat
Athos	Mount Athos
Etna	Mount Etna
Mount Everest	Mount Everest
Fudži	Mount Fuji
Kilimandžáro	Mount Kilimanjaro
Mount McKinley	Mount McKinley
Olymp	Mount Olympus
Pinatubo	Mount Pinatubo
Mount Rushmore	Mount Rushmore
Hora Svaté Heleny	Mount St. Helens
Vesuv	Mount Vesuvius
Hora	Mountain
Horské kolo	Mountain bike
Průsmyk	Mountain pass
Pohoří	Mountain range
Myš	Mouse
Počítačová myš	Mouse (computing)
Mosambik	Mozambique
Kategorie:Mosambik	Mozambique
Muezzin	Muezzin
Mohamed	Muhammad
Muhammad Ali	Muhammad Ali
Moruše	Mulberry
Mula	Mule
Multimédia	Multimedia
Roztroušená skleróza	Multiple sclerosis
Násobení	Multiplication
Bombaj	Mumbai
Mumie	Mummy
Mnichov	Munich
Obec	Municipality
Mion	Muon
Murmansk	Murmansk
Murray Gell-Mann	Murray Gell-Mann
Banán	Musa (genus)
Souhvězdí Mouchy	Musca
Maskat	Muscat
Sval	Muscle
Múzy	Muse
Muzeum	Museum
Plodnice	Mushroom
Hudba	Music
Kategorie:Hudba	Music
Musical Instrument Digital Interface	Musical Instrument Digital Interface
Hudební nástroj	Musical instrument
Stupnice (hudba)	Musical scale
Hudebník	Musician
Muzikologie	Musicology
Mušketa	Musket
Lasicovití	Mustelidae
Mutace	Mutation
Labuť velká	Mute Swan
Kategorie:Myanmar	Myanmar
Mykény	Mycenae
Mykologie	Mycology
Kategorie:Mykologie	Mycology
Infarkt myokardu	Myocardial infarction
Krátkozrakost	Myopia
Stonožkovci	Myriapoda
Mystika	Mysticism
Mýtus	Myth
Mytologie	Mythology
Kategorie:Mytologie	Mythology
N	N
N'Djamena	N'Djamena
NASDAQ	NASDAQ
Severoatlantická aliance	NATO
Kategorie:NATO	NATO
Nadine Gordimerová	Nadine Gordimer
Nadir	Nadir
Nagasaki	Nagasaki
Nagoja	Nagoya
Nahuatl	Nahuatl
Nehet	Nail (anatomy)
Hřebík	Nail (fastener)
Nairobi	Nairobi
Namib	Namib Desert
Namibie	Namibia
Kategorie:Namibie	Namibia
Namur	Namur (city)
Nancy	Nancy
Nanga Parbat	Nanga Parbat
Nanking	Nanjing
Nanotechnologie	Nanotechnology
Nantes	Nantes
Napalm	Napalm
Neapol	Naples
Narkissos	Narcissus (mythology)
Nashville	Nashville
Nassau (Bahamy)	Nassau
Nathaniel Hawthorne	Nathaniel Hawthorne
Národ	Nation
NSA	National Security Agency
Národní hymna	National anthem
Národní park	National park
Nacionalismus	Nationalism
Kategorie:Nacionalismus	Nationalism
Zemní plyn	Natural gas
Zpracování přirozeného jazyka	Natural language processing
Přirozené číslo	Natural number
Přírodní vědy	Natural science
Příroda	Nature
Kategorie:Příroda	Nature
Naturismus	Naturism
Nauru	Nauru
Kategorie:Nauru	Nauru
Námořní míle	Nautical mile
Kategorie:Navigace	Navigation
Navigace	Navigation
Válečné loďstvo	Navy
Nazaret	Nazareth
Třetí říše	Nazi Germany
Nationalsozialistische Deutsche Arbeiterpartei	Nazi Party
Kategorie:Nacismus	Nazism
Homo neanderthalensis	Neanderthal
Nebraska	Nebraska
Kategorie:Nebraska	Nebraska
Nebukadnesar II.	Nebuchadrezzar II
Mlhovina	Nebula
Neckar	Neckar
Kravata	Necktie
Nefertiti	Nefertiti
Negevská poušť	Negev
Neil Armstrong	Neil Armstrong
Nelson Mandela	Nelson Mandela
Hlístice	Nematode
Nemesis (mytologie)	Nemesis (mythology)
Neodym	Neodymium
Neolit	Neolithic
Neologismus	Neologism
Neon	Neon
Novoplatonismus	Neoplatonism
Nepál	Nepal
Kategorie:Nepál	Nepal
Neptun (planeta)	Neptune
Neptunium	Neptunium
Nero	Nero
Nerva	Nerva
Nervová soustava	Nervous system
Kategorie:Nervová soustava	Nervous system
Hnízdo	Nest
Nestoriánství	Nestorianism
Nizozemsko	Netherlands
Kategorie:Nizozemsko	Netherlands
Nizozemské Antily	Netherlands Antilles
Neurologie	Neurology
Kategorie:Neurologie	Neurology
Neuron	Neuron
Neurotransmitér	Neurotransmitter
Neutrino	Neutrino
Neutron	Neutron
Neutronová hvězda	Neutron star
Něva	Neva River
Nevada	Nevada
Kategorie:Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
Nový Brunšvik	New Brunswick
Nová Kaledonie	New Caledonia
Nové Dillí	New Delhi
Nová Anglie	New England
Nová Guinea	New Guinea
New Hampshire	New Hampshire
Kategorie:New Hampshire	New Hampshire
New Jersey	New Jersey
Kategorie:New Jersey	New Jersey
Nové Mexiko	New Mexico
Kategorie:Nové Mexiko	New Mexico
New Orleans	New Orleans
Nový Jižní Wales	New South Wales
Nový zákon	New Testament
Nový rok	New Year
New York (stát)	New York
Kategorie:New York (stát)	New York
New York (rozcestník)	New York (disambiguation)
New York	New York City
Kategorie:New York	New York City
New York Stock Exchange	New York Stock Exchange
Nový Zéland	New Zealand
Kategorie:Nový Zéland	New Zealand
Newark	Newark
Newfoundland	Newfoundland (island)
Newfoundland a Labrador	Newfoundland and Labrador
Newport	Newport
Newton	Newton
Niacin	Niacin
Niagarské vodopády	Niagara Falls
Niamey	Niamey
Nikaragua	Nicaragua
Kategorie:Nikaragua	Nicaragua
Nice	Nice
Nicejské vyznání	Nicene Creed
Petrović Njegoš	Nicholas
Nikl	Nickel
Nicolas Poussin	Nicolas Poussin
Mikuláš Koperník	Nicolaus Copernicus
Nikósie	Nicosia
Nikotin	Nicotine
Niels Bohr	Niels Bohr
Niels Henrik Abel	Niels Henrik Abel
Niger	Niger
Kategorie:Niger	Niger
Niger (řeka)	Niger River
Nigérie	Nigeria
Kategorie:Nigérie	Nigeria
Noc	Night
Slavík obecný	Nightingale
Nihilismus	Nihilism
Nijmegen	Nijmegen
Níké	Nike (mythology)
Nikita Sergejevič Chruščov	Nikita Khrushchev
Nikola Tesla	Nikola Tesla
Nil	Nile
Krokodýl nilský	Nile crocodile
Ninive	Nineveh
Nindža	Ninja
Niob	Niobium
Nirvána (buddhismus)	Nirvana
Kyselina dusičná	Nitric acid
Dusík	Nitrogen
Nitroglycerin	Nitroglycerin
Nix (měsíc)	Nix (moon)
Njörd	Njord
Noe	Noah
Noam Chomsky	Noam Chomsky
Nobelova cena	Nobel Prize
Kategorie:Nobelova cena	Nobel Prize
Nobelium	Nobelium
Šlechta	Nobility
Kategorie:Šlechtici	Nobility
Inertní plyn	Noble gas
Nominativ	Nominative case
Nekov	Nonmetal
Norfolk (anglické hrabství)	Norfolk
Norfolk (ostrov)	Norfolk Island
Souhvězdí Pravítka	Norma (constellation)
Normální rozdělení	Normal distribution
Norman Mailer	Norman Mailer
Normandie	Normandy
Norny	Norn
Severská mytologie	Norse mythology
Kategorie:Severská mytologie	Norse mythology
Sever	North
Severní Afrika	North Africa
Severní Amerika	North America
Kategorie:Severní Amerika	North America
Severní Karolína	North Carolina
Kategorie:Severní Karolína	North Carolina
Severní Dakota	North Dakota
Kategorie:Severní Dakota	North Dakota
Severní ostrov (Nový Zéland)	North Island
Severní Korea	North Korea
Kategorie:Severní Korea	North Korea
Severní pól	North Pole
Severní moře	North Sea
Severní Evropa	Northern Europe
Severní polokoule	Northern Hemisphere
Severní Irsko	Northern Ireland
Severní Mariany	Northern Mariana Islands
Severní teritorium	Northern Territory
Štika obecná	Northern pike
Severozápadní teritoria	Northwest Territories
Norsko	Norway
Kategorie:Norsko	Norway
Norské moře	Norwegian Sea
Norská koruna	Norwegian krone
Nos	Nose
Nostradamus	Nostradamus
Nota	Note
Nuakšott	Nouakchott
Podstatné jméno	Noun
Nové Skotsko	Nova Scotia
Nová země	Novaya Zemlya
Román	Novel
Listopad	November
1. listopad	November 1
11. listopad	November 11
2. listopad	November 2
5. listopad	November 5
Novosibirsk	Novosibirsk
Jaderná reakce	Nuclear fission
Termonukleární reakce	Nuclear fusion
Jaderná fyzika	Nuclear physics
Kategorie:Jaderná fyzika	Nuclear physics
Jaderná energie	Nuclear power
Jaderná zbraň	Nuclear weapon
Nukleová kyselina	Nucleic acid
Nukleon	Nucleon
Nukleotid	Nucleotide
Číslo	Number
Kategorie:Čísla	Numbers
Numidie	Numidia
Numizmatika	Numismatics
Kategorie:Numizmatika	Numismatics
Nunavut	Nunavut
Norimberk	Nuremberg
Oříšek (plod)	Nut (fruit)
Muškátový oříšek	Nutmeg
Kategorie:Výživa	Nutrition
Nymfy	Nymph
Leknínovité	Nymphaeaceae
Nyx	Nyx (mythology)
O	O
Organizace zemí vyvážejících ropu	OPEC
Oahu	Oahu
Dub	Oak
Oakland	Oakland
Oáza	Oasis
Oves setý	Oat
Ob	Ob River
Obelisk	Obelisk
Obezita	Obesity
Objektově orientované programování	Object-oriented programming
Hoboj	Oboe
Observatoř	Observatory
Obsidián	Obsidian
Occamova břitva	Occam's razor
Oceán	Ocean
Mořský proud	Ocean current
Oceánie	Oceania
Kategorie:Austrálie a Oceánie	Oceania
Ókeanovny	Oceanid
Oceánografie	Oceanography
Kategorie:Oceánografie	Oceanography
Okeanos	Oceanus
Osmičková soustava	Octal
Souhvězdí Oktantu	Octans
Oktáva (hudba)	Octave
Říjen	October
12. říjen	October 12
24. říjen	October 24
Říjnová revoluce	October Revolution
Óda	Ode
Odra	Oder River
Oděsa	Odessa
Ódin	Odin
Vážky	Odonata
Odysseus	Odysseus
Odysseia	Odyssey
Oidipus	Oedipus
Ofsajd	Offside (football)
Ohio	Ohio
Kategorie:Ohio	Ohio
Ohm	Ohm
Ohmův zákon	Ohm's law
Olej	Oil
Olejomalba	Oil painting
Okapi	Okapi
Oklahoma	Oklahoma
Kategorie:Oklahoma	Oklahoma
Oklahoma City	Oklahoma City
Oktoberfest	Oktoberfest
Staroslověnština	Old Church Slavonic
Stará severština	Old Norse
Starý zákon	Old Testament
Oligarchie	Oligarchy
Oligocén	Oligocene
Oligopol	Oligopoly
Olivovník	Olive
Oliver Cromwell	Oliver Cromwell
Olivín	Olivine
Olympie	Olympia
Olympijské hry	Olympic Games
Kategorie:Olympijské hry	Olympics
Omaha	Omaha
Omán	Oman
Kategorie:Omán	Oman
Omsk	Omsk
Kategorie:Onkologie	Oncology
Cibule kuchyňská	Onion
Onomastika	Onomastics
Ontario (provincie)	Ontario
Kategorie:Ontario	Ontario
Ontologie	Ontology
Oortův oblak	Oort cloud
Opál	Opal
Opel	Opel
Opera	Opera
Opera (prohlížeč)	Opera (Internet suite)
Operační systém	Operating system
Opereta	Operetta
Souhvězdí Hadonoše	Ophiuchus
Opium	Opium
Optické vlákno	Optical fiber
Optický klam	Optical illusion
Optika	Optics
Kategorie:Optika	Optics
Optimalizace	Optimization (mathematics)
Orální sex	Oral sex
Oranžová	Orange (colour)
Pomeranč	Orange (fruit)
Orangutan	Orangutan
Oratorium	Oratorio
Oběžná dráha	Orbit
Kosatka dravá	Orca
Orchestr	Orchestra
Vstavačovité	Orchidaceae
Řád (biologie)	Order (biology)
Řád svatého Benedikta	Order of Saint Benedict
Ordovik	Ordovician
Dobromysl obecná	Oregano
Oregon	Oregon
Kategorie:Oregon	Oregon
Orestés	Orestes (mythology)
Orgán	Organ (anatomy)
Varhany	Organ (music)
Buněčné organely a struktury	Organelle
Organická chemie	Organic chemistry
Kategorie:Organická chemie	Organic chemistry
Organická sloučenina	Organic compound
Organismus	Organism
Organizace	Organization
Orgasmus	Orgasm
Origami	Origami
Órigenés	Origen
Prvotní hřích	Original sin
Orinoco	Orinoco
Souhvězdí Orionu	Orion (constellation)
Urísa	Orissa
Orlando	Orlando
Ornitologie	Ornithology
Kategorie:Ornitologie	Ornithology
Orfeus	Orpheus
Orson Welles	Orson Welles
Pravopis	Orthography
Ósaka	Osaka
Usáma bin Ládin	Osama bin Laden
Oscar Wilde	Oscar Wilde
Kmitání	Oscillation
Usir	Osiris
Oslo	Oslo
Osmium	Osmium
Ryby	Osteichthyes
Osteoporóza	Osteoporosis
Ostrava	Ostrava
Pštros dvouprstý	Ostrich
Othello (drama)	Othello
Otho	Otho
Ottawa	Ottawa
Otto Hahn	Otto Hahn
Ota I. Veliký	Otto I
Otto von Bismarck	Otto von Bismarck
Osmanská říše	Ottoman Empire
Kategorie:Osmanská říše	Ottoman Empire
Unce	Ounce
Vaječník	Ovary
Publius Ovidius Naso	Ovid
Oviedo	Oviedo
Ovce	Ovis
Vajíčko	Ovum
Sovy	Owl
Oxford	Oxford
Oxidační číslo	Oxidation state
Oxid	Oxide
Kyslík	Oxygen
Oxymóron	Oxymoron
Oxytocin	Oxytocin
Ozón	Ozone
P	P
PAL	PAL
Kyselost	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Tichý oceán	Pacific Ocean
Kategorie:Tichý oceán	Pacific Ocean
Pacifismus	Pacifism
Padova	Padua
Pohanství	Paganism
Kategorie:Malířství	Painting
Pákistán	Pakistan
Kategorie:Pákistán	Pakistan
Versailles	Palace of Versailles
Palau	Palau
Kategorie:Palau	Palau
Paleocén	Paleocene
Paleolit	Paleolithic
Paleontologie	Paleontology
Kategorie:Paleontologie	Paleontology
Paleozoikum	Paleozoic
Palermo	Palermo
Palestina	Palestine
Kategorie:Palestina	Palestine
Organizace pro osvobození Palestiny	Palestine Liberation Organization
Palestinská autonomie	Palestinian National Authority
Páli	Pali
Palindrom	Palindrome
Palladium	Palladium
Květná neděle	Palm Sunday
Palmýra	Palmyra
Pamír	Pamir Mountains
Pan (mytologie)	Pan (mythology)
Panama	Panama
Kategorie:Panama	Panama
Panamský průplav	Panama Canal
Ciudad de Panamá	Panama City
Slinivka břišní člověka	Pancreas
Pandemie	Pandemic
Pandóra	Pandora
Pangea	Pangaea
Panteismus	Pantheism
Pantheon	Pantheon
Panthera	Panthera
Papežský stát	Papal States
Papua-Nová Guinea	Papua New Guinea
Kategorie:Papua-Nová Guinea	Papua New Guinea
Papyrus	Papyrus
Parabola (matematika)	Parabola
Paracelsus	Paracelsus
Padák	Parachute
Paradigma	Paradigm
Paradox	Paradox
Paragliding	Paragliding
Paraguay	Paraguay
Kategorie:Paraguay	Paraguay
Paralaxa	Parallax
Rovnoběžník	Parallelogram
Paramaribo	Paramaribo
Paranoia	Paranoia
Parafilie	Paraphilia
Parazitismus	Parasitism
Pergamen	Parchment
Paříž	Paris
Kategorie:Paříž	Paris
Paris (mytologie)	Paris (mythology)
Sudá a lichá čísla	Parity (mathematics)
Parkinsonova nemoc	Parkinson's disease
Parlament	Parliament
Parmenidés	Parmenides
Parodie	Parody
Papoušci	Parrot
Parsek	Parsec
Petržel	Parsley
Parthenón	Parthenon
Parthská říše	Parthia
Fyzika částic	Particle physics
Kategorie:Fyzika částic	Particle physics
Pascal (rozcestník)	Pascal
Pascal (programovací jazyk)	Pascal (programming language)
Pascal	Pascal (unit)
Kategorie:Pěvci	Passeriformes
Pěvci	Passerine
Pesach	Passover
Cestovní pas	Passport
Heslo	Password
Pasterizace	Pasteurization
Patagonie	Patagonia
Patent	Patent
Patologie	Pathology
Patriarchát (územní členění církve)	Patriarch
Patrick White	Patrick White
Patriotismus	Patriotism
Paul Gauguin	Paul Gauguin
Paul Heyse	Paul Johann Ludwig von Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Paul Verlaine	Paul Verlaine
Pavel z Tarsu	Paul the Apostle
Paul von Hindenburg	Paul von Hindenburg
Pauliho vylučovací princip	Pauli exclusion principle
Souhvězdí Páva	Pavo (constellation)
Pěšec	Pawn (chess)
Pays de la Loire	Pays de la Loire
Hrách setý	Pea
Mír	Peace
Vestfálský mír	Peace of Westphalia
Broskev	Peach
Podzemnice olejná	Peanut
Hruška	Pear
Perla	Pearl
Pearl Harbor	Pearl Harbor
Rašelina	Peat
Pedagogika	Pedagogy
Kategorie:Pedagogika	Pedagogy
Pedofilie	Pedophilia
Dub letní	Pedunculate Oak
Pegas	Pegasus
Souhvězdí Pegase	Pegasus (constellation)
Peloponés	Peloponnese
Peloponéská válka	Peloponnesian War
Tužka	Pencil
Kyvadlo	Pendulum
Tučňáci	Penguin
Penicilín	Penicillin
Poloostrov	Peninsula
Pensylvánie	Pennsylvania
Kategorie:Pensylvánie	Pennsylvania
Pětiúhelník	Pentagon
Pentagram	Pentagram
Letnice	Pentecost
Pentekostalismus	Pentecostalism
Kategorie:Lidé	People
Čínská lidová republika	People's Republic of China
Pipin III. Krátký	Pepin the Short
Pepsi	Pepsi
Peptid	Peptide
Procento	Percentage
Vnímání	Perception
Ostnoploutví	Perciformes
Bicí nástroj	Percussion instrument
Percy Bysshe Shelley	Percy Bysshe Shelley
Sokol stěhovavý	Peregrine Falcon
Perestrojka	Perestroika
Parfém	Perfume
Periklés	Pericles
Periodická tabulka	Periodic table
Perm (město)	Perm
Permafrost	Permafrost
Perm	Permian
Permutace	Permutation
Perpetuum mobile	Perpetual motion
Persefona	Persephone
Persepolis	Persepolis
Perseus	Perseus
Souhvězdí Persea	Perseus (constellation)
Perská říše	Persian Empire
Perský záliv	Persian Gulf
Personal Digital Assistant	Personal digital assistant
Perth	Perth
Peru	Peru
Kategorie:Peru	Peru
Pesticid	Pesticide
Pierre Abélard	Peter Abelard
Peter Paul Rubens	Peter Paul Rubens
Peter Sellers	Peter Sellers
Francesco Petrarca	Petrarch
Ropa	Petroleum
Petrologie	Petrology
Fanerozoikum	Phanerozoic
Faraon	Pharaoh
Farmakologie	Pharmacology
Kategorie:Farmakologie	Pharmacology
Hltan	Pharynx
Skupenství	Phase (matter)
Fenol	Phenol
Fenomenologie	Phenomenology
Fenotyp	Phenotype
Fenylalanin	Phenylalanine
Fenylketonurie	Phenylketonuria
Filadelfie	Philadelphia
Filatelie	Philately
Kategorie:Filatelie	Philately
Filip II. Makedonský	Philip II of Macedon
Filip II. Španělský	Philip II of Spain
Philipp Eduard Anton von Lenard	Philipp Lenard
Filipínské moře	Philippine Sea
Filipíny	Philippines
Kategorie:Filipíny	Philippines
Filologie	Philology
Kategorie:Filologie	Philology
Filosofie	Philosophy
Kategorie:Filosofie	Philosophy
Phnompenh	Phnom Penh
Fobie	Phobia
Phobos (měsíc)	Phobos (moon)
Fénicie	Phoenicia
Phoenix (Arizona)	Phoenix
Phoenix	Phoenix
Souhvězdí Fénixe	Phoenix (constellation)
Fénix	Phoenix (mythology)
Phoenix (sonda)	Phoenix (spacecraft)
Foném	Phoneme
Fonetika	Phonetics
Kategorie:Fonetika	Phonetics
Fonologie	Phonology
Fosfát	Phosphate
Kyselina fosforečná	Phosphoric acid
Fosfor	Phosphorus
Fotografie	Photography
Kategorie:Fotografie	Photography
